Genome	Clade1	Clade2	Subclade	depth	latitude	longitude	type	reference	place	Completeness	Contamination	Genome_Size	est_Genome_Size	GC
LSUCC0664	III	IIIa	IIIa.1				Pure_culture	"Lanclos et al., ISME J., 2023"	"Calcasieu Jetties, Cameron, LA"	99.98	0	1170396	1170630.126	30.19
LSUCC0723	III	IIIa	IIIa.1				Pure_culture	"Lanclos et al., ISME J., 2023"	"Calcasieu Jetties, Cameron, LA"	99.99	0.04	1204848	1204968.497	29.45
SFB_3D203	III	IIIa	IIIa.2				MAG	"Lanclos et al., ISME J., 2023"	San Francisco Bay	73.57	6.31	864689	1175328.259	30.92
SFB_9D2025	III	IIIa	IIIa.2				MAG	"Lanclos et al., ISME J., 2023"	San Francisco Bay	50.52	8.41	594642	1177042.755	29.78
MED-G106	I	Ib	Ib.5				MAG	"Lopez-Perez et al., Environ. Microbiol., 2019"	"Coast of Alicante, the western Mediterranean"	40.25	0	521270	1295080.745	29.46
MED-G107	I	NA	NA				MAG	"Lopez-Perez et al., Environ. Microbiol., 2019"	"Coast of Alicante, the western Mediterranean"	56.48	0.35	754510	1335888.81	27.9
MED-G108	I	Ic	Ic.2				MAG	"Lopez-Perez et al., Environ. Microbiol., 2019"	"Coast of Alicante, the western Mediterranean"	78.19	0.01	979451	1252655.071	29.04
RIS-SAG-01	I	Ia	Ia.1				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	69.87	0.35	878632	1257523.973	30.15
RIS-SAG-06	I	Ic	Ic.2				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	61.3	0.14	835575	1363091.354	29.68
RIS-SAG-10	I	Ia	Ia.1				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	48.64	0	572334	1176673.52	30.37
RIS-SAG-13	I	Ia	Ia.1				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	55	0.01	618348	1124269.091	30.29
RIS-SAG-15	I	Ia	Ia.1				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	47.85	0.13	614836	1284923.72	30.29
RIS-SAG-17	I	Ia	Ia.1				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	51.55	0.05	697115	1352308.438	30.31
RIS-SAG-19	I	Ic	Ic.2				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	62.24	0.07	782220	1256780.206	29.72
RIS-SAG-21	II	NA	NA				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	48.8	1.59	731188	1498336.066	39.78
RIS-SAG-23	I	Ia	Ia.1				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	71.53	0.06	1107324	1548055.361	28.89
RIS-SAG-25	I	Ia	Ia.1				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	52.42	0.03	649585	1239193.056	30.28
RIS-SAG-26	I	Ia	Ia.1				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	63.39	0	844583	1332359.994	30.14
RIS-SAG-27	I	Ia	Ia.1				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	50.13	0.01	667655	1331847.197	29.88
RIS-SAG-29	I	Ia	Ia.1				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	64.95	0.6	767215	1181239.415	29.32
RIS-SAG-32	I	Ic	Ic.2				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	57.55	0.13	755742	1313192.007	30.12
RIS-SAG-33	I	Ia	Ia.1				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	64.67	0	802203	1240456.162	29.58
RIS-SAG-39	I	Ia	Ia.1				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	52.33	0.04	671798	1283772.215	30.06
RIS-SAG-41	I	Ia	Ia.1				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	90.37	0.01	1132620	1253314.153	30.02
RIS-SAG-42	I	Ia	Ia.4				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	67.49	0.07	797566	1181754.334	29.86
RIS-SAG-43	I	Ia	Ia.4				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	50.9	0.3	565647	1111290.766	30.08
RIS-SAG-44	II	NA	NA				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	63.95	0.1	772895	1208592.651	29.93
RIS-SAG-45	I	Ia	Ia.1				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	43.36	0.01	539612	1244492.62	30.01
RIS-SAG-46	I	Ia	Ia.1				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	68.13	0.09	922257	1353672.391	30.13
RIS-SAG-47	I	Ia	Ia.1				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	64.25	0.18	810495	1261470.817	29.75
RIS-SAG-49	II	NA	NA				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	57.93	0.05	571276	986148.8003	30.22
RIS-SAG-51	I	Ia	Ia.1				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	50.15	0.05	716931	1429573.28	30.61
RIS-SAG-52	I	Ia	Ia.1				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	58.23	0.04	791581	1359404.087	29.93
RIS-SAG-53	I	Ia	Ia.1				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	59.98	0.02	853241	1422542.514	30.51
RIS-SAG-55	I	Ia	Ia.1				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	64.56	0.07	909685	1409053.594	29.58
RIS-SAG-58	I	Ia	Ia.1				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	56.47	0.16	701005	1241375.952	29.65
RIS-SAG-59	I	Ia	Ia.1				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	50.31	0	678791	1349216.855	29.34
RIS-SAG-62	II	NA	NA				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	64.35	0.06	755298	1173734.266	30.34
RIS-SAG-65	I	Ia	Ia.1				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	65.94	0.01	907040	1375553.534	30.28
RIS-SAG-66	I	Ia	Ia.1				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	55.41	0.02	807185	1456749.684	29.92
RIS-SAG-67	I	Ia	Ia.1				SAG	"Mart_nez-P_rez et al., Nat. Commun., 2022"	beneath the Ross Ice Shelf	57.41	0.01	765469	1333337.398	30.09
HIMB1321	I	Ia	Ia.4				Pure_culture	NA	Kaneohe Bay?	99.9	0.01	1320749	1322071.071	29.03
HTCC9022	I	Ia	Ia.3				Pure_culture	NA	Marine	99.01	0.1	1360964	1374572.265	29.55
IMCC9063	III	IIIa	IIIa.2				Pure_culture	"Oh et al., J. Bacteriol., 2011"	"Svalbard, the Arctic Ocean, Norway"	100	1.69	1284727	1284727	31.67
UBA2154	I	Ic	Ic.2				MAG	"Parks et al., Nat. Microbiol., 2017"	Gulf of Oman	81.35	1.91	1076758	1323611.555	28.57
UBA4760	III	IIIb	IIIb				MAG	"Parks et al., Nat. Microbiol., 2017"	"treated water, drinking water microbiome (fresh water)"	68.2	0.18	821333	1204300.587	28.3
HTCC1002	I	Ia	Ia.1				Pure_culture	"Rapp_ et al., Nature 2002"	"Newport, Oregon"	99.27	0.05	1328618	1338388.234	29.74
HTCC1013	I	Ia	Ia.1				Pure_culture	"Rapp_ et al., Nature 2002"	"Newport, Oregon"	99.28	0.04	1301122	1310558.018	29.67
HTCC1040	I	Ia	Ia.1				Pure_culture	"Rapp_ et al., Nature 2002"	"Newport, Oregon"	99.55	0.34	1274624	1280385.736	29.55
HTCC1062	I	Ia	Ia.1				Pure_culture	"Rapp_ et al., Nature 2002"	"Newport, Oregon"	99.77	0.03	1308759	1311776.085	29.68
HTCC7211	I	Ia	Ia.3				Pure_culture	"Stingl et al., ISME J., 2007"	"Sargasso, BATS"	99.91	0.08	1456888	1458200.38	29.03
HTCC7214	I	Ia	Ia.3				Pure_culture	"Stingl et al., ISME J., 2007"	"Sargasso, BATS"	99.99	0.21	1375060	1375197.52	29.24
HTCC7217	I	Ia	Ia.3				Pure_culture	"Stingl et al., ISME J., 2007"	"Sargasso, BATS"	99.86	0.02	1433611	1435620.869	28.8
HTCC8051	I	Ia	Ia.3				Pure_culture	"Stingl et al., ISME J., 2007"	"Newport, Oregon"	99.98	0.12	1395018	1395297.059	29.2
HTCC9565	I	Ia	Ia.1				Pure_culture	"Stingl et al., ISME J., 2007"	the Oregon Coast	99.06	0.04	1279674	1291817.081	28.92
AAA795-A08	I	Ia	Ia.3				SAG	"Thompson et al., Appl. Environ. Microbiol., 2019"	the east-central Red Sea	27.03	0	374567	1385745.468	28.36
AAA795-A20	I	Ia	Ia.3				SAG	"Thompson et al., Appl. Environ. Microbiol., 2019"	the east-central Red Sea	92.2	0.04	1140609	1237103.037	29.12
AAA795-B16	I	Ib	Ib.1				SAG	"Thompson et al., Appl. Environ. Microbiol., 2019"	the east-central Red Sea	44.68	0.03	551717	1234818.711	29.42
AAA795-C09	I	Ia	Ia.4				SAG	"Thompson et al., Appl. Environ. Microbiol., 2019"	the east-central Red Sea	55.45	0.19	667038	1202954.013	28.42
AAA795-C10	I	Ia	NA				SAG	"Thompson et al., Appl. Environ. Microbiol., 2019"	the east-central Red Sea	32.65	0.08	477445	1462312.404	29.34
AAA795-D22	I	Ia	Ia.4				SAG	"Thompson et al., Appl. Environ. Microbiol., 2019"	the east-central Red Sea	86.14	0.05	1010421	1172998.607	28.81
AAA795-E07	II	IIa	IIa.B				SAG	"Thompson et al., Appl. Environ. Microbiol., 2019"	the east-central Red Sea	59.14	0.4	681366	1152123.774	29.7
AAA795-E22	I	Ib	Ib.5				SAG	"Thompson et al., Appl. Environ. Microbiol., 2019"	the east-central Red Sea	67.66	0.17	801227	1184195.98	28.99
AAA795-F16	I	Ib	Ib.4				SAG	"Thompson et al., Appl. Environ. Microbiol., 2019"	the east-central Red Sea	75.54	0.34	945491	1251642.838	29.07
AAA795-G15	II	IIa	IIa.B				SAG	"Thompson et al., Appl. Environ. Microbiol., 2019"	the east-central Red Sea	13.63	0.15	294337	2159479.09	30.46
AAA795-J21	I	Ia	Ia.3				SAG	"Thompson et al., Appl. Environ. Microbiol., 2019"	the east-central Red Sea	59.73	0.14	872902	1461413.025	29.08
AAA795-K18	I	Ia	Ia.3				SAG	"Thompson et al., Appl. Environ. Microbiol., 2019"	the east-central Red Sea	45.89	0.22	731292	1593575.942	29.94
AAA795-L23	I	Ia	Ia.4				SAG	"Thompson et al., Appl. Environ. Microbiol., 2019"	the east-central Red Sea	76.22	0.23	834822	1095279.454	27.83
AAA795-M18	I	Ib	Ib.1				SAG	"Thompson et al., Appl. Environ. Microbiol., 2019"	the east-central Red Sea	75.44	0.25	1050527	1392533.139	29.22
AAA795-M22	I	Ib	Ib.4				SAG	"Thompson et al., Appl. Environ. Microbiol., 2019"	the east-central Red Sea	77.94	0.56	860157	1103614.319	29.43
AAA795-N08	I	Ia	Ia.4				SAG	"Thompson et al., Appl. Environ. Microbiol., 2019"	the east-central Red Sea	39.06	0.18	575315	1472900.666	29.12
AAA795-N17	II	IIa	IIa.B				SAG	"Thompson et al., Appl. Environ. Microbiol., 2019"	the east-central Red Sea	56.86	0.01	611592	1075610.271	29.45
AAA795-O19	I	Ia	Ia.3				SAG	"Thompson et al., Appl. Environ. Microbiol., 2019"	the east-central Red Sea	65.89	0.1	804609	1221139.778	29.09
AAA795-O20	I	Ia	Ia.4				SAG	"Thompson et al., Appl. Environ. Microbiol., 2019"	the east-central Red Sea	76.73	0.07	1009143	1315187.019	29.02
AAA795-P11	I	Ia	Ia.3				SAG	"Thompson et al., Appl. Environ. Microbiol., 2019"	the east-central Red Sea	72.41	3.75	977727	1350265.157	29.24
AAA240-E13	I	Ic	Ic.1				SAG	"Thrash et al., ISME J., 2014"	"HOT station ALOHA, North Pacific Sub-Tropical Gyre"	82.63	3.16	1401604	1696241.075	28.97
AAA288-E13	I	Ic	Ic.1				SAG	"Thrash et al., ISME J., 2014"	"HOT station ALOHA, North Pacific Sub-Tropical Gyre"	54.3	1.65	812863	1496985.267	29
AAA288-G21	I	Ic	Ic.1				SAG	"Thrash et al., ISME J., 2014"	"HOT station ALOHA, North Pacific Sub-Tropical Gyre"	66.46	2.1	909786	1368922.66	30.07
AAA288-N07	I	Ic	Ic.1				SAG	"Thrash et al., ISME J., 2014"	"HOT station ALOHA, North Pacific Sub-Tropical Gyre"	65.67	0.98	954664	1453729.252	29.14
ETNP-OMZ-SAG-A10	II	II	NA				SAG	"Tsementzi et al., Nature, 2016"	the Eastern Tropical North Pacific	23.67	0.34	346171	1462488.382	30.3
ETNP-OMZ-SAG-A6	I	Ic	Ic.2				SAG	"Tsementzi et al., Nature, 2016"	the Eastern Tropical North Pacific	33.17	0.11	551754	1663412.722	31.8
ETNP-OMZ-SAG-A7	III	NA	NA				SAG	"Tsementzi et al., Nature, 2016"	the Eastern Tropical North Pacific	9.6	0	213493	2223885.417	33.39
ETNP-OMZ-SAG-A8	III	NA	NA				SAG	"Tsementzi et al., Nature, 2016"	the Eastern Tropical North Pacific	10.17	0.43	170771	1679164.208	32.23
ETNP-OMZ-SAG-B1	I	Ib	Ib.2				SAG	"Tsementzi et al., Nature, 2016"	the Eastern Tropical North Pacific	18.7	1.01	385868	2063465.241	29.23
ETNP-OMZ-SAG-B2	I	Ic	Ic.1				SAG	"Tsementzi et al., Nature, 2016"	the Eastern Tropical North Pacific	25.71	0.69	540421	2101987.553	30.39
ETNP-OMZ-SAG-B3	I	Ic	Ic.2				SAG	"Tsementzi et al., Nature, 2016"	the Eastern Tropical North Pacific	23.9	0.65	393530	1646569.038	31.21
ETNP-OMZ-SAG-B4	III	NA	NA				SAG	"Tsementzi et al., Nature, 2016"	the Eastern Tropical North Pacific	7.54	0.35	181687	2409641.91	26.95
ETNP-OMZ-SAG-D10	II	II	NA				SAG	"Tsementzi et al., Nature, 2016"	the Eastern Tropical North Pacific	20.5	1.06	287990	1404829.268	31.22
ETNP-OMZ-SAG-D3	III	NA	NA				SAG	"Tsementzi et al., Nature, 2016"	the Eastern Tropical North Pacific	9.15	0.02	149212	1630732.24	31.94
ETNP-OMZ-SAG-D9	II	II	NA				SAG	"Tsementzi et al., Nature, 2016"	the Eastern Tropical North Pacific	37.82	0	459768	1215674.246	30.65
ETNP-OMZ-SAG-E2	I	Ic	Ic.1				SAG	"Tsementzi et al., Nature, 2016"	the Eastern Tropical North Pacific	27.9	0.06	376244	1348544.803	30.54
ETNP-OMZ-SAG-E3	II	II	NA				SAG	"Tsementzi et al., Nature, 2016"	the Eastern Tropical North Pacific	9.86	0.87	176608	1791156.187	31.36
ETNP-OMZ-SAG-E4	II	II	NA				SAG	"Tsementzi et al., Nature, 2016"	the Eastern Tropical North Pacific	27.03	0.05	381935	1413004.07	31.61
ETNP-OMZ-SAG-E5	II	II	NA				SAG	"Tsementzi et al., Nature, 2016"	the Eastern Tropical North Pacific	37.12	0.21	392247	1056699.892	31.35
GOM-A1	I	Ib	Ib.1				SAG	"Tsementzi et al., Nature, 2016"	the Gulf of Mexico	95.39	0.09	1330051	1394329.594	29.33
GOM-A2	I	Ib	Ib.1				SAG	"Tsementzi et al., Nature, 2016"	the Gulf of Mexico	63.6	3.02	863523	1357740.566	29.83
GOM-A3	I	Ib	Ib.2				SAG	"Tsementzi et al., Nature, 2016"	the Gulf of Mexico	50.83	0.19	828567	1630074.759	30.08
GOM-A4	I	Ib	Ib.1				SAG	"Tsementzi et al., Nature, 2016"	the Gulf of Mexico	42.37	0.25	511073	1206214.303	28.86
GOM-A5	I	Ib	Ib.1				SAG	"Tsementzi et al., Nature, 2016"	the Gulf of Mexico	52.96	0.35	655485	1237698.263	28.73
NORP132	I	Ib	Ib.6				MAG	"Tully et al., ISME J., 2018"	"North Pond, Atlantic Ocean (formation fluids, marine benthic)"	73.21	3.08	978135	1336067.477	29.63
NORP187	I	Ic	Ic.2				MAG	"Tully et al., ISME J., 2018"	"North Pond, Atlantic Ocean (formation fluids, marine benthic)"	57.95	4.08	848811	1464729.94	30.66
NORP275	I	Ic	Ic.2				MAG	"Tully et al., ISME J., 2018"	"North Pond, Atlantic Ocean (formation fluids, marine benthic)"	73.39	4.44	1031300	1405232.32	31.17
NORP322	I	Ic	Ic.2				MAG	"Tully et al., ISME J., 2018"	"North Pond, Atlantic Ocean (formation fluids, marine benthic)"	40.77	0.02	423049	1037647.78	31.28
ARS1	I	Ic	Ic.2				MAG	"Tully et al., Sci. Data, 2018"	Arabian Sea	96.81	8.43	1300718	1343578.143	31.09
ARS1016	I	Ib	Ib.6				MAG	"Tully et al., Sci. Data, 2018"	Arabian Sea	41.96	5.87	540117	1287218.78	28.6
ARS1026	I	Ic	Ic.1				MAG	"Tully et al., Sci. Data, 2018"	Arabian Sea	64.89	2.18	983187	1515159.501	30.52
ARS92	IV	IV	IV				MAG	"Tully et al., Sci. Data, 2018"	Arabian Sea	55.76	1.2	938760	1683572.453	32.36
CPC289	III	IIIa	IIIa.1				MAG	"Tully et al., Sci. Data, 2018"	Chile-Peru Coastal	89.54	5.25	1073347	1198734.644	29.65
CPC305	V	V	V				MAG	"Tully et al., Sci. Data, 2018"	Chile-Peru Coastal	86.04	10.31	2250599	2615758.949	29.6
CPC306	II	IIa	IIa.B				MAG	"Tully et al., Sci. Data, 2018"	Chile-Peru Coastal	56.47	4.51	677666	1200046.042	29.61
EAC659	IV	IV	IV				MAG	"Tully et al., Sci. Data, 2018"	East Africa Coastal	47.36	3.95	599395	1265614.443	33.01
MED104	I	Ib	Ib.5				MAG	"Tully et al., Sci. Data, 2018"	Mediterranean Sea	67.72	7.95	868752	1282858.83	29.37
MED1116	III	IIIa	IIIa.1				MAG	"Tully et al., Sci. Data, 2018"	Mediterranean Sea	86.22	1.56	870948	1010146.138	28.7
MED1153	II	IIa	IIa.B				MAG	"Tully et al., Sci. Data, 2018"	Mediterranean Sea	81.67	6.97	1024810	1254818.171	29.61
MED602	III	IIIa	IIIa.3				MAG	"Tully et al., Sci. Data, 2018"	Mediterranean Sea	99.63	6.34	1879045	1886023.286	31.75
MED605	I	Ic	Ic.2				MAG	"Tully et al., Sci. Data, 2018"	Mediterranean Sea	91.07	7.36	1605601	1763040.518	29.13
MED642	I	NA	NA				MAG	"Tully et al., Sci. Data, 2018"	Mediterranean Sea	46.04	6.32	928230	2016138.141	30.12
MED714	V	V	V				MAG	"Tully et al., Sci. Data, 2018"	Mediterranean Sea	73.23	0.84	1155715	1578198.826	27.67
MED724-1	II	IIa	IIa.B				MAG	"Tully et al., Sci. Data, 2018"	Mediterranean Sea	43.63	2.43	488599	1119869.356	28.52
MED724-2	V	V	V				MAG	"Tully et al., Sci. Data, 2018"	Mediterranean Sea	48.95	0.86	652455	1332900.919	30.94
MED727	II	IIa	IIa.B				MAG	"Tully et al., Sci. Data, 2018"	Mediterranean Sea	70.82	0.63	503620	711126.8003	29.3
MED769	II	II	IIa.A.1				MAG	"Tully et al., Sci. Data, 2018"	Mediterranean Sea	83.85	7.34	1263754	1507160.405	28.67
MED787	I	NA	NA				MAG	"Tully et al., Sci. Data, 2018"	Mediterranean Sea	38.97	2.18	481559	1235717.218	28.57
MED817	III	IIIa	IIIa.3				MAG	"Tully et al., Sci. Data, 2018"	Mediterranean Sea	68.98	1.68	775528	1124279.501	28.33
MED827	II	IIa	IIa.B				MAG	"Tully et al., Sci. Data, 2018"	Mediterranean Sea	74.31	5.22	857302	1153683.219	28.52
MED832	III	IIIa	IIIa.1				MAG	"Tully et al., Sci. Data, 2018"	Mediterranean Sea	79.82	1.99	958664	1201032.323	29.41
MED872	II	IIa	IIa.B				MAG	"Tully et al., Sci. Data, 2018"	Mediterranean Sea	64.21	9.44	851112	1325513.16	27.57
MED965	V	V	V				MAG	"Tully et al., Sci. Data, 2018"	Mediterranean Sea	92.56	7.57	1877216	2028107.174	29.59
NAT182	V	V	V				MAG	"Tully et al., Sci. Data, 2018"	North Atrantic	87.8	3.6	1335253	1520789.294	27.98
NAT83	I	Ib	NA				MAG	"Tully et al., Sci. Data, 2018"	North Atrantic	37.58	1.63	473115	1258954.231	27.85
NP101	V	V	V				MAG	"Tully et al., Sci. Data, 2018"	North Pacific	91.06	1.72	1450038	1592398.419	29.24
NP144	I	Ib	Ib.6				MAG	"Tully et al., Sci. Data, 2018"	North Pacific	48.12	3.55	556175	1155808.396	29.51
NP961	V	V	V				MAG	"Tully et al., Sci. Data, 2018"	North Pacific	61.01	2.7	734697	1204223.898	32
NP998	I	Ib	Ib.6				MAG	"Tully et al., Sci. Data, 2018"	North Pacific	61.15	3.18	718441	1174883.074	27.76
RS495	V	V	V				MAG	"Tully et al., Sci. Data, 2018"	Red Sea	40.58	1.49	622436	1533849.187	30.06
SAT136	V	V	V				MAG	"Tully et al., Sci. Data, 2018"	South Atlantic	59.55	0.55	768976	1291311.503	30.97
SAT1561	V	V	V				MAG	"Tully et al., Sci. Data, 2018"	South Atlantic	41.03	1.44	628705	1532305.63	28.84
SAT199	V	V	V				MAG	"Tully et al., Sci. Data, 2018"	South Atlantic	49.57	0.71	523541	1056165.019	26.29
SAT209	V	V	V				MAG	"Tully et al., Sci. Data, 2018"	South Atlantic	47.33	0.32	678252	1433027.678	29.86
SAT212	I	Ib	Ib.2				MAG	"Tully et al., Sci. Data, 2018"	South Atlantic	38.15	0.05	543907	1425706.422	29.57
SP27	III	IIIa	IIIa.1				MAG	"Tully et al., Sci. Data, 2018"	South Pacific	93.69	3.08	1204724	1285861.885	28.42
SP299	V	V	V				MAG	"Tully et al., Sci. Data, 2018"	South Pacific	88.62	0.06	1677714	1893155.044	29.11
SP2998	V	V	V				MAG	"Tully et al., Sci. Data, 2018"	South Pacific	59.56	0.31	663439	1113900.269	26.48
SP337	V	V	V				MAG	"Tully et al., Sci. Data, 2018"	South Pacific	85.06	2.07	1404973	1651743.475	29.48
SP346	V	V	V				MAG	"Tully et al., Sci. Data, 2018"	South Pacific	62.88	6.2	1156343	1838967.875	33.31
SP361	V	V	V				MAG	"Tully et al., Sci. Data, 2018"	South Pacific	66.62	0.01	1037112	1556757.73	29.58
SP38	V	V	V				MAG	"Tully et al., Sci. Data, 2018"	South Pacific	89.95	5.99	1144502	1272375.764	25.66
SP4300	I	Ib	Ib.3				MAG	"Tully et al., Sci. Data, 2018"	South Pacific	56.77	4.48	644729	1135686.102	28.22
SP486	V	V	V				MAG	"Tully et al., Sci. Data, 2018"	South Pacific	75.88	0.03	1130614	1490002.636	28.1
SP81	V	V	V				MAG	"Tully et al., Sci. Data, 2018"	South Pacific	97.64	0.9	1695481	1736461.491	29.47
SP94	V	V	V				MAG	"Tully et al., Sci. Data, 2018"	South Pacific	88.99	1.9	1668993	1875483.762	29.71
AAA023-L09	III	IIIb	IIIb	1	46.0409983	-89.70062	SAG	"Zaremba-Niedzwiedzka et al., Genome Biol., 2013"	"Lake Sparkling (Oligotrophic, fresh water)"	68.97	2.34	774923	1123565.318	29.38
AAA024-N17	III	IIIb	IIIb	1	46.0409983	-89.70062	SAG	"Zaremba-Niedzwiedzka et al., Genome Biol., 2013"	"Lake Sparkling (Oligotrophic, fresh water)"	30.67	0.19	328144	1069918.487	30.1
AAA027-J10	III	IIIb	IIIb	1	43.10544	-89.407975	SAG	"Zaremba-Niedzwiedzka et al., Genome Biol., 2013"	"Lake Mendota (Eutrophic, fresh water)"	71.84	0.04	792980	1103814.031	29.76
AAA027-L15	III	IIIb	IIIb	1	43.10544	-89.407975	SAG	"Zaremba-Niedzwiedzka et al., Genome Biol., 2013"	"Lake Mendota (Eutrophic, fresh water)"	62.03	0.67	719587	1160062.873	29.39
AAA028-C07	III	IIIb	IIIb	1	43.10544	-89.407975	SAG	"Zaremba-Niedzwiedzka et al., Genome Biol., 2013"	"Lake Mendota (Eutrophic, fresh water)"	75.62	0.44	846566	1119500.132	29.53
AAA028-D10	III	IIIb	IIIb	1	43.10544	-89.407975	SAG	"Zaremba-Niedzwiedzka et al., Genome Biol., 2013"	"Lake Mendota (Eutrophic, fresh water)"	79.73	0.32	925141	1160342.406	29.57
AAA280-B11	III	IIIb	IIIb	1	44.17731	-69.48678	SAG	"Zaremba-Niedzwiedzka et al., Genome Biol., 2013"	"Lake Damariscotta (Mesotrophic, fresh water)"	55.18	0.23	674250	1221910.112	29.84
AAA280-P20	III	IIIb	IIIb	1	44.17731	-69.48678	SAG	"Zaremba-Niedzwiedzka et al., Genome Biol., 2013"	"Lake Damariscotta (Mesotrophic, fresh water)"	60.59	0.51	720523	1189178.082	29.56
AAA797-I19	I	Ia	Ia.3				SAG		NA	74.32	0.03	1016895	1368265.608	29.21
