Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
MiE-29	99.06	0.07	Neural Network (Specific Model)	11	0.952	1107443	296.43818334735073	1107443	0.29	1189	1	1107443	None
NP1	97.71	0.13	Neural Network (Specific Model)	11	0.958	1365705	298.20313565098843	1365705	0.3	1467	1	1365705	None
RIS-SAG-41	90.37	0.01	Neural Network (Specific Model)	11	0.956	121576	295.796568627451	1132620	0.3	1224	43	201083	None
RS39	99.99	0.01	Neural Network (Specific Model)	11	0.965	1200090	305.29472025216705	1200090	0.29	1269	1	1200090	None
RS40	99.96	0.14	Neural Network (Specific Model)	11	0.965	1378905	315.99076704545456	1378905	0.29	1408	1	1378905	None
SAG-MED01	94.71	0.01	Neural Network (Specific Model)	11	0.959	154766	294.2191673212883	1167589	0.28	1273	19	272112	None
SAG-MED05	87.18	0.26	Neural Network (Specific Model)	11	0.962	101374	291.23155929038285	969416	0.29	1071	35	143807	None
SAG-MED06	85.13	0.03	Neural Network (Specific Model)	11	0.958	85407	290.7645305514158	1218144	0.29	1342	41	214441	None
SAG-MED08	86.33	1.43	Neural Network (Specific Model)	11	0.959	95578	289.03839869281046	1102959	0.3	1224	39	245927	None
SAG-MED11	90.39	0.05	Neural Network (Specific Model)	11	0.962	240570	289.51915240423796	1103870	0.29	1227	27	393436	None
SAG-MED13	86.17	0.0	Neural Network (Specific Model)	11	0.96	59163	283.3008695652174	1014964	0.29	1150	49	150834	None
SAG-MED15	94.71	0.06	Neural Network (Specific Model)	11	0.962	199546	298.3552833078101	1210916	0.29	1306	33	280058	None
SAG-MED22	96.56	0.0	Neural Network (Specific Model)	11	0.959	175820	296.4673913043478	1191160	0.29	1288	26	472145	None
SAG-MED28	89.3	1.26	Neural Network (Specific Model)	11	0.963	87518	289.6142728093948	994863	0.3	1107	42	274960	None
SAG-MED47	90.75	0.01	Neural Network (Specific Model)	11	0.964	104783	293.461786001609	1131395	0.29	1243	43	232649	None
SAG-MED49	89.28	0.03	Neural Network (Specific Model)	11	0.956	105173	294.02125984251967	1167552	0.29	1270	38	200588	None
SAG-MED50	86.36	0.05	Neural Network (Specific Model)	11	0.958	67996	292.13860667634253	1257069	0.29	1378	54	171707	None
SP27	93.69	3.08	Neural Network (Specific Model)	11	0.959	77842	291.4185520361991	1204724	0.28	1326	23	145957	None
Uisw_090	99.37	1.35	Neural Network (Specific Model)	11	0.949	1381496	288.4296052631579	1381496	0.3	1520	1	1381496	None
Uisw_092	97.7	0.15	Neural Network (Specific Model)	11	0.953	1306717	288.4088704088704	1306717	0.29	1443	1	1306717	None
Uisw_094	96.94	0.61	Neural Network (Specific Model)	11	0.951	1369821	293.1008742434432	1369821	0.3	1487	1	1369821	None
Uisw_099_02	99.92	0.04	Neural Network (Specific Model)	11	0.958	1288341	301.5643274853801	1288341	0.29	1368	1	1288341	None
Uisw_101	99.95	0.0	Neural Network (Specific Model)	11	0.954	1448726	301.1329856584094	1448726	0.3	1534	1	1448726	None
Uisw_104	97.44	0.22	Neural Network (Specific Model)	11	0.946	1441579	295.3788860103627	1441579	0.3	1544	1	1441579	None
Uisw_106	98.05	0.22	Neural Network (Specific Model)	11	0.955	1376435	292.90339773484345	1376435	0.3	1501	1	1376435	None
Uisw_113	99.48	0.03	Neural Network (Specific Model)	11	0.955	1355470	303.09103641456585	1355470	0.3	1428	1	1355470	None
Uisw_114	94.23	0.1	Neural Network (Specific Model)	11	0.922	1385505	262.5509202453988	1385505	0.3	1630	1	1385505	None
Uisw_116	99.69	0.13	Neural Network (Specific Model)	11	0.951	1301732	292.56325088339224	1301732	0.29	1415	1	1301732	None
Uisw_121	98.45	1.15	Neural Network (Specific Model)	11	0.952	1352740	295.4393420150788	1352740	0.3	1459	1	1352740	None
Uisw_127	99.93	0.11	Neural Network (Specific Model)	11	0.956	1332340	299.1495786516854	1332340	0.3	1424	1	1332340	None
Uisw_130	99.94	0.01	Neural Network (Specific Model)	11	0.956	1423135	299.422646477946	1423135	0.29	1519	1	1423135	None
Uisw_134_02	99.73	0.01	Neural Network (Specific Model)	11	0.96	1301899	298.7169406719085	1301899	0.29	1399	1	1301899	None
Uisw_136	99.78	0.1	Neural Network (Specific Model)	11	0.954	1394121	300.18703578663064	1394121	0.29	1481	1	1394121	None
Uisw_137	99.65	0.21	Neural Network (Specific Model)	11	0.954	1403101	300.89710827168796	1403101	0.29	1487	1	1403101	None
AAA795-D22	86.14	0.05	Neural Network (Specific Model)	11	0.966	79594	290.1893333333333	1010421	0.29	1125	68	163519	None
AG-325-E13	89.3	0.04	Neural Network (Specific Model)	11	0.962	85732	295.7980769230769	955892	0.29	1040	28	229235	None
AG-325-L02	86.98	0.01	Neural Network (Specific Model)	11	0.962	268828	299.97050938337804	1043497	0.29	1119	20	285760	None
AG-325-L05	88.57	0.03	Neural Network (Specific Model)	11	0.961	64364	292.30104712041884	1042160	0.29	1146	30	198845	None
AG-333-A04	91.3	0.17	Neural Network (Specific Model)	11	0.961	84566	299.89660056657226	1317451	0.29	1412	37	172360	None
AG-337-C09	85.07	0.22	Neural Network (Specific Model)	11	0.965	43061	299.86538461538464	1208622	0.29	1300	44	125919	None
AG-337-C19	85.39	0.34	Neural Network (Specific Model)	11	0.967	53121	292.22163588390504	1027347	0.29	1137	40	142529	None
AG-337-G04	96.41	0.04	Neural Network (Specific Model)	11	0.965	111674	306.1597717546362	1330070	0.29	1402	23	160141	None
AG-349-I05	92.82	0.1	Neural Network (Specific Model)	11	0.966	193889	305.7641196013289	1139341	0.29	1204	20	265544	None
AG-349-L17	90.04	0.03	Neural Network (Specific Model)	11	0.963	90568	305.1293842556508	1216121	0.29	1283	25	142309	None
AG-359-M21	85.32	0.01	Neural Network (Specific Model)	11	0.961	312185	295.83490566037733	1171498	0.3	1272	17	319629	None
AG-359-O11	85.83	0.23	Neural Network (Specific Model)	11	0.965	97415	305.6985049833887	1140979	0.29	1204	28	171667	None
AG-390-C17	94.34	0.4	Neural Network (Specific Model)	11	0.964	94047	303.50109249817916	1292976	0.29	1373	24	283344	None
AG-390-E04	90.12	0.08	Neural Network (Specific Model)	11	0.965	81732	299.2953620829943	1139467	0.29	1229	26	141258	None
AG-390-G23	95.48	0.06	Neural Network (Specific Model)	11	0.964	113653	301.4734904270987	1269898	0.29	1358	22	326689	None
AG-390-L03	93.32	0.11	Neural Network (Specific Model)	11	0.964	180112	303.9218422889044	1352095	0.29	1433	19	624772	None
AG-390-M07	87.87	0.33	Neural Network (Specific Model)	11	0.964	89801	299.2166246851385	1105900	0.29	1191	25	346917	None
AG-390-M14	87.52	0.04	Neural Network (Specific Model)	11	0.963	70625	296.9022939677145	1085051	0.29	1177	43	178944	None
AG-390-O04	88.62	0.0	Neural Network (Specific Model)	11	0.962	65202	296.38796861377506	1056881	0.29	1147	31	162751	None
AG-404-B04	87.64	0.02	Neural Network (Specific Model)	11	0.966	105660	303.09841827768014	1067204	0.29	1138	26	218343	None
AG-404-J20	87.01	0.01	Neural Network (Specific Model)	11	0.964	111012	299.7806788511749	1068550	0.29	1149	27	197147	None
AG-404-O05	85.72	0.01	Neural Network (Specific Model)	11	0.965	89393	299.2414089347079	1078850	0.29	1164	36	208306	None
AG-404-P13	87.89	0.01	Neural Network (Specific Model)	11	0.967	78517	298.62854889589903	1170960	0.29	1268	36	229549	None
AG-410-K05	95.76	0.04	Neural Network (Specific Model)	11	0.965	57038	295.63933054393306	1094908	0.29	1195	34	134357	None
AG-410-L19	87.91	0.03	Neural Network (Specific Model)	11	0.964	97289	294.8927659574468	1074421	0.29	1175	20	163202	None
AG-410-O02	87.72	0.02	Neural Network (Specific Model)	11	0.963	65064	289.92344883158745	1117333	0.29	1241	37	186022	None
AG-414-E02	86.58	0.13	Neural Network (Specific Model)	11	0.963	204902	311.7964376590331	1142243	0.3	1179	11	384656	None
AG-414-L04	98.64	0.0	Neural Network (Specific Model)	11	0.964	152802	305.90453834115806	1212848	0.28	1278	20	521578	None
AG-414-M23	87.62	0.01	Neural Network (Specific Model)	11	0.964	63912	298.86241610738256	1104608	0.29	1192	38	116638	None
AG-414-O09	86.49	0.31	Neural Network (Specific Model)	11	0.965	85697	299.834680382072	1265326	0.3	1361	38	190988	None
AG-414-O11	92.93	0.01	Neural Network (Specific Model)	11	0.961	143379	298.43185298621745	1212678	0.3	1306	22	387734	None
AG-422-A21	86.4	0.02	Neural Network (Specific Model)	11	0.964	73899	292.7246240601504	965521	0.3	1064	25	151682	None
AG-422-C13	86.01	0.03	Neural Network (Specific Model)	11	0.965	152901	290.38933333333335	1012425	0.29	1125	24	272966	None
AG-422-C20	95.05	0.04	Neural Network (Specific Model)	11	0.965	130165	305.059291395517	1307971	0.29	1383	22	359350	None
AG-422-D23	94.67	0.11	Neural Network (Specific Model)	11	0.962	89564	300.5160583941606	1279565	0.29	1370	35	416142	None
AG-422-E09	88.22	0.12	Neural Network (Specific Model)	11	0.964	89357	302.4792514239219	1153212	0.29	1229	31	248876	None
AG-422-F15	92.33	0.09	Neural Network (Specific Model)	11	0.965	110749	301.722483537159	993525	0.3	1063	21	150289	None
AG-422-N14	86.24	0.0	Neural Network (Specific Model)	11	0.962	56295	295.766323024055	1069950	0.29	1164	40	141167	None
AG-426-P08	88.72	0.02	Neural Network (Specific Model)	11	0.964	190196	298.76765188834156	1128687	0.29	1218	24	235249	None
AG-430-E20	91.86	0.02	Neural Network (Specific Model)	11	0.961	224724	298.9551886792453	1183991	0.3	1272	16	255676	None
AG-430-F16	92.82	0.01	Neural Network (Specific Model)	11	0.964	264091	300.3941176470588	1108048	0.29	1190	13	369959	None
AG-430-I18	91.01	0.01	Neural Network (Specific Model)	11	0.964	138819	306.62640901771334	1181295	0.29	1242	23	213914	None
AG-430-J04	87.92	0.04	Neural Network (Specific Model)	11	0.967	165702	295.4743119266055	995137	0.3	1090	26	254759	None
AG-430-J21	85.45	0.0	Neural Network (Specific Model)	11	0.962	65574	297.92857142857144	1037294	0.29	1120	32	209392	None
AG-430-K07	86.84	0.02	Neural Network (Specific Model)	11	0.963	41764	298.04844006568146	1128055	0.29	1218	47	161425	None
AG-439-B12	89.12	0.04	Neural Network (Specific Model)	11	0.965	74449	301.2704918032787	1139547	0.28	1220	43	116568	None
AG-439-C08	86.62	0.11	Neural Network (Specific Model)	11	0.967	166506	311.2929194956353	992303	0.3	1031	15	223709	None
AG-439-C18	95.99	0.03	Neural Network (Specific Model)	11	0.963	200953	298.75283630470017	1144340	0.29	1234	14	238941	None
AG-439-D15	86.4	0.02	Gradient Boost (General Model)	11	0.961	55441	297.2578313253012	1151845	0.33	1245	38	155107	None
AG-439-E23	85.3	0.03	Neural Network (Specific Model)	11	0.964	69470	300.0067226890756	1108106	0.28	1190	39	101030	None
AG-439-G19	87.85	0.12	Neural Network (Specific Model)	11	0.965	129693	305.661002548853	1114807	0.29	1177	23	430306	None
AG-439-O15	89.67	0.02	Neural Network (Specific Model)	11	0.968	71929	300.1872303710095	1074931	0.28	1159	34	209794	None
AG-447-B22	85.73	0.01	Neural Network (Specific Model)	11	0.963	61493	297.9418710263397	1018782	0.29	1101	31	248728	None
AG-447-C08	94.66	0.07	Neural Network (Specific Model)	11	0.965	150371	301.80134932533736	1247213	0.29	1334	23	337102	None
AG-447-K11	86.12	0.11	Neural Network (Specific Model)	11	0.964	79939	299.53256704980845	1212869	0.29	1305	35	145801	None
AG-447-L10	85.37	0.03	Neural Network (Specific Model)	11	0.968	63712	296.42394014962593	1102090	0.29	1203	37	146117	None
AG-447-L14	88.56	0.05	Neural Network (Specific Model)	11	0.964	63418	296.763986013986	1052949	0.29	1144	28	142831	None
AG-447-N21	88.29	0.17	Neural Network (Specific Model)	11	0.964	96504	305.5233118971061	1179292	0.28	1244	31	166195	None
AG-447-O23	87.38	0.13	Neural Network (Specific Model)	11	0.962	57387	299.0407279029463	1073109	0.29	1154	32	206009	None
AG-447-P03	87.21	0.34	Neural Network (Specific Model)	11	0.964	79241	300.41626409017715	1157850	0.29	1242	41	161922	None
AG-453-G04	87.68	0.0	Neural Network (Specific Model)	11	0.966	196520	304.99074074074076	1020124	0.3	1080	10	389514	None
AG-453-K22	85.77	0.01	Neural Network (Specific Model)	11	0.963	63070	294.2668539325843	975459	0.3	1068	33	184123	None
AG-457-B14	87.1	0.16	Neural Network (Specific Model)	11	0.96	70060	292.20472440944883	1040446	0.3	1143	33	129149	None
AG-457-M14	87.45	0.0	Neural Network (Specific Model)	11	0.961	73014	302.0903814262023	1134891	0.32	1206	34	172800	None
AG-461-E04	89.59	0.0	Neural Network (Specific Model)	11	0.963	81898	301.7858472998138	1005905	0.3	1074	30	114681	None
AG-461-M18	86.14	0.0	Neural Network (Specific Model)	11	0.964	91664	297.4412296564195	1020573	0.29	1106	33	236310	None
AG-461-P14	88.29	0.03	Gradient Boost (General Model)	11	0.956	87513	304.96356275303646	1178925	0.32	1235	27	186302	None
AG-470-D02	86.34	0.26	Neural Network (Specific Model)	11	0.966	94762	292.4390885188431	1032946	0.3	1141	33	136042	None
AG-891-E06	88.85	0.03	Neural Network (Specific Model)	11	0.967	220946	306.87230046948355	1010560	0.29	1065	12	371227	None
AG-891-I18	98.63	0.09	Neural Network (Specific Model)	11	0.965	162101	303.31972789115645	1381610	0.29	1470	19	243267	None
AG-891-J04	100.0	0.07	Gradient Boost (General Model)	11	0.962	445611	309.70192994996427	1348324	0.33	1399	9	660135	None
AG-891-O15	86.75	0.0	Neural Network (Specific Model)	11	0.965	118690	299.93029490616624	1039309	0.3	1119	24	179775	None
AG-892-C18	88.81	0.02	Neural Network (Specific Model)	11	0.965	136795	298.18755555555555	1039657	0.29	1125	26	231906	None
AG-892-E08	89.61	0.0	Neural Network (Specific Model)	11	0.967	223494	305.4431047475509	1253266	0.3	1327	12	312084	None
AG-892-F15	99.37	0.11	Neural Network (Specific Model)	11	0.967	262712	305.55548037889037	1397227	0.29	1478	15	316149	None
AG-892-J03	97.37	0.08	Neural Network (Specific Model)	11	0.964	166676	298.64602960969046	1376173	0.29	1486	28	399332	None
AG-892-L17	85.94	0.08	Neural Network (Specific Model)	11	0.968	77340	301.44616709732986	1081069	0.3	1161	41	237687	None
AG-892-M06	90.32	0.01	Gradient Boost (General Model)	11	0.963	297071	307.9976833976834	1239125	0.33	1295	10	467395	None
AG-893-J08	97.66	0.06	Neural Network (Specific Model)	11	0.967	177732	308.4379457917261	1337460	0.29	1402	17	333424	None
AG-894-A03	86.25	1.16	Neural Network (Specific Model)	11	0.964	90274	303.28851963746223	1245765	0.29	1324	42	246315	None
AG-894-B06	93.1	0.15	Neural Network (Specific Model)	11	0.966	144772	303.2159264931087	1226025	0.29	1306	35	234396	None
AG-894-L17	90.88	0.04	Neural Network (Specific Model)	11	0.967	97862	308.96243425995493	1271885	0.3	1331	28	235793	None
AG-894-P23	87.42	0.12	Neural Network (Specific Model)	11	0.965	64813	300.39653815892996	1183385	0.29	1271	42	167490	None
AG-895-F07	91.97	0.03	Gradient Boost (General Model)	11	0.962	133292	305.5161048689139	1269476	0.33	1335	15	414396	None
AG-896-A02	92.25	0.0	Gradient Boost (General Model)	11	0.962	281736	307.8295719844358	1230581	0.33	1285	23	376060	None
AG-896-F06	92.7	0.08	Neural Network (Specific Model)	11	0.964	415605	310.9393290506781	1351935	0.29	1401	9	563497	None
AG-896-G07	87.45	0.13	Neural Network (Specific Model)	11	0.965	159200	302.6482602118003	1239260	0.29	1322	33	309365	None
AG-896-O18	89.9	0.14	Neural Network (Specific Model)	11	0.965	89566	306.44632352941176	1292334	0.29	1360	33	202382	None
AG-897-G09	96.87	0.11	Neural Network (Specific Model)	11	0.967	201220	305.92924872355945	1297415	0.29	1371	25	328288	None
AG-897-G15	91.57	0.02	Neural Network (Specific Model)	11	0.963	73494	297.74340949033393	1052562	0.29	1138	25	262370	None
AG-899-A06	88.66	0.08	Neural Network (Specific Model)	11	0.964	69132	305.46453624318	1215984	0.29	1283	39	213059	None
AG-899-B09	85.54	0.01	Neural Network (Specific Model)	11	0.965	73283	309.7741176470588	1223674	0.29	1275	42	149526	None
AG-899-D19	89.6	0.07	Neural Network (Specific Model)	11	0.966	75275	304.2240184757506	1223558	0.3	1299	35	180859	None
AG-899-E14	97.28	0.01	Neural Network (Specific Model)	11	0.965	191945	295.6920384951881	1046661	0.29	1143	18	299098	None
AG-899-J02	92.92	0.0	Neural Network (Specific Model)	11	0.962	195747	297.01758409785936	1207928	0.3	1308	26	266438	None
AG-899-M07	90.17	0.01	Neural Network (Specific Model)	11	0.965	105728	301.4851643945469	1164637	0.3	1247	22	167490	None
AG-899-M19	88.38	0.4	Neural Network (Specific Model)	11	0.966	101609	301.9236577181208	1114171	0.29	1192	26	200477	None
AG-899-O02	90.11	0.0	Gradient Boost (General Model)	11	0.96	133882	304.9724540901502	1138916	0.33	1198	31	168312	None
AG-899-O04	97.83	0.12	Neural Network (Specific Model)	11	0.969	112328	303.3658536585366	1228388	0.29	1312	33	249206	None
AG-900-G16	94.36	0.07	Neural Network (Specific Model)	11	0.967	209818	307.25090645395215	1309971	0.29	1379	17	361958	None
AG-900-I13	97.92	0.1	Neural Network (Specific Model)	11	0.968	139147	308.7756737072105	1309552	0.29	1373	21	282761	None
AG-900-I19	93.6	0.05	Neural Network (Specific Model)	11	0.968	93012	303.50668764752163	1191560	0.29	1271	33	174948	None
AG-900-K21	92.48	0.01	Neural Network (Specific Model)	11	0.964	102895	303.86235489220564	1137313	0.29	1206	22	231643	None
AG-901-I06	88.01	0.09	Neural Network (Specific Model)	11	0.968	354850	310.8498498498499	1279909	0.29	1332	10	529711	None
AG-903-C11	91.29	0.14	Neural Network (Specific Model)	11	0.966	64373	300.2829306313328	1192898	0.29	1283	41	239225	None
AG-903-D02	89.09	0.06	Neural Network (Specific Model)	11	0.96	139702	299.2080971659919	1151063	0.3	1235	22	279668	None
AG-903-F09	92.02	0.0	Neural Network (Specific Model)	11	0.963	119962	300.22750865051904	1077502	0.3	1156	32	217467	None
AG-903-K07	92.12	0.0	Neural Network (Specific Model)	11	0.964	299128	298.1164797238999	1070994	0.3	1159	12	469591	None
AG-903-L07	97.08	0.06	Neural Network (Specific Model)	11	0.968	157079	308.49126803340926	1255748	0.3	1317	21	273403	None
AG-903-M21	85.88	0.05	Neural Network (Specific Model)	11	0.968	240695	303.2150234741784	997704	0.3	1065	20	270347	None
AG-903-O08	87.44	0.07	Neural Network (Specific Model)	11	0.961	106229	306.4026666666667	1072515	0.29	1125	22	149844	None
AG-904-F11	90.78	0.1	Neural Network (Specific Model)	11	0.971	80349	300.9634966378482	964918	0.29	1041	26	132414	None
AG-904-F17	94.48	0.04	Neural Network (Specific Model)	11	0.963	263590	298.70688321732405	1199650	0.3	1293	24	348295	None
AG-904-K03	95.75	0.07	Neural Network (Specific Model)	11	0.966	231641	304.98809523809524	1348513	0.3	1428	26	307964	None
AG-905-A07	87.98	0.0	Neural Network (Specific Model)	11	0.962	130668	302.0033528918692	1120211	0.29	1193	24	257857	None
AG-905-D16	94.63	0.0	Gradient Boost (General Model)	11	0.963	127676	309.5255140898705	1262458	0.33	1313	17	335377	None
AG-905-E10	85.99	0.04	Neural Network (Specific Model)	11	0.963	74087	296.5790838375108	1065393	0.3	1157	30	115483	None
AG-905-E11	91.4	0.18	Neural Network (Specific Model)	11	0.965	124227	304.4714285714286	1320466	0.29	1400	28	294918	None
AG-905-G04	88.37	0.0	Neural Network (Specific Model)	11	0.965	141616	298.73135669362085	1030427	0.3	1113	30	197595	None
AG-905-M05	90.44	0.04	Neural Network (Specific Model)	11	0.966	144210	302.5417661097852	1177254	0.29	1257	20	365125	None
AG-905-O08	85.69	0.02	Neural Network (Specific Model)	11	0.965	75369	304.12694704049846	1210555	0.3	1284	34	158108	None
AG-907-B09	85.09	0.02	Neural Network (Specific Model)	11	0.962	209481	295.4624652455978	990043	0.3	1079	15	355943	None
AG-907-C04	87.79	0.08	Neural Network (Specific Model)	11	0.962	188011	303.6686192468619	1127636	0.29	1195	21	345195	None
AG-907-E04	88.96	0.0	Neural Network (Specific Model)	11	0.964	91136	301.047229791099	1027610	0.3	1101	26	180523	None
AG-907-F09	86.87	0.03	Neural Network (Specific Model)	11	0.967	62806	302.8567026194145	1215757	0.29	1298	38	146977	None
AG-908-C18	90.05	0.06	Neural Network (Specific Model)	11	0.969	117041	301.119104716227	1162076	0.29	1251	29	181769	None
AG-908-F18	86.01	0.01	Neural Network (Specific Model)	11	0.961	72581	303.32693844924063	1180729	0.3	1251	27	212865	None
AG-908-F20	86.14	0.02	Neural Network (Specific Model)	11	0.963	116340	301.00884173297965	1057415	0.3	1131	27	384228	None
AG-908-L09	94.33	0.16	Neural Network (Specific Model)	11	0.966	65978	298.66206395348837	1272546	0.29	1376	40	162825	None
AG-909-A17	86.8	0.08	Neural Network (Specific Model)	11	0.968	93975	299.36267605633805	1050305	0.29	1136	21	226727	None
AG-909-F14	97.38	0.13	Neural Network (Specific Model)	11	0.967	166340	308.28152492668625	1300591	0.29	1364	27	301691	None
AG-909-G08	92.75	0.18	Neural Network (Specific Model)	11	0.964	167312	297.9818481848185	1120457	0.29	1212	22	263395	None
AG-909-G09	91.38	0.0	Gradient Boost (General Model)	11	0.96	108982	306.96130500758727	1260503	0.33	1318	23	171580	None
AG-909-J05	86.52	0.09	Neural Network (Specific Model)	11	0.968	55710	297.7692998204668	1025151	0.29	1114	38	182731	None
AG-910-B05	88.57	0.32	Neural Network (Specific Model)	11	0.963	115539	300.3227194492255	1083907	0.29	1162	29	206270	None
AG-911-E04	88.8	0.02	Neural Network (Specific Model)	11	0.963	126973	302.7645021645022	1086335	0.29	1155	27	212794	None
AG-911-G03	93.06	0.16	Neural Network (Specific Model)	11	0.96	148081	300.50958466453676	1172480	0.3	1252	28	248207	None
AG-911-G13	93.39	0.6	Neural Network (Specific Model)	11	0.964	101000	293.23	1000596	0.3	1100	23	325324	None
AG-911-N14	95.26	0.09	Neural Network (Specific Model)	11	0.966	168991	305.73070739549837	1177651	0.29	1244	18	234593	None
AG-912-C08	86.07	0.0	Neural Network (Specific Model)	11	0.965	89735	299.1337359792925	1073849	0.29	1159	23	238059	None
AG-912-F16	87.23	0.06	Neural Network (Specific Model)	11	0.961	144492	300.24634146341464	1149025	0.3	1230	21	279236	None
AG-912-I02	94.92	0.05	Neural Network (Specific Model)	11	0.966	152748	309.2485590778098	1329628	0.29	1388	25	552676	None
AG-912-L11	93.41	0.25	Neural Network (Specific Model)	11	0.969	123596	305.0928626247122	1227411	0.29	1303	24	305184	None
AG-913-A04	86.43	0.04	Neural Network (Specific Model)	11	0.961	117126	294.84406779661015	1082829	0.3	1180	24	355117	None
AG-913-C02	86.01	0.04	Neural Network (Specific Model)	11	0.963	280282	301.76785714285717	1101650	0.29	1176	24	311546	None
AG-913-C03	96.04	0.01	Neural Network (Specific Model)	11	0.961	128479	300.08359133126936	1206204	0.3	1292	18	286396	None
AG-913-F03	92.51	0.06	Neural Network (Specific Model)	11	0.968	115981	301.17131474103587	1168283	0.3	1255	30	195666	None
AG-913-G10	86.13	0.1	Neural Network (Specific Model)	11	0.967	140189	306.7474137931035	1100860	0.29	1160	21	159663	None
AG-913-I06	97.15	0.0	Neural Network (Specific Model)	11	0.967	238785	302.2231329690346	1025754	0.3	1098	11	390641	None
AG-913-I09	91.0	0.08	Neural Network (Specific Model)	11	0.969	150566	304.76747608535686	1277773	0.29	1359	25	341909	None
AG-913-I14	94.62	0.01	Neural Network (Specific Model)	11	0.964	165018	300.30782918149464	1047064	0.3	1124	18	230704	None
AG-913-L03	96.09	0.07	Neural Network (Specific Model)	11	0.964	280477	303.4546120058565	1286243	0.29	1366	22	393861	None
AG-913-M13	93.3	0.16	Neural Network (Specific Model)	11	0.97	94991	300.0054945054945	1178293	0.29	1274	25	188198	None
AG-913-N09	85.97	0.09	Neural Network (Specific Model)	11	0.968	74189	305.7838948233361	1149903	0.29	1217	34	177310	None
AG-913-O18	87.07	0.79	Neural Network (Specific Model)	11	0.964	104974	302.0406885758998	1198263	0.29	1278	36	185755	None
AG-914-I16	90.28	0.0	Neural Network (Specific Model)	11	0.971	94048	298.16449814126395	987761	0.3	1076	22	204144	None
AG-914-N11	89.56	0.0	Neural Network (Specific Model)	11	0.968	186740	294.53371320037985	957587	0.3	1053	19	317596	None
AG-914-P23	85.29	0.04	Neural Network (Specific Model)	11	0.966	103388	300.2001725625539	1077147	0.3	1159	27	394474	None
AG-915-G13	89.62	0.5	Neural Network (Specific Model)	11	0.964	95700	303.00987091875476	1237317	0.29	1317	31	199353	None
AG-915-K13	97.62	0.11	Neural Network (Specific Model)	11	0.963	662762	300.48014981273406	1246338	0.3	1335	17	662762	None
AG-916-E17	86.08	0.07	Neural Network (Specific Model)	11	0.965	106588	298.4109972041006	992364	0.3	1073	19	150439	None
AG-916-G03	88.58	0.0	Neural Network (Specific Model)	11	0.965	151849	305.90872210953347	934332	0.29	986	23	225151	None
AG-916-L11	86.6	0.01	Neural Network (Specific Model)	11	0.966	150132	306.2800345721694	1096508	0.29	1157	29	242359	None
AG-916-O13	93.09	0.01	Neural Network (Specific Model)	11	0.966	335405	301.77402597402596	1078715	0.3	1155	13	386053	None
AG-916-O20	86.73	0.07	Neural Network (Specific Model)	11	0.965	81998	300.6528735632184	1215504	0.3	1305	41	148426	None
AG-917-C08	93.83	0.0	Neural Network (Specific Model)	11	0.96	189021	295.9371212121212	1216429	0.3	1320	23	224075	None
AG-917-C11	88.35	0.06	Neural Network (Specific Model)	11	0.961	65710	298.06013179571664	1126265	0.3	1214	33	171475	None
AG-917-D03	97.05	0.11	Neural Network (Specific Model)	11	0.968	112388	297.67267483777937	1275888	0.29	1387	30	256817	None
AG-917-D14	92.39	0.34	Neural Network (Specific Model)	11	0.963	64757	296.961797752809	1230808	0.29	1335	48	117691	None
AG-917-D23	91.33	0.11	Neural Network (Specific Model)	11	0.967	130658	298.87125748502996	1234882	0.29	1336	27	215460	None
AG-917-E05	85.84	0.06	Neural Network (Specific Model)	11	0.961	86310	300.10534469403564	1205625	0.29	1291	31	152516	None
AG-917-E14	85.9	0.03	Neural Network (Specific Model)	11	0.97	67931	297.4775967413442	900675	0.3	982	28	121797	None
AG-917-F16	96.2	0.01	Neural Network (Specific Model)	11	0.964	147447	299.6466826538769	1162775	0.29	1251	30	156182	None
AG-917-F18	94.85	0.01	Neural Network (Specific Model)	11	0.966	163577	296.92936170212766	1079329	0.3	1175	15	325155	None
AG-917-M15	89.37	0.0	Neural Network (Specific Model)	11	0.964	87314	298.08601216333625	1063557	0.29	1151	26	183884	None
AG-917-O20	90.45	0.02	Neural Network (Specific Model)	11	0.966	69913	304.48807495741056	1106646	0.3	1174	32	204809	None
AG-917-P07	87.97	0.05	Neural Network (Specific Model)	11	0.961	78954	297.3399681528662	1162448	0.3	1256	37	202193	None
AG-918-G15	89.08	0.31	Neural Network (Specific Model)	11	0.966	128515	307.58125	1219305	0.29	1280	27	237369	None
AG-918-L21	86.66	0.27	Neural Network (Specific Model)	11	0.96	51891	294.61059190031153	1178199	0.3	1284	43	127182	None
AG-919-A21	85.27	0.13	Neural Network (Specific Model)	11	0.967	87831	298.54113345521023	1010001	0.29	1094	23	192152	None
AG-919-C02	87.71	0.02	Neural Network (Specific Model)	11	0.963	122800	302.39767054908486	1128542	0.3	1202	17	315250	None
AG-919-F03	92.46	0.03	Neural Network (Specific Model)	11	0.963	108204	302.58452481076534	1117344	0.29	1189	29	166905	None
AG-919-F21	95.25	0.02	Neural Network (Specific Model)	11	0.965	162193	300.8126649076517	1059067	0.3	1137	14	280087	None
