genome	bac120_taxon	bac120_parent_taxon	bac120_node	bac120_support	bac120_descendants	bac120_target_seeds	bac120_primary_seeds	scg165_taxon	scg165_parent_taxon	scg165_node	scg165_support	scg165_descendants	scg165_target_seeds	scg165_primary_seeds	rank	concordant_taxon	concordant_parent	dual_tree_support	assignment_confidence	decision
AG-892-E08	Pelagibacteraceae	NA	682	1	2	2	1	Pelagibacteraceae	NA	678	1	2	2	1	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-892-F02	Pelagibacteraceae	NA	564	0.58	12	9	9	Pelagibacteraceae	NA	593	1	6	3	3	Family	Pelagibacteraceae	NA	0.58	topology_provisional	topology_provisional
AG-892-F15	Pelagibacteraceae	NA	911	1	4	4	3	Pelagibacteraceae	NA	910	0.99	3	3	3	Family	Pelagibacteraceae	NA	0.99	topology_high	topology_high
AG-892-J03	Pelagibacteraceae	NA	938	0.75	7	7	7	Pelagibacteraceae	NA	923	0.87	5	3	3	Family	Pelagibacteraceae	NA	0.75	topology_provisional	topology_provisional
AG-892-K05	Pelagibacteraceae	NA	768	1	2	2	2	Pelagibacteraceae	NA	774	1	2	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-892-K09	Pelagibacteraceae	NA	547	0.9	422	269	264	Pelagibacteraceae	NA	547	1	416	269	264	Family	Pelagibacteraceae	NA	0.9	topology_provisional	topology_provisional
AG-892-L05	Pelagibacteraceae	NA	548	1	317	210	206	Pelagibacteraceae	NA	548	1	317	210	206	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-892-L17	Pelagibacteraceae	NA	567	1	5	4	4	Pelagibacteraceae	NA	593	1	6	3	3	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-893-F11	Pelagibacteraceae	NA	764	1	8	7	7	Pelagibacteraceae	NA	770	1	8	7	7	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-893-I20	Pelagibacteraceae	NA	732	0.93	3	2	2	Pelagibacteraceae	NA	735	1	3	2	2	Family	Pelagibacteraceae	NA	0.93	topology_provisional	topology_provisional
AG-893-J08	Pelagibacteraceae	NA	917	0.68	3	3	3	Pelagibacteraceae	NA	900	1	45	31	30	Family	Pelagibacteraceae	NA	0.68	topology_provisional	topology_provisional
AG-893-K09	Pelagibacteraceae	NA	976	1	2	2	2	Pelagibacteraceae	NA	975	1	2	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-893-L07	Pelagibacteraceae	NA	893	1	2	2	2	Pelagibacteraceae	NA	885	1	2	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-893-L13	Pelagibacteraceae	NA	960	0.95	2	2	2	Pelagibacteraceae	NA	959	1	2	2	2	Family	Pelagibacteraceae	NA	0.95	topology_high	topology_high
AG-893-M22	Pelagibacteraceae	NA	925	0.96	2	2	2	Pelagibacteraceae	NA	925	1	3	2	2	Family	Pelagibacteraceae	NA	0.96	topology_high	topology_high
AG-893-N07	Pelagibacteraceae	NA	919	0.64	3	2	2	Pelagibacteraceae	NA	920	0.87	4	3	3	Family	Pelagibacteraceae	NA	0.64	topology_provisional	topology_provisional
AG-893-P02	Pelagibacteraceae	NA	874	1	90	59	58	Pelagibacteraceae	NA	957	1	3	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-893-P10	Pelagibacteraceae	NA	758	0.93	57	38	38	Pelagibacteraceae	NA	744	1	71	42	42	Family	Pelagibacteraceae	NA	0.93	topology_provisional	topology_provisional
AG-894-A03	Pelagibacteraceae	NA	926	0.71	3	2	2	Pelagibacteraceae	NA	902	0.88	37	24	23	Family	Pelagibacteraceae	NA	0.71	topology_provisional	topology_provisional
AG-894-A09	Fontibacteriaceae	NA	1042	1	12	8	8	Fontibacteriaceae	NA	1042	1	12	8	8	Family	Fontibacteriaceae	NA	1	topology_high	topology_high
AG-894-B06	Pelagibacteraceae	NA	935	1	2	2	2	Pelagibacteraceae	NA	916	1	2	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-894-B07	Pelagibacteraceae	NA	802	0.86	2	2	2	Pelagibacteraceae	NA	795	1	5	5	5	Family	Pelagibacteraceae	NA	0.86	topology_provisional	topology_provisional
AG-894-C14	Pelagibacteraceae	NA	690	0.99	2	2	2	Pelagibacteraceae	NA	685	1	3	3	3	Family	Pelagibacteraceae	NA	0.99	topology_high	topology_high
AG-894-E10	Pelagibacteraceae	NA	941	0.87	3	3	3	Pelagibacteraceae	NA	940	1	3	3	3	Family	Pelagibacteraceae	NA	0.87	topology_provisional	topology_provisional
AG-894-F15	Pelagibacteraceae	NA	913	1	2	2	1	Pelagibacteraceae	NA	909	0.86	4	4	4	Family	Pelagibacteraceae	NA	0.86	topology_provisional	topology_provisional
AG-894-K14	Pelagibacteraceae	NA	738	0.98	3	2	2	Pelagibacteraceae	NA	730	1	2	2	2	Family	Pelagibacteraceae	NA	0.98	topology_high	topology_high
AG-894-K15	Pelagibacteraceae	NA	762	1	10	8	8	Pelagibacteraceae	NA	768	1	10	8	8	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-894-L13	Pelagibacteraceae	NA	770	1	2	2	2	Pelagibacteraceae	NA	776	1	2	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-894-L17	Pelagibacteraceae	NA	889	0.99	2	2	2	Pelagibacteraceae	NA	887	1	2	2	2	Family	Pelagibacteraceae	NA	0.99	topology_high	topology_high
AG-894-L19	Pelagibacteraceae	NA	902	0.57	35	23	22	Pelagibacteraceae	NA	927	0.87	8	2	2	Family	Pelagibacteraceae	NA	0.57	topology_provisional	topology_provisional
AG-894-O09	Pelagibacteraceae	NA	597	0.98	2	2	2	Pelagibacteraceae	NA	587	0.87	3	3	3	Family	Pelagibacteraceae	NA	0.87	topology_provisional	topology_provisional
AG-894-P23	Pelagibacteraceae	NA	601	0.9	4	3	3	Pelagibacteraceae	NA	593	1	6	3	3	Family	Pelagibacteraceae	NA	0.9	topology_provisional	topology_provisional
AG-895-F17	Pelagibacteraceae	NA	599	0.71	3	2	2	Pelagibacteraceae	NA	579	1	2	2	2	Family	Pelagibacteraceae	NA	0.71	topology_provisional	topology_provisional
AG-895-G15	Pelagibacteraceae	NA	547	0.9	422	269	264	Pelagibacteraceae	NA	547	1	416	269	264	Family	Pelagibacteraceae	NA	0.9	topology_provisional	topology_provisional
AG-895-J19	Pelagibacteraceae	NA	770	1	2	2	2	Pelagibacteraceae	NA	776	1	2	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-895-K10	Pelagibacteraceae	NA	813	1	2	2	2	Pelagibacteraceae	NA	761	1	2	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-896-C18	Pelagibacteraceae	NA	760	0.82	16	11	11	Pelagibacteraceae	NA	802	1	10	4	4	Family	Pelagibacteraceae	NA	0.82	topology_provisional	topology_provisional
AG-896-F06	Pelagibacteraceae	NA	882	1	13	8	8	Pelagibacteraceae	NA	881	0.99	8	5	5	Family	Pelagibacteraceae	NA	0.99	topology_high	topology_high
AG-896-G07	Pelagibacteraceae	NA	913	1	2	2	1	Pelagibacteraceae	NA	907	0.86	3	3	2	Family	Pelagibacteraceae	NA	0.86	topology_provisional	topology_provisional
AG-896-K10	Pelagibacteraceae	NA	799	0.95	4	4	4	Pelagibacteraceae	NA	797	1	2	2	2	Family	Pelagibacteraceae	NA	0.95	topology_high	topology_high
AG-896-L20	Pelagibacteraceae	NA	731	1	2	2	2	Pelagibacteraceae	NA	735	1	3	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-896-O18	Pelagibacteraceae	NA	602	0.98	3	2	2	Pelagibacteraceae	NA	598	1	2	2	2	Family	Pelagibacteraceae	NA	0.98	topology_high	topology_high
AG-897-G09	Pelagibacteraceae	NA	937	0.65	9	8	8	Pelagibacteraceae	NA	938	0.88	7	6	6	Family	Pelagibacteraceae	NA	0.65	topology_provisional	topology_provisional
AG-897-G15	Pelagibacteraceae	NA	726	1	2	2	2	Pelagibacteraceae	NA	730	1	2	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-897-O16	Pelagibacteraceae	NA	928	0.96	4	2	2	Pelagibacteraceae	NA	908	0.99	2	2	2	Family	Pelagibacteraceae	NA	0.96	topology_high	topology_high
AG-898-C07	Pelagibacteraceae	NA	636	0.99	2	2	2	Pelagibacteraceae	NA	624	0.98	2	2	2	Family	Pelagibacteraceae	NA	0.98	topology_high	topology_high
AG-898-G21	Pelagibacteraceae	NA	919	0.64	3	2	2	Pelagibacteraceae	NA	911	1	2	2	2	Family	Pelagibacteraceae	NA	0.64	topology_provisional	topology_provisional
AG-898-P13	Pelagibacteraceae	NA	874	1	90	59	58	Pelagibacteraceae	NA	873	0.8	90	59	58	Family	Pelagibacteraceae	NA	0.8	topology_provisional	topology_provisional
AG-899-A06	Pelagibacteraceae	NA	926	0.71	3	2	2	Pelagibacteraceae	NA	922	0.87	2	2	2	Family	Pelagibacteraceae	NA	0.71	topology_provisional	topology_provisional
AG-899-B09	Pelagibacteraceae	NA	950	1	3	2	2	Pelagibacteraceae	NA	949	1	4	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-899-D19	Pelagibacteraceae	NA	950	1	3	2	2	Pelagibacteraceae	NA	949	1	4	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-899-E14	Cosmipelagibacteraceae	NA	1006	0.61	10	6	6	Cosmipelagibacteraceae	NA	1013	0.98	7	4	4	Family	Cosmipelagibacteraceae	NA	0.61	topology_provisional	topology_provisional
AG-899-G02	Pelagibacteraceae	NA	766	1	5	4	4	Pelagibacteraceae	NA	772	1	5	4	4	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-899-J02	Pelagibacteraceae	NA	662	1	32	30	26	Pelagibacteraceae	NA	662	1	32	30	26	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-899-J23	Pelagibacteraceae	NA	732	0.93	3	2	2	Pelagibacteraceae	NA	727	1	5	5	5	Family	Pelagibacteraceae	NA	0.93	topology_provisional	topology_provisional
AG-899-M07	Pelagibacteraceae	NA	813	1	2	2	2	Pelagibacteraceae	NA	762	1	2	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-899-M19	Pelagibacteraceae	NA	960	0.95	2	2	2	Pelagibacteraceae	NA	959	1	2	2	2	Family	Pelagibacteraceae	NA	0.95	topology_high	topology_high
AG-899-N21	Pelagibacteraceae	NA	682	1	2	2	1	Pelagibacteraceae	NA	678	1	2	2	1	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-899-O04	Pelagibacteraceae	NA	928	0.96	4	2	2	Pelagibacteraceae	NA	905	0.86	8	7	6	Family	Pelagibacteraceae	NA	0.86	topology_provisional	topology_provisional
AG-900-G16	Pelagibacteraceae	NA	925	0.96	2	2	2	Pelagibacteraceae	NA	925	1	3	2	2	Family	Pelagibacteraceae	NA	0.96	topology_high	topology_high
AG-900-I13	Pelagibacteraceae	NA	906	0.91	4	2	2	Pelagibacteraceae	NA	927	0.87	8	2	2	Family	Pelagibacteraceae	NA	0.87	topology_provisional	topology_provisional
AG-900-I19	Pelagibacteraceae	NA	926	0.71	3	2	2	Pelagibacteraceae	NA	937	1	2	2	2	Family	Pelagibacteraceae	NA	0.71	topology_provisional	topology_provisional
AG-900-K21	Pelagibacteraceae	NA	769	1	2	2	2	Pelagibacteraceae	NA	775	1	2	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-901-I06	Pelagibacteraceae	NA	881	1	14	9	9	Pelagibacteraceae	NA	889	0.9	10	7	7	Family	Pelagibacteraceae	NA	0.9	topology_provisional	topology_provisional
AG-901-I21	Pelagibacteraceae	NA	976	1	2	2	2	Pelagibacteraceae	NA	975	1	2	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-903-C11	Pelagibacteraceae	NA	935	1	2	2	2	Pelagibacteraceae	NA	916	1	2	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-903-D02	Pelagibacteraceae	NA	684	1	4	4	4	Pelagibacteraceae	NA	681	1	4	4	4	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-903-F09	Pelagibacteraceae	NA	798	0.86	5	5	5	Pelagibacteraceae	NA	782	0.99	3	2	2	Family	Pelagibacteraceae	NA	0.86	topology_provisional	topology_provisional
AG-903-K07	Pelagibacteraceae	NA	983	0.86	2	2	2	Pelagibacteraceae	NA	983	1	2	2	2	Family	Pelagibacteraceae	NA	0.86	topology_provisional	topology_provisional
AG-903-L07	Pelagibacteraceae	NA	896	1	4	4	4	Pelagibacteraceae	NA	893	1	2	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-903-M21	Cosmipelagibacteraceae	NA	1017	1	2	2	2	Cosmipelagibacteraceae	NA	1019	1	2	2	2	Family	Cosmipelagibacteraceae	NA	1	topology_high	topology_high
AG-903-O08	Pelagibacteraceae	NA	802	0.86	2	2	2	Pelagibacteraceae	NA	789	1	3	3	3	Family	Pelagibacteraceae	NA	0.86	topology_provisional	topology_provisional
AG-904-F11	Cosmipelagibacteraceae	NA	1027	0.98	3	2	2	Cosmipelagibacteraceae	NA	1027	1	3	2	2	Family	Cosmipelagibacteraceae	NA	0.98	topology_high	topology_high
AG-904-F17	Pelagibacteraceae	NA	681	1	2	2	2	Pelagibacteraceae	NA	679	1	2	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-904-K03	Pelagibacteraceae	NA	893	1	2	2	2	Pelagibacteraceae	NA	885	1	2	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-905-A07	Pelagibacteraceae	NA	812	0.89	3	3	3	Pelagibacteraceae	NA	762	1	2	2	2	Family	Pelagibacteraceae	NA	0.89	topology_provisional	topology_provisional
AG-905-E10	Pelagibacteraceae	NA	794	0.74	3	2	2	Pelagibacteraceae	NA	779	0.87	15	13	13	Family	Pelagibacteraceae	NA	0.74	topology_provisional	topology_provisional
AG-905-E11	Pelagibacteraceae	NA	878	0.97	22	15	15	Pelagibacteraceae	NA	890	0.9	8	6	6	Family	Pelagibacteraceae	NA	0.9	topology_provisional	topology_provisional
AG-905-G04	Pelagibacteraceae	NA	778	0.89	27	23	23	Pelagibacteraceae	NA	767	1	36	30	30	Family	Pelagibacteraceae	NA	0.89	topology_provisional	topology_provisional
AG-905-M05	Pelagibacteraceae	NA	957	0.96	5	5	5	Pelagibacteraceae	NA	957	1	3	2	2	Family	Pelagibacteraceae	NA	0.96	topology_high	topology_high
AG-905-O08	Pelagibacteraceae	NA	897	1	3	3	3	Pelagibacteraceae	NA	893	1	2	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-907-B09	Fontibacteriaceae	NA	1042	1	12	8	8	Fontibacteriaceae	NA	1042	1	12	8	8	Family	Fontibacteriaceae	NA	1	topology_high	topology_high
AG-907-C04	Pelagibacteraceae	NA	729	0.99	2	2	2	Pelagibacteraceae	NA	733	1	2	2	2	Family	Pelagibacteraceae	NA	0.99	topology_high	topology_high
AG-907-E04	Pelagibacteraceae	NA	981	0.82	6	4	4	Pelagibacteraceae	NA	985	1	2	2	2	Family	Pelagibacteraceae	NA	0.82	topology_provisional	topology_provisional
AG-907-F09	Pelagibacteraceae	NA	886	0.99	4	2	2	Pelagibacteraceae	NA	877	1	12	7	7	Family	Pelagibacteraceae	NA	0.99	topology_high	topology_high
AG-908-C18	Pelagibacteraceae	NA	592	1	3	2	2	Pelagibacteraceae	NA	585	1	3	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-908-F18	Pelagibacteraceae	NA	891	0.95	4	3	3	Pelagibacteraceae	NA	883	1	4	3	3	Family	Pelagibacteraceae	NA	0.95	topology_high	topology_high
AG-908-F20	Pelagibacteraceae	NA	769	1	2	2	2	Pelagibacteraceae	NA	775	1	2	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-908-L09	Pelagibacteraceae	NA	943	1	2	2	2	Pelagibacteraceae	NA	942	1	2	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-909-A17	Pelagibacteraceae	NA	972	1	9	7	7	Pelagibacteraceae	NA	973	1	8	6	6	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-909-F14	Pelagibacteraceae	NA	918	1	2	2	2	Pelagibacteraceae	NA	917	1	2	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-909-G08	Pelagibacteraceae	NA	723	1	12	10	10	Pelagibacteraceae	NA	725	1	13	11	11	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-909-J05	Pelagibacteraceae	NA	728	0.97	5	4	4	Pelagibacteraceae	NA	732	1	6	4	4	Family	Pelagibacteraceae	NA	0.97	topology_high	topology_high
AG-910-B05	Pelagibacteraceae	NA	735	0.78	4	3	3	Pelagibacteraceae	NA	739	1	2	2	2	Family	Pelagibacteraceae	NA	0.78	topology_provisional	topology_provisional
AG-910-G11	Cosmipelagibacteraceae	NA	1000	0.65	2	2	2	Cosmipelagibacteraceae	NA	998	1	2	2	2	Family	Cosmipelagibacteraceae	NA	0.65	topology_provisional	topology_provisional
AG-911-E04	Pelagibacteraceae	NA	738	0.98	3	2	2	Pelagibacteraceae	NA	723	1	19	15	15	Family	Pelagibacteraceae	NA	0.98	topology_high	topology_high
AG-911-G03	Pelagibacteraceae	NA	680	0.59	3	3	2	Pelagibacteraceae	NA	673	0.89	3	3	1	Family	Pelagibacteraceae	NA	0.59	topology_provisional	topology_provisional
AG-911-G13	Cosmipelagibacteraceae	NA	1009	0.91	2	2	2	Cosmipelagibacteraceae	NA	1017	0.98	3	3	3	Family	Cosmipelagibacteraceae	NA	0.91	topology_provisional	topology_provisional
AG-911-N14	Pelagibacteraceae	NA	860	0.98	4	2	2	Pelagibacteraceae	NA	861	1	4	2	2	Family	Pelagibacteraceae	NA	0.98	topology_high	topology_high
AG-912-A14	Pelagibacteraceae	NA	919	0.64	3	2	2	Pelagibacteraceae	NA	927	0.87	8	2	2	Family	Pelagibacteraceae	NA	0.64	topology_provisional	topology_provisional
AG-912-C08	Pelagibacteraceae	NA	768	1	2	2	2	Pelagibacteraceae	NA	774	1	2	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-912-D10	Cosmipelagibacteraceae	NA	1024	1	6	4	4	Cosmipelagibacteraceae	NA	1024	1	6	4	4	Family	Cosmipelagibacteraceae	NA	1	topology_high	topology_high
AG-912-F16	Pelagibacteraceae	NA	685	0.72	3	3	3	Pelagibacteraceae	NA	683	0.9	2	2	2	Family	Pelagibacteraceae	NA	0.72	topology_provisional	topology_provisional
AG-912-I02	Pelagibacteraceae	NA	918	1	2	2	2	Pelagibacteraceae	NA	917	1	2	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-912-L11	Pelagibacteraceae	NA	606	0.98	5	3	3	Pelagibacteraceae	NA	565	0.88	8	5	5	Family	Pelagibacteraceae	NA	0.88	topology_provisional	topology_provisional
AG-912-P19	Cosmipelagibacteraceae	NA	1019	1	2	2	2	Cosmipelagibacteraceae	NA	1011	1	2	2	2	Family	Cosmipelagibacteraceae	NA	1	topology_high	topology_high
AG-913-A04	Pelagibacteraceae	NA	675	1	2	2	2	Pelagibacteraceae	NA	671	0.84	3	3	3	Family	Pelagibacteraceae	NA	0.84	topology_provisional	topology_provisional
AG-913-C02	Pelagibacteraceae	NA	548	1	317	210	206	Pelagibacteraceae	NA	548	1	317	210	206	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-913-C03	Pelagibacteraceae	NA	673	0.99	2	2	2	Pelagibacteraceae	NA	672	1	2	2	2	Family	Pelagibacteraceae	NA	0.99	topology_high	topology_high
AG-913-F03	Pelagibacteraceae	NA	602	0.98	3	2	2	Pelagibacteraceae	NA	580	0.86	20	14	14	Family	Pelagibacteraceae	NA	0.86	topology_provisional	topology_provisional
AG-913-G10	Pelagibacteraceae	NA	928	0.96	4	2	2	Pelagibacteraceae	NA	927	0.87	8	2	2	Family	Pelagibacteraceae	NA	0.87	topology_provisional	topology_provisional
AG-913-I06	Cosmipelagibacteraceae	NA	1003	1	18	11	11	Cosmipelagibacteraceae	NA	1009	0.87	5	3	3	Family	Cosmipelagibacteraceae	NA	0.87	topology_provisional	topology_provisional
AG-913-I09	Pelagibacteraceae	NA	904	0.57	11	7	6	Pelagibacteraceae	NA	902	0.88	37	24	23	Family	Pelagibacteraceae	NA	0.57	topology_provisional	topology_provisional
AG-913-I14	Cosmipelagibacteraceae	NA	1005	0.84	12	7	7	Cosmipelagibacteraceae	NA	1013	0.98	7	4	4	Family	Cosmipelagibacteraceae	NA	0.84	topology_provisional	topology_provisional
AG-913-L03	Pelagibacteraceae	NA	576	0.92	3	3	3	Pelagibacteraceae	NA	599	0.99	7	6	6	Family	Pelagibacteraceae	NA	0.92	topology_provisional	topology_provisional
AG-913-M13	Pelagibacteraceae	NA	578	0.82	17	13	13	Pelagibacteraceae	NA	562	0.88	14	9	9	Family	Pelagibacteraceae	NA	0.82	topology_provisional	topology_provisional
AG-913-N09	Pelagibacteraceae	NA	904	0.57	11	7	6	Pelagibacteraceae	NA	902	0.88	37	24	23	Family	Pelagibacteraceae	NA	0.57	topology_provisional	topology_provisional
AG-913-O18	Pelagibacteraceae	NA	878	0.97	22	15	15	Pelagibacteraceae	NA	890	0.9	8	6	6	Family	Pelagibacteraceae	NA	0.9	topology_provisional	topology_provisional
AG-914-A09	Pelagibacteraceae	NA	980	1	7	5	5	Pelagibacteraceae	NA	985	1	2	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-914-B14	Pelagibacteraceae	NA	582	0.99	2	2	2	Pelagibacteraceae	NA	603	1	2	2	2	Family	Pelagibacteraceae	NA	0.99	topology_high	topology_high
AG-914-I16	Cosmipelagibacteraceae	NA	1006	0.61	10	6	6	Cosmipelagibacteraceae	NA	1013	0.98	7	4	4	Family	Cosmipelagibacteraceae	NA	0.61	topology_provisional	topology_provisional
AG-914-J05	Cosmipelagibacteraceae	NA	1011	1	2	2	2	Cosmipelagibacteraceae	NA	1018	1	2	2	2	Family	Cosmipelagibacteraceae	NA	1	topology_high	topology_high
AG-914-L04	Pelagibacteraceae	NA	758	0.93	57	38	38	Pelagibacteraceae	NA	746	0.83	18	8	8	Family	Pelagibacteraceae	NA	0.83	topology_provisional	topology_provisional
AG-914-L20	Pelagibacteraceae	NA	860	0.98	4	2	2	Pelagibacteraceae	NA	861	1	4	2	2	Family	Pelagibacteraceae	NA	0.98	topology_high	topology_high
AG-914-N11	Cosmipelagibacteraceae	NA	1005	0.84	12	7	7	Cosmipelagibacteraceae	NA	1009	0.87	5	3	3	Family	Cosmipelagibacteraceae	NA	0.84	topology_provisional	topology_provisional
AG-914-P23	Pelagibacteraceae	NA	676	0.93	2	2	1	Pelagibacteraceae	NA	676	0.99	2	2	1	Family	Pelagibacteraceae	NA	0.93	topology_provisional	topology_provisional
AG-915-G13	Pelagibacteraceae	NA	895	1	5	5	5	Pelagibacteraceae	NA	890	0.9	8	6	6	Family	Pelagibacteraceae	NA	0.9	topology_provisional	topology_provisional
AG-915-G14	Pelagibacteraceae	NA	945	1	2	2	2	Pelagibacteraceae	NA	944	1	2	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-915-K13	Pelagibacteraceae	NA	681	1	2	2	2	Pelagibacteraceae	NA	679	1	2	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-916-A16	Pelagibacteraceae	NA	731	1	2	2	2	Pelagibacteraceae	NA	735	1	3	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-916-A21	Pelagibacteraceae	NA	970	1	3	3	2	Pelagibacteraceae	NA	971	1	2	2	1	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-916-B06	Pelagibacteraceae	NA	937	0.65	9	8	8	Pelagibacteraceae	NA	938	0.88	7	6	6	Family	Pelagibacteraceae	NA	0.65	topology_provisional	topology_provisional
AG-916-B15	Pelagibacteraceae	NA	884	0.99	11	7	7	Pelagibacteraceae	NA	881	0.99	8	5	5	Family	Pelagibacteraceae	NA	0.99	topology_high	topology_high
AG-916-D16	Cosmipelagibacteraceae	NA	1024	1	6	4	4	Cosmipelagibacteraceae	NA	1025	1	5	3	3	Family	Cosmipelagibacteraceae	NA	1	topology_high	topology_high
AG-916-E17	Cosmipelagibacteraceae	NA	1019	1	2	2	2	Cosmipelagibacteraceae	NA	1011	1	2	2	2	Family	Cosmipelagibacteraceae	NA	1	topology_high	topology_high
AG-916-E19	Pelagibacteraceae	NA	934	0.92	2	2	2	Pelagibacteraceae	NA	915	1	2	2	2	Family	Pelagibacteraceae	NA	0.92	topology_provisional	topology_provisional
AG-916-G03	Cosmipelagibacteraceae	NA	987	1	52	36	36	Cosmipelagibacteraceae	NA	987	1	52	36	36	Family	Cosmipelagibacteraceae	NA	1	topology_high	topology_high
AG-916-G09	Pelagibacteraceae	NA	898	1	2	2	2	Pelagibacteraceae	NA	894	1	2	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-916-G19	Pelagibacteraceae	NA	749	0.57	4	2	2	Pelagibacteraceae	NA	754	0.99	2	2	2	Family	Pelagibacteraceae	NA	0.57	topology_provisional	topology_provisional
AG-916-J11	Pelagibacteraceae	NA	548	1	317	210	206	Pelagibacteraceae	NA	548	1	317	210	206	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-916-L11	Pelagibacteraceae	NA	901	0.86	45	31	30	Pelagibacteraceae	NA	923	0.87	5	3	3	Family	Pelagibacteraceae	NA	0.86	topology_provisional	topology_provisional
AG-916-M15	Pelagibacteraceae	NA	689	0.69	3	3	3	Pelagibacteraceae	NA	688	1	2	2	2	Family	Pelagibacteraceae	NA	0.69	topology_provisional	topology_provisional
AG-916-N14	Pelagibacteraceae	NA	597	0.98	2	2	2	Pelagibacteraceae	NA	583	0.89	5	3	3	Family	Pelagibacteraceae	NA	0.89	topology_provisional	topology_provisional
AG-916-O13	Pelagibacteraceae	NA	982	0.84	4	3	3	Pelagibacteraceae	NA	982	0.96	3	3	3	Family	Pelagibacteraceae	NA	0.84	topology_provisional	topology_provisional
AG-916-O20	Pelagibacteraceae	NA	882	1	13	8	8	Pelagibacteraceae	NA	888	0.87	11	8	8	Family	Pelagibacteraceae	NA	0.87	topology_provisional	topology_provisional
AG-917-B07	Pelagibacteraceae	NA	978	0.99	2	2	2	Pelagibacteraceae	NA	977	1	2	2	2	Family	Pelagibacteraceae	NA	0.99	topology_high	topology_high
AG-917-C08	Pelagibacteraceae	NA	673	0.99	2	2	2	Pelagibacteraceae	NA	672	1	2	2	2	Family	Pelagibacteraceae	NA	0.99	topology_high	topology_high
AG-917-C11	Pelagibacteraceae	NA	674	1	2	2	1	Pelagibacteraceae	NA	674	0.84	2	2	1	Family	Pelagibacteraceae	NA	0.84	topology_provisional	topology_provisional
AG-917-D03	Pelagibacteraceae	NA	906	0.91	4	2	2	Pelagibacteraceae	NA	927	0.87	8	2	2	Family	Pelagibacteraceae	NA	0.87	topology_provisional	topology_provisional
AG-917-D09	Pelagibacteraceae	NA	948	0.96	7	5	5	Pelagibacteraceae	NA	949	1	4	2	2	Family	Pelagibacteraceae	NA	0.96	topology_high	topology_high
AG-917-D14	Pelagibacteraceae	NA	943	1	2	2	2	Pelagibacteraceae	NA	942	1	2	2	2	Family	Pelagibacteraceae	NA	1	topology_high	topology_high
AG-917-D23	Pelagibacteraceae	NA	903	0.61	29	18	17	Pelagibacteraceae	NA	927	0.87	8	2	2	Family	Pelagibacteraceae	NA	0.61	topology_provisional	topology_provisional
