genome_id	genome_size_bp	gc_percent	n_contigs	n50	min_contig_length	max_contig_length	n_proteins	median_protein_length	mean_protein_length	p95_protein_length	max_protein_length	COG_coverage	KO_coverage	Pfam_coverage	any_annotation_coverage	completeness	contamination	completeness_model	translation_table	coding_density	checkm2_contig_n50	checkm2_average_gene_length	checkm2_genome_size	checkm2_gc_content	checkm2_total_coding_sequences	checkm2_total_contigs	checkm2_max_contig_length	checkm2_notes	quality_class	clade_1	clade_2	subclade	subgroup	Order	Family	Genus	Species	reference	type_strain_Freel_2024	genome_type	depth	latitude	longitude	depth_cat	latitude_cat	longhurst_code	description	habitat_type	waterbody_name	habitat_source
AG-422-N14	1069950	29.05	40	56295	2026	141167	1127	265	295.9884649511979	637	1388	87.48890860692103	59.36113575865129	88.55368234250221	91.21561668145519	86.24	0	Neural Network (Specific Model)	11	0.962	56295	295.766323024055	1069950	0.29	1164	40	141167	None	Medium completeness	I	Ib	Ib.3	Ib.3	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	58	24	-22	0-100m	northern_temperate	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NATR; inferred waterbody North Atlantic Ocean
AG-422-N15	1039097	29.08	32	79845	2093	307252	1110	262	294.88468468468466	638.0999999999999	1501	86.12612612612612	59.27927927927929	88.1981981981982	91.17117117117117	88.32	0	Neural Network (Specific Model)	11	0.966	79845	292.96247818499126	1039097	0.29	1146	32	307252	None	Medium completeness	I	Ib	Ib.5	Ib.5	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	57.7	24	-22	0-100m	northern_temperate	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NATR; inferred waterbody North Atlantic Ocean
AG-426-C04	1042481	27.95	36	57765	2140	155431	1092	263	300.61446886446885	674	1501	88.82783882783882	63.27838827838828	90.38461538461539	92.3992673992674	86.84	0.22	Neural Network (Specific Model)	11	0.968	57765	300.06405693950177	1042481	0.28	1124	36	155431	None	Medium completeness	I	Ib	NA	NA	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	91	38.32	-68.87	0-100m	northern_temperate	GFST	Westerlies - Gulf Stream Province	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst GFST; inferred waterbody North Atlantic Ocean
AG-426-D09	1170751	29.37	18	191110	2240	537790	1225	268	303.3012244897959	680.3999999999999	1697	85.46938775510205	59.42857142857143	87.34693877551021	89.95918367346938	95.64	0.02	Neural Network (Specific Model)	11	0.963	191110	303.13263665594855	1170751	0.29	1244	18	537790	None	High completeness	I	Ia	Ia.4	Ia.4.N5	Pelagibacterales	Pelagibacteraceae	Tantilluspelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	90.8	38.32	-68.87	0-100m	northern_temperate	GFST	Westerlies - Gulf Stream Province	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst GFST; inferred waterbody North Atlantic Ocean
AG-426-E13	1195972	28.88	26	93729	2148	201134	1239	279	306.24858757062145	660.099999999999	1526	87.48991121872479	56.416464891041166	88.61985472154964	91.60613397901534	85.89	0.03	Neural Network (Specific Model)	11	0.964	93729	306.002380952381	1195972	0.29	1260	26	201134	None	Medium completeness	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	91	38.32	-68.87	0-100m	northern_temperate	GFST	Westerlies - Gulf Stream Province	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst GFST; inferred waterbody North Atlantic Ocean
AG-426-E17	1151069	28.7	5	966325	2128	966325	1204	268.5	306.313122923588	683.2499999999995	1617	89.53488372093024	62.37541528239202	89.45182724252491	93.35548172757476	99.27	0.02	Neural Network (Specific Model)	11	0.965	966325	306.03294892915983	1151069	0.29	1214	5	966325	None	High completeness	I	Ib	Ib.4	Ib.4.I	Pelagibacterales	Pelagibacteraceae	Passimpelagibacter	unicum	Pachiadaki et al., (2019)	TRUE	SAG	91	38.32	-68.87	0-100m	northern_temperate	GFST	Westerlies - Gulf Stream Province	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst GFST; inferred waterbody North Atlantic Ocean
AG-426-F15	1360204	29.41	13	404457	2514	494381	1428	283	304.1512605042017	639	1498	84.45378151260505	55.53221288515407	86.41456582633053	89.42577030812325	89.52	0.09	Neural Network (Specific Model)	11	0.963	404457	303.9430950728661	1360204	0.29	1441	13	494381	None	Medium completeness	I	Ib	Ib.2.a	Ib.2.N7	Pelagibacterales	Pelagibacteraceae	Parvipelagibacter	dignotus	Pachiadaki et al., (2019)	TRUE	SAG	91	38.32	-68.87	0-100m	northern_temperate	GFST	Westerlies - Gulf Stream Province	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst GFST; inferred waterbody North Atlantic Ocean
AG-426-G09	1162454	28.77	38	63493	2010	136071	1197	277	306.53049289891396	668.2000000000003	1498	87.63575605680869	58.56307435254804	89.30659983291562	92.4812030075188	87.38	0	Neural Network (Specific Model)	11	0.965	63493	304.38961038961037	1162454	0.29	1232	38	136071	None	Medium completeness	I	Ib	Ib.3	Ib.3	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	91	38.32	-68.87	0-100m	northern_temperate	GFST	Westerlies - Gulf Stream Province	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst GFST; inferred waterbody North Atlantic Ocean
AG-426-I10	1144123	28.59	30	92493	2648	136808	1220	258	295.0762295081967	676.05	1615	85.1639344262295	58.27868852459016	86.96721311475409	89.75409836065575	90.48	0.2	Neural Network (Specific Model)	11	0.962	92493	294.61088871096877	1144123	0.29	1249	30	136808	None	High completeness	I	Ia	Ia.4	NA	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	90.8	38.32	-68.87	0-100m	northern_temperate	GFST	Westerlies - Gulf Stream Province	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst GFST; inferred waterbody North Atlantic Ocean
AG-426-I15	976624	30.06	19	170636	2293	336766	1040	264.5	297.2490384615385	640.05	1499	89.13461538461539	62.980769230769226	90.38461538461539	93.46153846153847	88.29	0.02	Neural Network (Specific Model)	11	0.965	170636	296.7909604519774	976624	0.3	1062	19	336766	None	Medium completeness	II	IIa	IIa.A	IIa.A.1	Pelagibacterales	Cosmipelagibacteraceae	Anoxipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	90.8	38.32	-68.87	0-100m	northern_temperate	GFST	Westerlies - Gulf Stream Province	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst GFST; inferred waterbody North Atlantic Ocean
AG-426-I21	1272694	33.22	19	122682	2006	336904	1299	282	310.6481909160893	646.4999999999995	3058	89.83833718244803	61.27790608160123	90.37721324095457	92.99461123941494	90.53	0.01	Gradient Boost (General Model)	11	0.961	122682	310.19044006069805	1272694	0.33	1318	19	336904	None	High completeness	IV	IV	IV	IV	NA	NA	NA	NA	Pachiadaki et al., (2019)	NA	SAG	91	38.32	-68.87	0-100m	northern_temperate	GFST	Westerlies - Gulf Stream Province	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst GFST; inferred waterbody North Atlantic Ocean
AG-426-K09	1234982	29.38	31	87545	2306	148696	1286	282	304.70295489891134	640.5	1498	87.48055987558321	59.020217729393465	89.73561430793157	92.2239502332815	91.88	0.4	Neural Network (Specific Model)	11	0.966	87545	304.8540870893812	1234982	0.29	1309	31	148696	None	High completeness	I	Ib	Ib.2.a	NA	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	91	38.32	-68.87	0-100m	northern_temperate	GFST	Westerlies - Gulf Stream Province	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst GFST; inferred waterbody North Atlantic Ocean
AG-426-M05	1224332	29.23	40	77256	2317	155656	1297	267	296.5782575173477	619.8000000000002	1501	88.9745566692367	57.90285273708559	89.43716268311488	92.67540478026214	86.93	0.15	Neural Network (Specific Model)	11	0.964	77256	296.27027027027026	1224332	0.29	1332	40	155656	None	Medium completeness	I	Ia	Ia.3.V	Ia.3.V	Pelagibacterales	Pelagibacteraceae	Xanthipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	90.8	38.32	-68.87	0-100m	northern_temperate	GFST	Westerlies - Gulf Stream Province	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst GFST; inferred waterbody North Atlantic Ocean
AG-426-M19	1256227	29.13	25	143263	2287	213323	1325	270	299.2188679245283	649	1498	87.69811320754717	57.88679245283019	89.20754716981132	92.15094339622641	91.18	0.23	Neural Network (Specific Model)	11	0.966	143263	300.7968865826538	1256227	0.29	1349	25	213323	None	High completeness	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	91	38.32	-68.87	0-100m	northern_temperate	GFST	Westerlies - Gulf Stream Province	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst GFST; inferred waterbody North Atlantic Ocean
AG-426-O05	1004637	30.96	16	272252	2421	377479	1047	272	303.29226361031516	658.1999999999996	1499	89.4937917860554	64.27889207258835	90.25787965616045	93.21872015281757	95.2	0	Neural Network (Specific Model)	11	0.965	272252	303.13002806361084	1004637	0.31	1069	16	377479	None	High completeness	II	IIa	IIa.A	IIa.A.1	Pelagibacterales	Cosmipelagibacteraceae	Anoxipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	90.8	38.32	-68.87	0-100m	northern_temperate	GFST	Westerlies - Gulf Stream Province	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst GFST; inferred waterbody North Atlantic Ocean
AG-426-P08	1128687	28.87	24	190196	2231	235249	1195	267	299.726359832636	633.8999999999999	1501	89.5397489539749	60.920502092050214	90.2092050209205	93.30543933054393	88.72	0.02	Neural Network (Specific Model)	11	0.964	190196	298.76765188834156	1128687	0.29	1218	24	235249	None	Medium completeness	I	Ia	Ia.3.III	NA	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	90.8	38.32	-68.87	0-100m	northern_temperate	GFST	Westerlies - Gulf Stream Province	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst GFST; inferred waterbody North Atlantic Ocean
AG-430-A11	1217768	28.01	39	82518	2077	213566	1264	275	303.0759493670886	672.5499999999979	1502	88.60759493670885	60.99683544303798	89.00316455696202	92.48417721518987	92.7	0.01	Neural Network (Specific Model)	11	0.965	82518	301.0897239263804	1217768	0.28	1304	39	213566	None	High completeness	I	Ia	NA	NA	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	89.9	26.14	-44.83	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean
AG-430-B09	1164300	27.63	25	100191	2114	313560	1223	273	300.27064595257565	637.8999999999999	1502	86.67211774325429	59.035159443990196	87.65331152902698	90.59689288634505	95.39	0.1	Neural Network (Specific Model)	11	0.962	100191	301.4086886564763	1164300	0.28	1243	25	313560	None	High completeness	I	Ia	Ia.1	NA	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	90	26.14	-44.83	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean
AG-430-E20	1183991	29.81	16	224724	2017	255676	1257	266	299.03341288782815	623	1500	88.8623707239459	60.22275258552108	89.97613365155132	92.68098647573588	91.86	0.02	Neural Network (Specific Model)	11	0.961	224724	298.9551886792453	1183991	0.3	1272	16	255676	None	High completeness	I	Ia	Ia.3.VII	Ia.3.VII	Pelagibacterales	Pelagibacteraceae	Angustipelagibacter	atlanticus	Pachiadaki et al., (2019)	TRUE	SAG	90	26.14	-44.83	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean
AG-430-F03	1008767	30.05	13	529217	2289	529217	1055	272	304.24454976303315	656.4999999999998	1498	89.38388625592417	62.18009478672985	89.85781990521326	93.17535545023696	92.63	0.33	Neural Network (Specific Model)	11	0.966	529217	305.44985941893157	1008767	0.3	1067	13	529217	None	High completeness	II	IIa	IIa.A	IIa.A.1	Pelagibacterales	Cosmipelagibacteraceae	Anoxipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	89.9	26.14	-44.83	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean
AG-430-F16	1108048	29.49	13	264091	2354	369959	1174	268.5	300.50511073253836	637.3499999999999	1508	88.50085178875638	60.6473594548552	89.43781942078365	92.67461669505963	92.82	0.01	Neural Network (Specific Model)	11	0.964	264091	300.3941176470588	1108048	0.29	1190	13	369959	None	High completeness	I	Ib	Ib.4	Ib.4.N9	Pelagibacterales	Pelagibacteraceae	Amplipelagibacter	globalis	Pachiadaki et al., (2019)	TRUE	SAG	90	26.14	-44.83	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean
AG-430-G11	1159775	29.2	27	112280	2008	155286	1218	262	301.0311986863711	648.4499999999996	2604	87.52052545155993	60.09852216748769	87.93103448275862	91.29720853858785	90.33	0.04	Neural Network (Specific Model)	11	0.969	112280	302.2114147909968	1159775	0.29	1244	27	155286	None	High completeness	I	Ib	Ib.5	NA	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	90	26.14	-44.83	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean
AG-430-I18	1181295	29.34	23	138819	2589	213914	1218	277	307.0418719211823	677.1499999999999	1501	86.86371100164205	58.21018062397373	88.09523809523809	91.13300492610837	91.01	0.01	Neural Network (Specific Model)	11	0.964	138819	306.62640901771334	1181295	0.29	1242	23	213914	None	High completeness	I	Ib	Ib.5	Ib.N11	Pelagibacterales	Pelagibacteraceae	Rubeuspelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	89.9	26.14	-44.83	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean
AG-430-J04	995137	29.68	26	165702	2176	254759	1064	262	296.89285714285717	643.8499999999999	1389	90.31954887218046	61.74812030075187	90.69548872180451	93.89097744360903	87.92	0.04	Neural Network (Specific Model)	11	0.967	165702	295.4743119266055	995137	0.3	1090	26	254759	None	Medium completeness	I	Ib	Ib.4	Ib.4.N9	Pelagibacterales	Pelagibacteraceae	Amplipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	90	26.14	-44.83	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean
AG-430-J21	1037294	28.71	32	65574	2165	209392	1094	265	298.6297989031079	635.0499999999997	1499	88.6654478976234	61.24314442413162	88.84826325411335	91.86471663619744	85.45	0	Neural Network (Specific Model)	11	0.962	65574	297.92857142857144	1037294	0.29	1120	32	209392	None	Medium completeness	I	Ib	NA	NA	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	90	26.14	-44.83	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean
AG-430-K07	1128055	28.85	47	41764	2105	161425	1185	263	297.16962025316457	648.9999999999998	1625	85.31645569620252	57.13080168776371	86.58227848101265	89.70464135021096	86.84	0.02	Neural Network (Specific Model)	11	0.963	41764	298.04844006568146	1128055	0.29	1218	47	161425	None	Medium completeness	I	Ia	NA	NA	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	90	26.14	-44.83	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean
AG-439-B12	1139547	28.28	43	74449	2113	116568	1192	268	300.8229865771812	663.8000000000002	1502	87.41610738255034	59.56375838926174	88.50671140939598	91.10738255033557	89.12	0.04	Neural Network (Specific Model)	11	0.965	74449	301.2704918032787	1139547	0.28	1220	43	116568	None	Medium completeness	I	Ib	NA	NA	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	71.6	17.4	-24.5	0-100m	northern_tropical	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NATR; inferred waterbody North Atlantic Ocean
AG-439-C08	992303	30.28	15	166506	3080	223709	1010	284	313.16336633663366	672.6499999999999	1498	90	62.37623762376238	90.3960396039604	93.96039603960395	86.62	0.11	Neural Network (Specific Model)	11	0.967	166506	311.2929194956353	992303	0.3	1031	15	223709	None	Medium completeness	II	IIa	IIa.A	IIa.A.1	Pelagibacterales	Cosmipelagibacteraceae	Anoxipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	72	17.4	-24.5	0-100m	northern_tropical	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NATR; inferred waterbody North Atlantic Ocean
AG-439-C18	1144340	28.7	14	200953	2072	238941	1220	265	298.90901639344264	650.05	1501	87.21311475409837	60.49180327868853	88.11475409836066	91.14754098360656	95.99	0.03	Neural Network (Specific Model)	11	0.963	200953	298.75283630470017	1144340	0.29	1234	14	238941	None	High completeness	I	Ib	Ib.5	NA	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	71.6	17.4	-24.5	0-100m	northern_tropical	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NATR; inferred waterbody North Atlantic Ocean
AG-439-D15	1151845	33.4	38	55441	2174	155107	1215	262	295.4765432098765	641.3	1395	84.60905349794238	57.36625514403292	86.0082304526749	88.23045267489712	86.4	0.02	Gradient Boost (General Model)	11	0.961	55441	297.2578313253012	1151845	0.33	1245	38	155107	None	Medium completeness	IV	IV	IV	IV	NA	NA	NA	NA	Pachiadaki et al., (2019)	NA	SAG	72	17.4	-24.5	0-100m	northern_tropical	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NATR; inferred waterbody North Atlantic Ocean
AG-439-E23	1108106	28.28	39	69470	2056	101030	1159	261	299.344262295082	685.2999999999997	1502	88.09318377911993	58.412424503882654	88.69715271786023	91.458153580673	85.3	0.03	Neural Network (Specific Model)	11	0.964	69470	300.0067226890756	1108106	0.28	1190	39	101030	None	Medium completeness	I	Ib	NA	NA	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	72	17.4	-24.5	0-100m	northern_tropical	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NATR; inferred waterbody North Atlantic Ocean
AG-439-G19	1114807	28.53	23	129693	2185	430306	1152	275.5	306.98090277777777	678.9000000000001	1452	89.23611111111111	62.239583333333336	90.10416666666666	93.14236111111111	87.85	0.12	Neural Network (Specific Model)	11	0.965	129693	305.661002548853	1114807	0.29	1177	23	430306	None	Medium completeness	I	Ib	NA	NA	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	72	17.4	-24.5	0-100m	northern_tropical	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NATR; inferred waterbody North Atlantic Ocean
AG-439-O15	1074931	28.24	34	71929	2132	209794	1131	274	298.7692307692308	632.5	1393	88.41732979664015	60.212201591511935	90.00884173297966	92.66136162687887	89.67	0.02	Neural Network (Specific Model)	11	0.968	71929	300.1872303710095	1074931	0.28	1159	34	209794	None	Medium completeness	I	Ib	Ib.3	Ib.3	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	72	17.4	-24.5	0-100m	northern_tropical	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NATR; inferred waterbody North Atlantic Ocean
AG-447-B22	1018782	29.31	31	61493	2542	248728	1074	271	299.64711359404095	633	1501	87.33705772811918	59.49720670391061	89.29236499068901	91.89944134078212	85.73	0.01	Neural Network (Specific Model)	11	0.963	61493	297.9418710263397	1018782	0.29	1101	31	248728	None	Medium completeness	I	Ia	Ia.4	Ia.4.N5	Pelagibacterales	Pelagibacteraceae	Tantilluspelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	21	-34.98	16.02	0-100m	southern_temperate	EAFR	Coastal - E. Africa Coastal Province	marine	South Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst EAFR; inferred waterbody South Atlantic Ocean
AG-447-C08	1247213	29.43	23	150371	2433	337102	1312	279	302.9504573170732	635.45	1501	90.01524390243902	61.661585365853654	90.39634146341463	93.29268292682927	94.66	0.07	Neural Network (Specific Model)	11	0.965	150371	301.80134932533736	1247213	0.29	1334	23	337102	None	High completeness	I	Ia	Ia.3.V	Ia.3.V	Pelagibacterales	Pelagibacteraceae	Xanthipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	21.2	-34.98	16.02	0-100m	southern_temperate	EAFR	Coastal - E. Africa Coastal Province	marine	South Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst EAFR; inferred waterbody South Atlantic Ocean
AG-447-E19	1191749	29.4	50	43202	2005	85813	1250	275	298.6672	638.55	1501	89.44	60.8	90.32	93.04	87.23	0.03	Neural Network (Specific Model)	11	0.964	43202	298.5342146189736	1191749	0.29	1286	50	85813	None	Medium completeness	I	Ia	Ia.3.V	Ia.3.V	Pelagibacterales	Pelagibacteraceae	Xanthipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	21.2	-34.98	16.02	0-100m	southern_temperate	EAFR	Coastal - E. Africa Coastal Province	marine	South Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst EAFR; inferred waterbody South Atlantic Ocean
AG-447-F10	1059663	29.45	24	71491	2019	167084	1099	266	304.6851683348499	683.1999999999998	1617	88.17106460418562	59.23566878980891	89.08098271155596	91.901728844404	87.88	0.09	Neural Network (Specific Model)	11	0.961	71491	304.3994638069705	1059663	0.29	1119	24	167084	None	Medium completeness	I	Ia	Ia.4	Ia.4.N5	Pelagibacterales	Pelagibacteraceae	Tantilluspelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	21.2	-34.98	16.02	0-100m	southern_temperate	EAFR	Coastal - E. Africa Coastal Province	marine	South Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst EAFR; inferred waterbody South Atlantic Ocean
AG-447-K09	1186992	28.67	12	343266	2658	496960	1265	265	299.700395256917	676.1999999999998	1587	86.24505928853755	58.656126482213445	87.03557312252964	89.96047430830039	96.56	0.06	Neural Network (Specific Model)	11	0.966	343266	300.4318181818182	1186992	0.29	1276	12	496960	None	High completeness	I	Ia	Ia.4	NA	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	21.2	-34.98	16.02	0-100m	southern_temperate	EAFR	Coastal - E. Africa Coastal Province	marine	South Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst EAFR; inferred waterbody South Atlantic Ocean
AG-447-K11	1212869	29.43	35	79939	2309	145801	1281	279	299.26229508196724	619	1501	89.85167837626854	59.40671350507416	90.32006245120999	93.6768149882904	86.12	0.11	Neural Network (Specific Model)	11	0.964	79939	299.53256704980845	1212869	0.29	1305	35	145801	None	Medium completeness	I	Ia	Ia.3.VI	Ia.3.VI	Pelagibacterales	Pelagibacteraceae	Ampluspelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	21	-34.98	16.02	0-100m	southern_temperate	EAFR	Coastal - E. Africa Coastal Province	marine	South Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst EAFR; inferred waterbody South Atlantic Ocean
AG-447-L03	1245792	29.2	21	177648	2571	284009	1289	287	308.19627618308766	637.1999999999998	1501	87.89759503491078	59.50349107835532	89.44918541505042	92.00930954228083	90.12	0.11	Neural Network (Specific Model)	11	0.965	177648	308.13486590038315	1245792	0.29	1305	21	284009	None	High completeness	I	Ia	Ia.3.V	Ia.3.V	Pelagibacterales	Pelagibacteraceae	Xanthipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	21	-34.98	16.02	0-100m	southern_temperate	EAFR	Coastal - E. Africa Coastal Province	marine	South Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst EAFR; inferred waterbody South Atlantic Ocean
AG-447-L10	1102090	29.24	37	63712	2241	146117	1171	270	298.6763450042699	622	1501	87.53202391118703	61.91289496157131	88.89837745516652	91.46029035012809	85.37	0.03	Neural Network (Specific Model)	11	0.968	63712	296.42394014962593	1102090	0.29	1203	37	146117	None	Medium completeness	I	Ia	Ia.3.V	Ia.3.V	Pelagibacterales	Pelagibacteraceae	Xanthipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	21	-34.98	16.02	0-100m	southern_temperate	EAFR	Coastal - E. Africa Coastal Province	marine	South Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst EAFR; inferred waterbody South Atlantic Ocean
AG-447-L14	1052949	28.74	28	63418	2139	142831	1120	262.5	297.0955357142857	651.8999999999992	1501	86.25	58.392857142857146	88.125	91.33928571428571	88.56	0.05	Neural Network (Specific Model)	11	0.964	63418	296.763986013986	1052949	0.29	1144	28	142831	None	Medium completeness	I	Ia	Ia.4	NA	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	21.2	-34.98	16.02	0-100m	southern_temperate	EAFR	Coastal - E. Africa Coastal Province	marine	South Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst EAFR; inferred waterbody South Atlantic Ocean
