genome	rank	taxon	parent_taxon	crown_node	crown_support	crown_descendants	target_seeds	primary_seeds	assignment_confidence	decision
AG-917-F16	Family	Pelagibacteraceae	NA	956	1	4	3	3	topology_high	topology_high
AG-917-F18	Family	Cosmipelagibacteraceae	NA	1000	1	3	3	3	topology_high	topology_high
AG-917-I17	Family	Pelagibacteraceae	NA	687	1	3	3	3	topology_high	topology_high
AG-917-J06	Family	Pelagibacteraceae	NA	563	1	10	7	7	topology_high	topology_high
AG-917-K06	Family	Pelagibacteraceae	NA	767	1	36	30	30	topology_high	topology_high
AG-917-K20	Family	Cosmipelagibacteraceae	NA	999	1	2	2	2	topology_high	topology_high
AG-917-M15	Family	Pelagibacteraceae	NA	973	1	8	6	6	topology_high	topology_high
AG-917-M22	Family	Pelagibacteraceae	NA	667	0.99	11	11	8	topology_high	topology_high
AG-917-O20	Family	Pelagibacteraceae	NA	767	1	36	30	30	topology_high	topology_high
AG-917-P07	Family	Pelagibacteraceae	NA	667	0.99	11	11	8	topology_high	topology_high
AG-918-B06	Family	Pelagibacteraceae	NA	894	1	2	2	2	topology_high	topology_high
AG-918-E02	Family	Pelagibacteraceae	NA	901	1	44	30	29	topology_high	topology_high
AG-918-G06	Family	Pelagibacteraceae	NA	782	0.99	3	2	2	topology_high	topology_high
AG-918-G15	Family	Pelagibacteraceae	NA	949	1	4	2	2	topology_high	topology_high
AG-918-G22	Family	Pelagibacteraceae	NA	937	1	2	2	2	topology_high	topology_high
AG-918-K09	Family	Pelagibacteraceae	NA	686	1	2	2	2	topology_high	topology_high
AG-918-K13	Family	Pelagibacteraceae	NA	901	1	44	30	29	topology_high	topology_high
AG-918-L07	Family	Pelagibacteraceae	NA	670	1	2	2	2	topology_high	topology_high
AG-918-L21	Family	Pelagibacteraceae	NA	686	1	2	2	2	topology_high	topology_high
AG-918-M15	Family	Cosmipelagibacteraceae	NA	1018	1	2	2	2	topology_high	topology_high
AG-918-N23	Family	Cosmipelagibacteraceae	NA	994	1	2	2	2	topology_high	topology_high
AG-919-A21	Family	Pelagibacteraceae	NA	717	1	98	60	60	topology_high	topology_high
AG-919-C02	Family	Pelagibacteraceae	NA	801	1	2	2	2	topology_high	topology_high
AG-919-F03	Family	Pelagibacteraceae	NA	761	1	2	2	2	topology_high	topology_high
AG-919-F21	Family	Cosmipelagibacteraceae	NA	1001	1	2	2	2	topology_high	topology_high
AG-919-I13	Family	Cosmipelagibacteraceae	NA	1006	0.98	8	5	5	topology_high	topology_high
AG-919-L02	Family	Pelagibacteraceae	NA	790	1	2	2	2	topology_high	topology_high
AG-919-M05	Family	Cosmipelagibacteraceae	NA	1006	0.98	8	5	5	topology_high	topology_high
AG-919-O02	Family	Pelagibacteraceae	NA	717	1	98	60	60	topology_high	topology_high
AG-920-D05	Family	Pelagibacteraceae	NA	563	1	10	7	7	topology_high	topology_high
AG-920-I06	Family	Pelagibacteraceae	NA	973	1	8	6	6	topology_high	topology_high
AG-920-I23	Family	Pelagibacteraceae	NA	547	1	416	269	264	topology_high	topology_high
AG-920-J04	Family	Pelagibacteraceae	NA	688	1	2	2	2	topology_high	topology_high
AG-920-L07	Family	Cosmipelagibacteraceae	NA	1027	1	3	2	2	topology_high	topology_high
AG-920-L19	Family	Pelagibacteraceae	NA	977	1	2	2	2	topology_high	topology_high
AG-920-L20	Family	Pelagibacteraceae	NA	925	1	3	2	2	topology_high	topology_high
AH-287-B07	Family	Pelagibacteraceae	NA	606	0.95	2	2	2	topology_high	topology_high
AH-287-C13	Family	Cosmipelagibacteraceae	NA	999	1	2	2	2	topology_high	topology_high
AH-287-E08	Family	Pelagibacteraceae	NA	802	1	10	4	4	topology_high	topology_high
AH-287-E17	Family	Pelagibacteraceae	NA	608	0.99	3	2	2	topology_high	topology_high
AH-287-E19	Family	Cosmipelagibacteraceae	NA	1019	1	2	2	2	topology_high	topology_high
AH-287-G05	Family	Pelagibacteraceae	NA	785	1	3	3	3	topology_high	topology_high
AH-287-J18	Family	Pelagibacteraceae	NA	743	1	2	2	2	topology_high	topology_high
AH-287-O09	Family	Pelagibacteraceae	NA	952	1	2	2	2	topology_high	topology_high
AH-321-A17	Family	Pelagibacteraceae	NA	605	0.99	6	4	4	topology_high	topology_high
AH-321-D17	Family	Pelagibacteraceae	NA	786	0.99	2	2	2	topology_high	topology_high
AH-321-I23	Family	Cosmipelagibacteraceae	NA	991	1	30	23	23	topology_high	topology_high
AH-321-L23	Family	Pelagibacteraceae	NA	806	1	2	2	2	topology_high	topology_high
AH-321-M13	Family	Pelagibacteraceae	NA	786	0.99	2	2	2	topology_high	topology_high
AH-321-N11	Family	Pelagibacteraceae	NA	706	1	109	65	65	topology_high	topology_high
AH-321-P04	Family	Pelagibacteraceae	NA	806	1	2	2	2	topology_high	topology_high
AH-324-B10	Family	Pelagibacteraceae	NA	976	1	3	3	3	topology_high	topology_high
AH-324-E14	Family	Pelagibacteraceae	NA	861	1	4	2	2	topology_high	topology_high
AH-324-F03	Family	Pelagibacteraceae	NA	608	0.99	3	2	2	topology_high	topology_high
AH-324-J07	Family	Pelagibacteraceae	NA	606	0.95	2	2	2	topology_high	topology_high
AH-324-K07	Family	Pelagibacteraceae	NA	706	1	109	65	65	topology_high	topology_high
AH-324-K09	Family	Pelagibacteraceae	NA	898	0.99	56	39	38	topology_high	topology_high
AH-324-N03	Family	Pelagibacteraceae	NA	608	0.99	3	2	2	topology_high	topology_high
BACL5_MAG-120820-bin39	Family	Pelagibacteraceae	NA	553	1	262	193	189	topology_high	topology_high
BACL5_MAG-121015-bin10	Family	Pelagibacteraceae	NA	553	1	262	193	189	topology_high	topology_high
Baikal-G1	Family	Pelagibacteraceae	NA	553	1	262	193	189	topology_high	topology_high
CPC289	Family	Fontibacteriaceae	NA	1046	1	8	6	6	topology_high	topology_high
ETNP2013_S02_SV82_300m_MAG_01	Family	Cosmipelagibacteraceae	NA	1030	1	9	6	6	topology_high	topology_high
FZCC0015	Family	Pelagibacteraceae	NA	573	0.96	2	2	2	topology_high	topology_high
GOM-A1	Family	Pelagibacteraceae	NA	911	1	2	2	2	topology_high	topology_high
HIMB058	Family	Cosmipelagibacteraceae	NA	994	1	2	2	2	topology_high	topology_high
HIMB083	Family	Pelagibacteraceae	NA	563	1	10	7	7	topology_high	topology_high
HIMB109	Family	Fontibacteriaceae	NA	1051	1	3	3	3	topology_high	topology_high
HIMB114	Family	Fontibacteriaceae	NA	1052	1	2	2	2	topology_high	topology_high
HIMB122	Family	Pelagibacteraceae	NA	618	0.98	39	39	39	topology_high	topology_high
HIMB123	Family	Pelagibacteraceae	NA	597	0.99	2	2	2	topology_high	topology_high
HIMB1321	Family	Pelagibacteraceae	NA	714	1	2	2	2	topology_high	topology_high
HIMB140	Family	Pelagibacteraceae	NA	647	0.95	4	4	4	topology_high	topology_high
HIMB1402	Family	Pelagibacteraceae	NA	798	1	2	2	2	topology_high	topology_high
HIMB1409	Family	Pelagibacteraceae	NA	585	1	3	2	2	topology_high	topology_high
HIMB1412	Family	Pelagibacteraceae	NA	814	1	7	7	7	topology_high	topology_high
HIMB1413	Family	Pelagibacteraceae	NA	585	1	3	2	2	topology_high	topology_high
HIMB1420	Family	Pelagibacteraceae	NA	815	1	6	6	6	topology_high	topology_high
HIMB1427	Family	Pelagibacteraceae	NA	816	1	5	5	5	topology_high	topology_high
HIMB1430	Family	Pelagibacteraceae	NA	649	1	2	2	2	topology_high	topology_high
HIMB1436	Family	Pelagibacteraceae	NA	731	1	7	5	5	topology_high	topology_high
HIMB1437	Family	Pelagibacteraceae	NA	767	1	36	30	30	topology_high	topology_high
HIMB1444	Family	Pelagibacteraceae	NA	590	0.99	2	2	2	topology_high	topology_high
HIMB1456	Family	Pelagibacteraceae	NA	563	1	10	7	7	topology_high	topology_high
HIMB1463	Family	Pelagibacteraceae	NA	818	1	2	2	2	topology_high	topology_high
HIMB1483	Family	Pelagibacteraceae	NA	802	1	10	4	4	topology_high	topology_high
HIMB1485	Family	Pelagibacteraceae	NA	622	0.98	4	4	4	topology_high	topology_high
HIMB1488	Family	Pelagibacteraceae	NA	626	1	3	3	3	topology_high	topology_high
HIMB1490	Family	Pelagibacteraceae	NA	657	0.98	2	2	2	topology_high	topology_high
HIMB1491	Family	Pelagibacteraceae	NA	657	0.98	2	2	2	topology_high	topology_high
HIMB1492	Family	Pelagibacteraceae	NA	634	1	4	4	4	topology_high	topology_high
HIMB1493	Family	Pelagibacteraceae	NA	636	0.99	2	2	2	topology_high	topology_high
HIMB1494	Family	Pelagibacteraceae	NA	656	1	2	2	2	topology_high	topology_high
HIMB1495	Family	Pelagibacteraceae	NA	656	1	2	2	2	topology_high	topology_high
HIMB1505	Family	Pelagibacteraceae	NA	715	1	2	2	2	topology_high	topology_high
HIMB1506	Family	Pelagibacteraceae	NA	627	1	2	2	2	topology_high	topology_high
HIMB1507	Family	Pelagibacteraceae	NA	618	0.98	39	39	39	topology_high	topology_high
HIMB1509	Family	Pelagibacteraceae	NA	618	0.98	39	39	39	topology_high	topology_high
HIMB1513	Family	Pelagibacteraceae	NA	652	1	2	2	2	topology_high	topology_high
HIMB1517	Family	Fontibacteriaceae	NA	1050	1	4	4	4	topology_high	topology_high
HIMB1518	Family	Pelagibacteraceae	NA	635	1	3	3	3	topology_high	topology_high
HIMB1520	Family	Pelagibacteraceae	NA	819	1	2	2	2	topology_high	topology_high
HIMB1521	Family	Pelagibacteraceae	NA	652	1	2	2	2	topology_high	topology_high
HIMB1526	Family	Pelagibacteraceae	NA	641	0.96	5	5	5	topology_high	topology_high
HIMB1527	Family	Pelagibacteraceae	NA	714	1	2	2	2	topology_high	topology_high
HIMB1542	Family	Pelagibacteraceae	NA	654	1	2	2	2	topology_high	topology_high
HIMB1549	Family	Pelagibacteraceae	NA	712	1	5	5	5	topology_high	topology_high
HIMB1552	Family	Pelagibacteraceae	NA	641	0.96	5	5	5	topology_high	topology_high
HIMB1556	Family	Pelagibacteraceae	NA	645	1	2	2	2	topology_high	topology_high
HIMB1559	Family	Pelagibacteraceae	NA	659	1	3	3	3	topology_high	topology_high
HIMB1564	Family	Pelagibacteraceae	NA	818	1	2	2	2	topology_high	topology_high
HIMB1565	Family	Fontibacteriaceae	NA	1052	1	2	2	2	topology_high	topology_high
HIMB1573	Family	Pelagibacteraceae	NA	651	1	3	3	3	topology_high	topology_high
HIMB1577	Family	Pelagibacteraceae	NA	655	1	2	2	2	topology_high	topology_high
HIMB1587	Family	Pelagibacteraceae	NA	660	1	2	2	2	topology_high	topology_high
HIMB1593	Family	Pelagibacteraceae	NA	617	0.98	40	40	40	topology_high	topology_high
HIMB1597	Family	Pelagibacteraceae	NA	660	1	2	2	2	topology_high	topology_high
HIMB1602	Family	Pelagibacteraceae	NA	624	0.98	2	2	2	topology_high	topology_high
HIMB1611	Family	Pelagibacteraceae	NA	648	1	3	3	3	topology_high	topology_high
HIMB1623	Family	Pelagibacteraceae	NA	661	1	2	2	2	topology_high	topology_high
HIMB1631	Family	Pelagibacteraceae	NA	655	1	2	2	2	topology_high	topology_high
HIMB1636	Family	Pelagibacteraceae	NA	641	0.96	5	5	5	topology_high	topology_high
HIMB1641	Family	Pelagibacteraceae	NA	641	0.96	5	5	5	topology_high	topology_high
HIMB1662	Family	Pelagibacteraceae	NA	638	1	9	9	9	topology_high	topology_high
HIMB1685	Family	Pelagibacteraceae	NA	658	0.99	4	4	4	topology_high	topology_high
HIMB1695	Family	Pelagibacteraceae	NA	654	1	2	2	2	topology_high	topology_high
HIMB1701	Family	Pelagibacteraceae	NA	618	0.98	39	39	39	topology_high	topology_high
HIMB1702	Family	Pelagibacteraceae	NA	645	1	2	2	2	topology_high	topology_high
HIMB1709	Family	Pelagibacteraceae	NA	661	1	2	2	2	topology_high	topology_high
HIMB1710	Family	Pelagibacteraceae	NA	641	0.96	5	5	5	topology_high	topology_high
HIMB1715	Family	Pelagibacteraceae	NA	623	0.98	3	3	3	topology_high	topology_high
HIMB1723	Family	Pelagibacteraceae	NA	637	1	10	10	10	topology_high	topology_high
HIMB1746	Family	Pelagibacteraceae	NA	653	1	3	3	3	topology_high	topology_high
HIMB1748	Family	Pelagibacteraceae	NA	640	1	6	6	6	topology_high	topology_high
HIMB1758	Family	Pelagibacteraceae	NA	649	1	2	2	2	topology_high	topology_high
HIMB1765	Family	Pelagibacteraceae	NA	621	0.98	5	5	5	topology_high	topology_high
HIMB1770	Family	Pelagibacteraceae	NA	636	0.99	2	2	2	topology_high	topology_high
HIMB1782	Family	Pelagibacteraceae	NA	618	0.98	39	39	39	topology_high	topology_high
HIMB1835	Family	Pelagibacteraceae	NA	790	1	2	2	2	topology_high	topology_high
HIMB1838	Family	Pelagibacteraceae	NA	798	1	2	2	2	topology_high	topology_high
HIMB1863	Family	Pelagibacteraceae	NA	767	1	36	30	30	topology_high	topology_high
HIMB2104	Family	Pelagibacteraceae	NA	767	1	36	30	30	topology_high	topology_high
HIMB2187	Family	Pelagibacteraceae	NA	743	1	2	2	2	topology_high	topology_high
HIMB2200	Family	Pelagibacteraceae	NA	788	1	4	4	4	topology_high	topology_high
HIMB2201	Family	Pelagibacteraceae	NA	590	0.99	2	2	2	topology_high	topology_high
HIMB2204	Family	Pelagibacteraceae	NA	801	1	2	2	2	topology_high	topology_high
HIMB2211	Family	Pelagibacteraceae	NA	627	1	2	2	2	topology_high	topology_high
HIMB2215	Family	Pelagibacteraceae	NA	767	1	36	30	30	topology_high	topology_high
HIMB2226	Family	Pelagibacteraceae	NA	723	1	19	15	15	topology_high	topology_high
HIMB2250	Family	Pelagibacteraceae	NA	560	0.99	46	34	34	topology_high	topology_high
HIMB2304	Family	Pelagibacteraceae	NA	597	0.99	2	2	2	topology_high	topology_high
HIMB2305	Family	Pelagibacteraceae	NA	946	1	8	6	6	topology_high	topology_high
HIMB4	Family	Pelagibacteraceae	NA	715	1	2	2	2	topology_high	topology_high
HIMB5	Family	Pelagibacteraceae	NA	819	1	2	2	2	topology_high	topology_high
HTCC1002	Family	Pelagibacteraceae	NA	834	1	3	3	3	topology_high	topology_high
HTCC1013	Family	Pelagibacteraceae	NA	835	1	2	2	2	topology_high	topology_high
HTCC1016	Family	Pelagibacteraceae	NA	833	1	4	4	4	topology_high	topology_high
HTCC1040	Family	Pelagibacteraceae	NA	832	1	5	5	5	topology_high	topology_high
HTCC1062	Family	Pelagibacteraceae	NA	835	1	2	2	2	topology_high	topology_high
HTCC7211	Family	Pelagibacteraceae	NA	703	1	2	2	2	topology_high	topology_high
HTCC7214	Family	Pelagibacteraceae	NA	702	1	3	3	3	topology_high	topology_high
HTCC7217	Family	Pelagibacteraceae	NA	703	1	2	2	2	topology_high	topology_high
HTCC8051	Family	Pelagibacteraceae	NA	697	1	5	3	3	topology_high	topology_high
HTCC9022	Family	Pelagibacteraceae	NA	696	1	6	4	4	topology_high	topology_high
HTCC9565	Family	Pelagibacteraceae	NA	822	0.97	23	7	7	topology_high	topology_high
IMCC9063	Family	Fontibacteriaceae	NA	1053	1	2	2	2	topology_high	topology_high
LSUCC0261	Family	Fontibacteriaceae	NA	1053	1	2	2	2	topology_high	topology_high
LSUCC0530	Family	Fontibacteriaceae	NA	1054	1	8	8	8	topology_high	topology_high
LSUCC0664	Family	Fontibacteriaceae	NA	1045	1	9	7	7	topology_high	topology_high
LSUCC0723	Family	Fontibacteriaceae	NA	1049	1	5	5	5	topology_high	topology_high
ME-17	Family	Fontibacteriaceae	NA	1058	0.99	2	2	2	topology_high	topology_high
ME-18	Family	Fontibacteriaceae	NA	1059	1	2	2	2	topology_high	topology_high
ME-20	Family	Fontibacteriaceae	NA	1059	1	2	2	2	topology_high	topology_high
ME-31	Family	Fontibacteriaceae	NA	1058	0.99	2	2	2	topology_high	topology_high
ME-33	Family	Fontibacteriaceae	NA	1057	0.99	3	3	3	topology_high	topology_high
MED-G40	Family	Cosmipelagibacteraceae	NA	987	1	52	36	36	topology_high	topology_high
MED1116	Family	Fontibacteriaceae	NA	1046	1	8	6	6	topology_high	topology_high
MED602	Family	Fontibacteriaceae	NA	1042	1	12	8	8	topology_high	topology_high
MKE-138	Family	Fontibacteriaceae	NA	1060	1	2	2	2	topology_high	topology_high
MiE-29	Family	Fontibacteriaceae	NA	1060	1	2	2	2	topology_high	topology_high
NP1	Family	Pelagibacteraceae	NA	831	1	6	6	6	topology_high	topology_high
RIS-SAG-41	Family	Pelagibacteraceae	NA	822	0.97	23	7	7	topology_high	topology_high
RS39	Family	Pelagibacteraceae	NA	729	1	3	3	3	topology_high	topology_high
RS40	Family	Pelagibacteraceae	NA	948	1	5	3	3	topology_high	topology_high
SAG-MED01	Family	Pelagibacteraceae	NA	744	1	71	42	42	topology_high	topology_high
SAG-MED05	Family	Cosmipelagibacteraceae	NA	1023	1	2	2	2	topology_high	topology_high
SAG-MED06	Family	Pelagibacteraceae	NA	698	1	4	2	2	topology_high	topology_high
SAG-MED08	Family	Pelagibacteraceae	NA	681	1	4	4	4	topology_high	topology_high
SAG-MED11	Family	Pelagibacteraceae	NA	752	1	2	2	2	topology_high	topology_high
SAG-MED13	Family	Pelagibacteraceae	NA	717	1	98	60	60	topology_high	topology_high
SAG-MED15	Family	Pelagibacteraceae	NA	548	1	317	210	206	topology_high	topology_high
SAG-MED22	Family	Pelagibacteraceae	NA	689	1	5	3	3	topology_high	topology_high
SAG-MED28	Family	Cosmipelagibacteraceae	NA	1002	1	2	2	2	topology_high	topology_high
SAG-MED47	Family	Pelagibacteraceae	NA	744	1	71	42	42	topology_high	topology_high
SAG-MED49	Family	Pelagibacteraceae	NA	694	1	11	8	8	topology_high	topology_high
SAG-MED50	Family	Pelagibacteraceae	NA	698	1	4	2	2	topology_high	topology_high
SP27	Family	Fontibacteriaceae	NA	1046	1	8	6	6	topology_high	topology_high
Uisw_090	Family	Pelagibacteraceae	NA	822	0.97	23	7	7	topology_high	topology_high
Uisw_092	Family	Pelagibacteraceae	NA	822	0.97	23	7	7	topology_high	topology_high
Uisw_094	Family	Pelagibacteraceae	NA	822	0.97	23	7	7	topology_high	topology_high
Uisw_099_02	Family	Pelagibacteraceae	NA	822	0.97	23	7	7	topology_high	topology_high
Uisw_101	Family	Pelagibacteraceae	NA	822	0.97	23	7	7	topology_high	topology_high
Uisw_104	Family	Pelagibacteraceae	NA	822	0.97	23	7	7	topology_high	topology_high
Uisw_106	Family	Pelagibacteraceae	NA	822	0.97	23	7	7	topology_high	topology_high
Uisw_113	Family	Pelagibacteraceae	NA	822	0.97	23	7	7	topology_high	topology_high
Uisw_114	Family	Pelagibacteraceae	NA	822	0.97	23	7	7	topology_high	topology_high
Uisw_116	Family	Pelagibacteraceae	NA	822	0.97	23	7	7	topology_high	topology_high
Uisw_121	Family	Pelagibacteraceae	NA	822	0.97	23	7	7	topology_high	topology_high
Uisw_127	Family	Pelagibacteraceae	NA	822	0.97	23	7	7	topology_high	topology_high
Uisw_130	Family	Pelagibacteraceae	NA	822	0.97	23	7	7	topology_high	topology_high
Uisw_134_02	Family	Pelagibacteraceae	NA	551	1	294	207	203	topology_high	topology_high
Uisw_136	Family	Pelagibacteraceae	NA	822	0.97	23	7	7	topology_high	topology_high
Uisw_137	Family	Pelagibacteraceae	NA	822	0.97	23	7	7	topology_high	topology_high
AAA795-A20	Subclade	Ia.3.V	Pelagibacteraceae	563	1	10	7	7	topology_high	topology_high
AG-313-A04	Subclade	II	Cosmipelagibacteraceae	993	1	3	3	3	topology_high	topology_high
AG-325-E08	Subclade	Ia.4.N2	Pelagibacteraceae	752	1	2	2	2	topology_high	topology_high
AG-325-E13	Subclade	II	Cosmipelagibacteraceae	1020	1	5	3	3	topology_high	topology_high
AG-325-E20	Subclade	II	Cosmipelagibacteraceae	1025	1	5	3	3	topology_high	topology_high
AG-337-C09	Subclade	Ib.2.I	Pelagibacteraceae	877	1	12	7	7	topology_high	topology_high
AG-337-C19	Subclade	Ib.N10	Pelagibacteraceae	957	1	3	2	2	topology_high	topology_high
AG-337-D16	Subclade	Ib.1.III	Pelagibacteraceae	908	0.99	2	2	2	topology_high	topology_high
AG-337-D17	Subclade	Ia.4.N5	Pelagibacteraceae	728	1	4	4	4	topology_high	topology_high
AG-337-E15	Subclade	II	Cosmipelagibacteraceae	1006	0.98	8	5	5	topology_high	topology_high
AG-337-G04	Subclade	Ib.2.I	Pelagibacteraceae	880	0.98	9	6	6	topology_high	topology_high
AG-337-G11	Subclade	Ia.4.N3	Pelagibacteraceae	768	1	10	8	8	topology_high	topology_high
AG-343-E17	Subclade	II	Cosmipelagibacteraceae	1034	1	2	2	2	topology_high	topology_high
AG-349-I05	Subclade	Ib.N11	Pelagibacteraceae	860	1	5	3	3	topology_high	topology_high
AG-349-L17	Subclade	Ia.3.V	Pelagibacteraceae	563	1	10	7	7	topology_high	topology_high
AG-349-O05	Subclade	Ia.3.V	Pelagibacteraceae	560	0.99	46	34	34	topology_high	topology_high
AG-359-B05	Subclade	Ib.1.III	Pelagibacteraceae	941	1	2	2	2	topology_high	topology_high
AG-359-C09	Subclade	Ia.3.VII	Pelagibacteraceae	666	1	12	12	9	topology_high	topology_high
AG-359-D09	Subclade	Ia.4.N4	Pelagibacteraceae	805	1	3	3	3	topology_high	topology_high
AG-359-G17	Subclade	Ib.1.III	Pelagibacteraceae	901	1	44	30	29	topology_high	topology_high
AG-359-G22	Subclade	Ia.4.N5	Pelagibacteraceae	737	1	4	3	3	topology_high	topology_high
AG-359-M21	Subclade	Ia.3.VII	Pelagibacteraceae	670	1	2	2	2	topology_high	topology_high
AG-359-O11	Subclade	Ib.1.III	Pelagibacteraceae	944	1	2	2	2	topology_high	topology_high
AG-365-B19	Subclade	II	Cosmipelagibacteraceae	1032	0.99	7	4	4	topology_high	topology_high
AG-390-C17	Subclade	Ia.3.VI	Pelagibacteraceae	612	0.99	3	2	2	topology_high	topology_high
AG-390-C22	Subclade	II	Cosmipelagibacteraceae	1020	1	5	3	3	topology_high	topology_high
AG-390-D02	Subclade	Ia.4.N2	Pelagibacteraceae	749	1	7	4	4	topology_high	topology_high
AG-390-D15	Subclade	Ia.4.N2	Pelagibacteraceae	754	0.99	2	2	2	topology_high	topology_high
AG-390-G11	Subclade	Ia.3.IV	Pelagibacteraceae	698	1	4	2	2	topology_high	topology_high
AG-390-G23	Subclade	Ia.3.V	Pelagibacteraceae	560	0.99	46	34	34	topology_high	topology_high
AG-390-I15	Subclade	Ia.3.VII	Pelagibacteraceae	690	0.98	4	2	2	topology_high	topology_high
AG-390-J13	Subclade	Ia.4.N2	Pelagibacteraceae	749	1	7	4	4	topology_high	topology_high
AG-390-J21	Subclade	Ia.4.II	Pelagibacteraceae	782	0.99	3	2	2	topology_high	topology_high
AG-390-L03	Subclade	Ia.3.IV	Pelagibacteraceae	698	1	4	2	2	topology_high	topology_high
AG-390-M02	Subclade	Ia.4.N2	Pelagibacteraceae	749	1	7	4	4	topology_high	topology_high
AG-390-M14	Subclade	Ia.3.V	Pelagibacteraceae	579	1	2	2	2	topology_high	topology_high
AG-390-M15	Subclade	II	Cosmipelagibacteraceae	1023	1	2	2	2	topology_high	topology_high
AG-404-P13	Subclade	Ib.2.I	Pelagibacteraceae	877	1	12	7	7	topology_high	topology_high
AG-410-O02	Subclade	Ia.3.V	Pelagibacteraceae	601	0.99	2	2	2	topology_high	topology_high
AG-414-B15	Subclade	II	Cosmipelagibacteraceae	1034	1	2	2	2	topology_high	topology_high
AG-414-O09	Subclade	Ib.2.I	Pelagibacteraceae	883	1	4	3	3	topology_high	topology_high
AG-414-O11	Subclade	Ia.3.VII	Pelagibacteraceae	676	0.99	2	2	1	topology_high	topology_high
AG-422-A21	Subclade	II	Cosmipelagibacteraceae	1036	0.99	3	2	2	topology_high	topology_high
AG-422-B22	Subclade	Ia.3.V	Pelagibacteraceae	602	1	3	3	3	topology_high	topology_high
AG-422-C20	Subclade	Ia.3.V	Pelagibacteraceae	563	1	10	7	7	topology_high	topology_high
AG-422-D23	Subclade	Ia.3.V	Pelagibacteraceae	560	0.99	46	34	34	topology_high	topology_high
AG-422-E09	Subclade	Ia.3.V	Pelagibacteraceae	560	0.99	46	34	34	topology_high	topology_high
AG-422-F15	Subclade	II	Cosmipelagibacteraceae	998	1	2	2	2	topology_high	topology_high
AG-422-G03	Subclade	Ia.3.V	Pelagibacteraceae	563	1	10	7	7	topology_high	topology_high
AG-422-K17	Subclade	II	Cosmipelagibacteraceae	1006	0.98	8	5	5	topology_high	topology_high
AG-422-L15	Subclade	II	Cosmipelagibacteraceae	1027	1	3	2	2	topology_high	topology_high
AG-426-D09	Subclade	Ia.4.N5	Pelagibacteraceae	739	1	2	2	2	topology_high	topology_high
AG-426-E13	Subclade	Ib.1.III	Pelagibacteraceae	901	1	44	30	29	topology_high	topology_high
AG-426-E17	Subclade	Ib.4.I	Pelagibacteraceae	970	1	3	3	2	topology_high	topology_high
AG-426-I15	Subclade	II	Cosmipelagibacteraceae	1036	0.99	3	2	2	topology_high	topology_high
AG-426-M05	Subclade	Ia.3.V	Pelagibacteraceae	601	0.99	2	2	2	topology_high	topology_high
AG-426-M19	Subclade	Ib.1.III	Pelagibacteraceae	915	1	2	2	2	topology_high	topology_high
AG-426-O05	Subclade	II	Cosmipelagibacteraceae	1036	0.99	3	2	2	topology_high	topology_high
AG-430-E20	Subclade	Ia.3.VII	Pelagibacteraceae	681	1	4	4	4	topology_high	topology_high
AG-430-F03	Subclade	II	Cosmipelagibacteraceae	1031	0.99	8	5	5	topology_high	topology_high
AG-430-I18	Subclade	Ib.N11	Pelagibacteraceae	861	1	4	2	2	topology_high	topology_high
AG-439-C08	Subclade	II	Cosmipelagibacteraceae	1032	0.99	7	4	4	topology_high	topology_high
AG-447-C08	Subclade	Ia.3.V	Pelagibacteraceae	573	0.96	2	2	2	topology_high	topology_high
AG-447-E19	Subclade	Ia.3.V	Pelagibacteraceae	560	0.99	46	34	34	topology_high	topology_high
AG-447-F10	Subclade	Ia.4.N5	Pelagibacteraceae	733	1	2	2	2	topology_high	topology_high
AG-447-K11	Subclade	Ia.3.VI	Pelagibacteraceae	612	0.99	3	2	2	topology_high	topology_high
AG-447-L03	Subclade	Ia.3.V	Pelagibacteraceae	560	0.99	46	34	34	topology_high	topology_high
AG-447-L10	Subclade	Ia.3.V	Pelagibacteraceae	599	0.99	7	6	6	topology_high	topology_high
AG-447-M05	Subclade	Ia.3.I	Pelagibacteraceae	701	1	4	4	4	topology_high	topology_high
AG-447-M10	Subclade	Ia.3.V	Pelagibacteraceae	563	1	10	7	7	topology_high	topology_high
AG-447-N18	Subclade	Ia.4.II	Pelagibacteraceae	784	0.98	4	4	4	topology_high	topology_high
AG-447-P03	Subclade	Ia.3.V	Pelagibacteraceae	593	1	6	3	3	topology_high	topology_high
AG-447-P22	Subclade	Ia.4.N5	Pelagibacteraceae	737	1	4	3	3	topology_high	topology_high
AG-453-G04	Subclade	II	Cosmipelagibacteraceae	1001	1	2	2	2	topology_high	topology_high
AG-457-B14	Subclade	Ia.3.VII	Pelagibacteraceae	690	0.98	4	2	2	topology_high	topology_high
AG-461-E04	Subclade	II	Cosmipelagibacteraceae	1020	1	5	3	3	topology_high	topology_high
AG-461-L09	Subclade	Ib.2.I	Pelagibacteraceae	887	1	2	2	2	topology_high	topology_high
AG-461-M18	Subclade	Ib.4.N8	Pelagibacteraceae	972	1	9	7	7	topology_high	topology_high
AG-470-D02	Subclade	Ia.3.VII	Pelagibacteraceae	690	0.98	4	2	2	topology_high	topology_high
AG-891-A05	Subclade	Ia.3.V	Pelagibacteraceae	603	1	2	2	2	topology_high	topology_high
AG-891-C15	Subclade	Ia.4.II	Pelagibacteraceae	797	1	2	2	2	topology_high	topology_high
