cluster	number of genomes	final representative	accession	genomes in cluster
cluster_000320	1	GCA_902597885.1_AG-916-G19	GCA_902597885.1	GCA_902597885.1_AG-916-G19
cluster_000321	1	GCA_902577415.1_AG-426-G09	GCA_902577415.1	GCA_902577415.1_AG-426-G09
cluster_000322	1	GCA_000504605.1_ASM50460v1	GCA_000504605.1	GCA_000504605.1_ASM50460v1
cluster_000324	1	GCA_902560565.1_AG-404-B06	GCA_902560565.1	GCA_902560565.1_AG-404-B06
cluster_000325	1	GCA_902567835.1_AG-414-E02	GCA_902567835.1	GCA_902567835.1_AG-414-E02
cluster_000326	1	GCA_902579105.1_AG-430-A11	GCA_902579105.1	GCA_902579105.1_AG-430-A11
cluster_000327	1	GCA_902524115.1_AG-337-C14	GCA_902524115.1	GCA_902524115.1_AG-337-C14
cluster_000328	1	GCA_902583645.1_AG-430-N16	GCA_902583645.1	GCA_902583645.1_AG-430-N16
cluster_000329	1	GCA_902515985.1_AG-325-G21	GCA_902515985.1	GCA_902515985.1_AG-325-G21
cluster_000330	1	GCA_902604525.1_AG-461-B13	GCA_902604525.1	GCA_902604525.1_AG-461-B13
cluster_000331	1	GCA_902617025.1_AG-919-M05	GCA_902617025.1	GCA_902617025.1_AG-919-M05
cluster_000332	1	GCA_902523515.1_AG-895-F17	GCA_902523515.1	GCA_902523515.1_AG-895-F17
cluster_000333	1	GCA_902530635.1_AG-343-E17	GCA_902530635.1	GCA_902530635.1_AG-343-E17
cluster_000334	1	GCA_902620465.1_AG-920-L03	GCA_902620465.1	GCA_902620465.1_AG-920-L03
cluster_000335	1	GCA_902571135.1_AG-422-B22	GCA_902571135.1	GCA_902571135.1_AG-422-B22
cluster_000336	1	GCA_902538525.1_AG-899-G03	GCA_902538525.1	GCA_902538525.1_AG-899-G03
cluster_000337	1	GCA_902627935.1_AH-321-N11	GCA_902627935.1	GCA_902627935.1_AH-321-N11
cluster_000338	1	GCA_902520695.1_AG-894-L17	GCA_902520695.1	GCA_902520695.1_AG-894-L17
cluster_000340	1	GCA_902618695.1_AG-920-D05	GCA_902618695.1	GCA_902618695.1_AG-920-D05
cluster_000342	1	LSUCC0530	LSUCC0530	LSUCC0530
cluster_000344	1	GCA_902566705.1_AG-410-O02	GCA_902566705.1	GCA_902566705.1_AG-410-O02
cluster_000345	1	GCA_902589455.1_AG-439-D05	GCA_902589455.1	GCA_902589455.1_AG-439-D05
cluster_000346	1	GCA_902589395.1_AG-439-G13	GCA_902589395.1	GCA_902589395.1_AG-439-G13
cluster_000347	1	GCA_902521615.1_AG-894-O09	GCA_902521615.1	GCA_902521615.1_AG-894-O09
cluster_000348	1	GCA_902555945.1_AG-390-E04	GCA_902555945.1	GCA_902555945.1_AG-390-E04
cluster_000350	1	GCA_902566365.1_AG-410-L19	GCA_902566365.1	GCA_902566365.1_AG-410-L19
cluster_000351	1	GCA_902571015.1_AG-909-G08	GCA_902571015.1	GCA_902571015.1_AG-909-G08
cluster_000352	1	GCA_902611815.1_AG-918-E06	GCA_902611815.1	GCA_902611815.1_AG-918-E06
cluster_000291	1	GCA_902547315.1_AG-901-G03	GCA_902547315.1	GCA_902547315.1_AG-901-G03
cluster_000028	2	GCA_902544525.1_AG-900-M14	GCA_902544525.1	GCA_902603935.1_AG-457-M14,GCA_902544525.1_AG-900-M14
cluster_000196	2	GCA_902518165.1_AG-894-B06	GCA_902518165.1	GCA_902518165.1_AG-894-B06,GCA_902549935.1_AG-903-C11
cluster_000229	2	GCA_902558435.1_AG-905-E11	GCA_902558435.1	GCA_902526815.1_AG-896-D15,GCA_902558435.1_AG-905-E11
cluster_000155	2	GCA_902561155.1_AG-404-C23	GCA_902561155.1	GCA_902561155.1_AG-404-C23,GCA_902561535.1_AG-907-B09
cluster_000109	2	GCA_902618485.1_AG-892-K05	GCA_902618485.1	GCA_902618485.1_AG-892-K05,GCA_902582455.1_AG-912-C08
cluster_000168	2	GCA_902619925.1_AG-920-I23	GCA_902619925.1	GCA_902536805.1_AG-898-P13,GCA_902619925.1_AG-920-I23
cluster_000244	2	GCA_902622795.1_AG-893-L06	GCA_902622795.1	GCA_902622795.1_AG-893-L06,GCA_902557265.1_AG-390-I15
cluster_000010	2	HIMB1564	HIMB1564	HIMB1463,HIMB1564
cluster_000082	2	HIMB83	HIMB83	GCA_001179845.1_SCGC-AAA795-A20,HIMB83
cluster_000004	2	HTCC7211	HTCC7211	HTCC7211,HTCC7217
cluster_000003	2	GCA_902555585.1_AG-904-K03	GCA_902555585.1	GCA_902555585.1_AG-904-K03,GCA_902622785.1_AG-893-L07
cluster_000013	2	GCA_902594705.1_AG-915-G14	GCA_902594705.1	GCA_902594705.1_AG-915-G14,GCA_902543175.1_AG-359-O11
cluster_000029	2	GCA_902578935.1_AG-426-O05	GCA_902578935.1	GCA_902578935.1_AG-426-O05,GCA_902570375.1_AG-414-P09
cluster_000067	2	GCA_902599105.1_AG-916-M13	GCA_902599105.1	GCA_902599105.1_AG-916-M13,GCA_902522115.1_AG-894-P23
cluster_000102	2	GCA_902555725.1_AG-390-D15	GCA_902555725.1	GCA_902515425.1_AG-325-E08,GCA_902555725.1_AG-390-D15
cluster_000144	2	GCA_902575785.1_AG-426-B11	GCA_902575785.1	GCA_902591025.1_AG-914-L04,GCA_902575785.1_AG-426-B11
cluster_000156	2	GCA_902577525.1_AG-426-I10	GCA_902577525.1	GCA_902577525.1_AG-426-I10,GCA_902540815.1_AG-359-F04
cluster_000175	2	GCA_902622545.1_AG-893-K09	GCA_902622545.1	GCA_902547585.1_AG-901-I21,GCA_902622545.1_AG-893-K09
cluster_000190	2	GCA_902613065.1_AG-918-K13	GCA_902613065.1	GCA_902613065.1_AG-918-K13,GCA_902567545.1_AG-908-I21
cluster_000200	2	GCA_902600485.1_AG-917-B07	GCA_902600485.1	GCA_902600485.1_AG-917-B07,GCA_902620685.1_AG-920-L19
cluster_000214	2	GCA_902597335.1_AG-916-G09	GCA_902597335.1	GCA_902597335.1_AG-916-G09,GCA_902560585.1_AG-905-O08
cluster_000218	2	GCA_902596975.1_AG-916-E19	GCA_902596975.1	GCA_902576975.1_AG-426-F10,GCA_902596975.1_AG-916-E19
cluster_000249	2	GCA_902544135.1_AG-900-K21	GCA_902544135.1	GCA_902567075.1_AG-908-F20,GCA_902544135.1_AG-900-K21
cluster_000274	2	GCA_902572605.1_AG-909-N22	GCA_902572605.1	GCA_902558755.1_AG-390-M15,GCA_902572605.1_AG-909-N22
cluster_000312	2	GCA_902525505.1_AG-337-G04	GCA_902525505.1	GCA_902544675.1_AG-900-M23,GCA_902525505.1_AG-337-G04
cluster_000341	2	HIMB1709	HIMB1709	HIMB1623,HIMB1709
cluster_000343	2	GCA_902543295.1_AG-900-G16	GCA_902543295.1	GCA_902543295.1_AG-900-G16,GCA_902623245.1_AG-893-M22
cluster_000100	3	GCA_902524345.1_AG-895-J19	GCA_902524345.1	GCA_902542605.1_AG-900-E18,GCA_902524345.1_AG-895-J19,GCA_902520675.1_AG-894-L13
cluster_000095	3	GCA_902570695.1_AG-909-F14	GCA_902570695.1	GCA_902570695.1_AG-909-F14,GCA_902633865.1_AG-912-I02,GCA_902535235.1_AG-898-J19
cluster_000219	3	GCA_902576855.1_AG-426-E17	GCA_902576855.1	GCA_902599125.1_AG-916-M11,GCA_902576855.1_AG-426-E17,GCA_902596495.1_AG-916-A21
cluster_000024	4	GCA_902560075.1_AG-905-M05	GCA_902560075.1	GCA_902622905.1_AG-893-L13,GCA_902560075.1_AG-905-M05,GCA_902601715.1_AG-917-F16,GCA_902540355.1_AG-899-M19
cluster_000055	4	GCA_902612405.1_AG-918-G15	GCA_902612405.1	GCA_902537285.1_AG-899-B09,RS40,GCA_902612405.1_AG-918-G15,GCA_902576045.1_AG-426-C16
cluster_000096	4	HIMB114	HIMB114	HIMB1517,HIMB114,HIMB1565,HIMB109
cluster_000060	4	GCA_902596515.1_AG-916-A16	GCA_902596515.1	GCA_902528985.1_AG-896-L20,GCA_902561665.1_AG-907-C04,GCA_902593845.1_AG-447-F10,GCA_902596515.1_AG-916-A16
cluster_000121	5	GCA_902597835.1_AG-916-I16	GCA_902597835.1	GCA_902571005.1_AG-909-G09,GCA_902588785.1_AG-439-D15,GCA_902581085.1_AG-911-I16,GCA_902597835.1_AG-916-I16,GCA_902526005.1_AG-896-A02
cluster_000035	5	GCA_902616245.1_AG-892-B11	GCA_902616245.1	GCA_902568145.1_AG-908-L09,GCA_902601055.1_AG-917-D14,GCA_902539835.1_AG-359-B05,GCA_902616245.1_AG-892-B11,GCA_902519015.1_AG-894-E10
cluster_000016	5	HIMB4	HIMB4	HIMB1549,HIMB1505,HIMB4,HIMB1321,HIMB1527
cluster_000034	5	HTCC1062	HTCC1062	HTCC1040,HTCC1062,HTCC1002,HTCC1013,HTCC1016
cluster_000027	6	GCA_902617415.1_AG-892-F15	GCA_902617415.1	GCA_902566215.1_AG-908-C17,GCA_902623855.1_AG-893-O16,GCA_902617415.1_AG-892-F15,GCA_902519165.1_AG-894-F15,GCA_001704065.1_GOM-A1,GCA_902534735.1_AG-898-G21
cluster_000030	16	GCA_902616875.1_AG-919-L14	GCA_902616875.1	GCA_902612325.1_AG-918-G06,GCA_902550615.1_AG-903-F09,GCA_902555965.1_AG-904-L02,HIMB1838,GCA_902577195.1_AG-426-G02,GCA_902616875.1_AG-919-L14,HIMB1863,GCA_902612065.1_AG-891-C15,GCA_902528545.1_AG-896-K10,HIMB1402,GCA_902614665.1_AG-919-C02,HIMB2215,GCA_902616725.1_AG-919-L02,HIMB2104,HIMB2204,HIMB2200
cluster_000001	28	GCA_902621225.1_AG-920-O11	GCA_902621225.1	GCA_902518455.1_AG-894-C14,GCA_902585705.1_AG-913-C03,GCA_902612995.1_AG-918-K09,GCA_014653735.1_SAG-MED33,GCA_902599515.1_AG-916-M15,GCA_902600795.1_AG-917-C08,GCA_902619815.1_AG-920-J04,GCA_902594635.1_AG-915-K13,GCA_902580005.1_AG-430-E20,GCA_902602265.1_AG-917-I17,GCA_902613405.1_AG-918-L21,GCA_902577995.1_AG-911-B04,GCA_902549945.1_AG-903-D02,GCA_902610355.1_AG-917-M22,GCA_902633195.1_AG-917-P07,GCA_902540595.1_AG-899-N21,GCA_902613205.1_AG-918-L07,GCA_902585595.1_AG-913-A04,GCA_902540045.1_AG-359-C09,GCA_902583135.1_AG-912-F16,GCA_902551955.1_AG-903-K22,GCA_902570235.1_AG-414-O11,GCA_014654325.1_SAG-MED08,GCA_902567405.1_AG-908-I10,GCA_902621225.1_AG-920-O11,GCA_902623605.1_AG-893-N22,GCA_902554715.1_AG-904-F17,GCA_902542915.1_AG-359-M21
cluster_000011	45	HIMB1556	HIMB1556	HIMB1513,HIMB1488,HIMB1492,HIMB1746,HIMB1559,HIMB1493,HIMB122,HIMB1495,HIMB1723,HIMB1701,HIMB1770,HIMB1602,HIMB1636,HIMB1710,HIMB1702,HIMB1611,HIMB1662,HIMB1597,HIMB1494,HIMB1490,HIMB1542,HIMB1715,HIMB2211,HIMB1573,HIMB1491,HIMB1782,HIMB1641,HIMB1485,HIMB1430,HIMB1521,HIMB1748,HIMB140,HIMB1631,HIMB1526,HIMB1593,HIMB1577,HIMB1587,HIMB1518,HIMB1506,HIMB1509,HIMB1758,HIMB1552,HIMB1507,HIMB1556,HIMB1765
