accession	orthogroup	match_type	gene_name	cog_gene	ko_name	pfam_names	gene_id	genome	ko_id	cog_id	pident
A0A6H1Q2N8	OG0000198	Close sequence match	TolQ	TolQ	biopolymer transport protein TolQ	MotA_ExbB	NP1_00631	NP1	K03562	COG0811	100
Q1V205	OG0000198	Close sequence match	TolQ	TolQ	biopolymer transport protein TolQ	MotA_ExbB	HTCC1002_00672	HTCC1002	K03562	COG0811	100
Q4FN24	OG0000198	Close sequence match	TolQ	TolQ	biopolymer transport protein TolQ	MotA_ExbB	HTCC1062_00607	HTCC1062	K03562	COG0811	100
A0A6H1Q5A0	OG0000199	Close sequence match	UvrD	UvrD	ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]	UvrD_C,UvrD-helicase,AAA_19	NP1_01276	NP1	K03657	COG0210	100
Q1V0C1	OG0000199	Close sequence match	UvrD	UvrD	ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]	UvrD_C,UvrD-helicase,AAA_19	HTCC1002_01269	HTCC1002	K03657	COG0210	100
Q4FPM1	OG0000199	Close sequence match	UvrD	UvrD	ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]	UvrD_C,UvrD-helicase,AAA_19	HTCC1062_00015	HTCC1062	K03657	COG0210	100
Q4FNJ8	OG0000200	Close sequence match	Coq7	Coq7	3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60]	COQ7	HTCC1002_00862	HTCC1002	K06134	COG2941	100
A0A6H1Q2F8	OG0000201	Close sequence match	ArgG	ArgG	argininosuccinate synthase [EC:6.3.4.5]	Arginosuc_synth	NP1_00989	NP1	K01940	COG0137	100
Q1V147	OG0000201	Close sequence match	ArgG	ArgG	argininosuccinate synthase [EC:6.3.4.5]	Arginosuc_synth	HTCC1002_00992	HTCC1002	K01940	COG0137	100
Q4FNX4	OG0000201	Close sequence match	ArgG	ArgG	argininosuccinate synthase [EC:6.3.4.5]	Arginosuc_synth	HTCC1062_00293	HTCC1062	K01940	COG0137	100
A0A6H1Q4K8	OG0000202	Close sequence match	QcrA/PetC	QcrA/PetC	ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]	Rieske,UCR_Fe-S_N	NP1_01178	NP1	K00411	COG0723	100
Q1V0K7	OG0000202	Close sequence match	QcrA/PetC	QcrA/PetC	ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]	Rieske,UCR_Fe-S_N	HTCC1002_01181	HTCC1002	K00411	COG0723	100
Q4FPG5	OG0000202	Close sequence match	QcrA/PetC	QcrA/PetC	ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]	Rieske,UCR_Fe-S_N	HTCC1013_01320	HTCC1013	K00411	COG0723	100
A0A381SU41	OG0000203	Close sequence match	GltD	GltD	glutamate synthase (NADPH) small chain [EC:1.4.1.13]	Pyr_redox_2,Fer4_20,NAD_binding_8,Amino_oxidase	ETNP2013_S02_SV82_300m_MAG_01_00229	ETNP2013_S02_SV82_300m_MAG_01	K00266	COG0493	100
A0A6H1Q390	OG0000203	Close sequence match	GltD	GltD	glutamate synthase (NADPH) small chain [EC:1.4.1.13]	Pyr_redox_2,Fer4_20,NAD_binding_8,Amino_oxidase	NP1_00843	NP1	K00266	COG0493	100
Q1V1J6	OG0000203	Close sequence match	GltD	GltD	glutamate synthase (NADPH) small chain [EC:1.4.1.13]	Pyr_redox_2,Fer4_20,NAD_binding_8,Amino_oxidase	HTCC1002_00842	HTCC1002	K00266	COG0493	100
Q4FNI4	OG0000203	Close sequence match	GltD	GltD	glutamate synthase (NADPH) small chain [EC:1.4.1.13]	Pyr_redox_2,Fer4_20,NAD_binding_8,Amino_oxidase	HTCC1062_00436	HTCC1062	K00266	COG0493	100
A0A6H1Q3E8	OG0000204	Close sequence match	TrpB	TrpB	tryptophan synthase beta chain [EC:4.2.1.20]	PALP	NP1_00760	NP1		COG0133	100
Q4FNC9	OG0000204	Close sequence match	TrpB	TrpB	tryptophan synthase beta chain [EC:4.2.1.20]	PALP	HTCC1002_00783	HTCC1002		COG0133	100
A0A6H1Q1H2	OG0000205	Close sequence match	TolB	TolB	TolB protein	PD40,TolB_N	NP1_00628	NP1	K03641	COG0823	100
Q4FN21	OG0000205	Close sequence match	TolB	TolB	TolB protein	PD40,TolB_N	HTCC1002_00669	HTCC1002	K03641	COG0823	100
A0A6H1Q4M0	OG0000206	Close sequence match	MnmG	MnmG	tRNA uridine 5-carboxymethylaminomethyl modification enzyme	GIDA_C,GIDA	NP1_00927	NP1	K03495	COG0445	100
Q1V1A9	OG0000206	Close sequence match	MnmG	MnmG	tRNA uridine 5-carboxymethylaminomethyl modification enzyme	GIDA_C,GIDA	HTCC1002_00929	HTCC1002	K03495	COG0445	100
Q4FNR6	OG0000206	Close sequence match	MnmG	MnmG	tRNA uridine 5-carboxymethylaminomethyl modification enzyme	GIDA_C,GIDA	HTCC1062_00352	HTCC1062	K03495	COG0445	100
A0A6H1Q3J4	OG0000207	Close sequence match	YidC	YidC	YidC/Oxa1 family membrane protein insertase	60KD_IMP,YidC_periplas	NP1_00804	NP1	K03217	COG0706	100
Q1V1M7	OG0000207	Close sequence match	YidC	YidC	YidC/Oxa1 family membrane protein insertase	60KD_IMP,YidC_periplas	HTCC1002_00810	HTCC1002	K03217	COG0706	100
Q4FNF1	OG0000207	Close sequence match	YidC	YidC	YidC/Oxa1 family membrane protein insertase	60KD_IMP,YidC_periplas	HTCC1016_00401	HTCC1016	K03217	COG0706	100
A0A6H1Q4Q0	OG0000208	Close sequence match	AlkA	AlkA	DNA-3-methyladenine glycosylase II [EC:3.2.2.21]	HhH-GPD	NP1_01097	NP1	K01247	COG0122	100
Q1V0U0	OG0000208	Close sequence match	AlkA	AlkA	DNA-3-methyladenine glycosylase II [EC:3.2.2.21]	HhH-GPD	HTCC1002_01098	HTCC1002	K01247	COG0122	100
A0A6H1Q3H6	OG0000209	Close sequence match	PepP	PepP	Xaa-Pro aminopeptidase [EC:3.4.11.9]	Peptidase_M24,Peptidase_M24_C,Creatinase_N_2,Creatinase_N	NP1_01275	NP1	K01262	COG0006	100
Q1V0C2	OG0000209	Close sequence match	PepP	PepP	Xaa-Pro aminopeptidase [EC:3.4.11.9]	Peptidase_M24,Peptidase_M24_C,Creatinase_N_2,Creatinase_N	HTCC1002_01268	HTCC1002	K01262	COG0006	100
Q4FPM0	OG0000209	Close sequence match	PepP	PepP	Xaa-Pro aminopeptidase [EC:3.4.11.9]	Peptidase_M24,Peptidase_M24_C,Creatinase_N_2,Creatinase_N	HTCC1013_01233	HTCC1013	K01262	COG0006	100
A0A6H1Q1Y0	OG0000210	Close sequence match	Dcd	Dcd	dCTP deaminase [EC:3.5.4.13]	dUTPase	NP1_00797	NP1	K01494	COG0717	100
Q4FNE5	OG0000210	Close sequence match	Dcd	Dcd	dCTP deaminase [EC:3.5.4.13]	dUTPase	HTCC1002_00802	HTCC1002	K01494	COG0717	100
A0A6H1Q227	OG0000211	Close sequence match	ArgF	ArgF	ornithine carbamoyltransferase [EC:2.1.3.3]	OTCace,OTCace_N	NP1_00745	NP1		COG0078	100
Q1V1R5	OG0000211	Close sequence match	ArgF	ArgF	ornithine carbamoyltransferase [EC:2.1.3.3]	OTCace,OTCace_N	HTCC1002_00768	HTCC1002		COG0078	100
Q4FNB4	OG0000211	Close sequence match	ArgF	ArgF	ornithine carbamoyltransferase [EC:2.1.3.3]	OTCace,OTCace_N	HTCC1013_00413	HTCC1013		COG0078	100
Q1V1R8	OG0000212	Close sequence match	PheA2	PheA2	prephenate dehydratase [EC:4.2.1.51]	PDT	HTCC1002_00765	HTCC1002	K04518	COG0077	100
Q4FNB1	OG0000212	Close sequence match	PheA2	PheA2	prephenate dehydratase [EC:4.2.1.51]	PDT	HTCC1013_00410	HTCC1013	K04518	COG0077	100
A0A6H1Q3Q9	OG0000213	Close sequence match	PurA	PurA	adenylosuccinate synthase [EC:6.3.4.4]	Adenylsucc_synt	NP1_00620	NP1	K01939	COG0104	100
Q1V216	OG0000213	Close sequence match	PurA	PurA	adenylosuccinate synthase [EC:6.3.4.4]	Adenylsucc_synt	HTCC1002_00661	HTCC1002	K01939	COG0104	100
Q4FN13	OG0000213	Close sequence match	PurA	PurA	adenylosuccinate synthase [EC:6.3.4.4]	Adenylsucc_synt	HTCC1062_00618	HTCC1062	K01939	COG0104	100
A0A6H1Q2C2	OG0000214	Close sequence match	HisI2	HisI2	phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31]	PRA-PH	NP1_00950	NP1		COG0140	100
Q4FNT8	OG0000214	Close sequence match	HisI2	HisI2	phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31]	PRA-PH	HTCC1002_00952	HTCC1002		COG0140	100
A0A6H1Q2E6	OG0000215	Close sequence match	PheS	PheS	phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]	tRNA-synt_2d,Phe_tRNA-synt_N	NP1_00834	NP1	K01889	COG0016	100
Q4FNH5	OG0000215	Close sequence match	PheS	PheS	phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]	tRNA-synt_2d,Phe_tRNA-synt_N	HTCC1002_00833	HTCC1002	K01889	COG0016	100
A0A6H1Q570	OG0000216	Close sequence match	IleS	IleS	isoleucyl-tRNA synthetase [EC:6.1.1.5]	tRNA-synt_1,Anticodon_1,zf-FPG_IleRS	NP1_01123	NP1	K01870	COG0060	100
Q4FPA9	OG0000216	Close sequence match	IleS	IleS	isoleucyl-tRNA synthetase [EC:6.1.1.5]	tRNA-synt_1,Anticodon_1,zf-FPG_IleRS	HTCC1002_01125	HTCC1002	K01870	COG0060	100
A0A381XLK9	OG0000217	Close sequence match	FabA	FabA	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	FabA	ETNP2013_S02_SV82_300m_MAG_01_00913	ETNP2013_S02_SV82_300m_MAG_01	K02372	COG0764	99.2
A0A6H1Q174	OG0000217	Close sequence match	FabA	FabA	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	FabA	NP1_00284	NP1	K02372	COG0764	99.3
Q1V2V9	OG0000217	Close sequence match	FabA	FabA	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	FabA	HTCC1002_00367	HTCC1002	K02372	COG0764	100
Q4FM61	OG0000217	Close sequence match	FabA	FabA	3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	FabA	HTCC1062_00923	HTCC1062	K02372	COG0764	100
A0A6H1Q0W7	OG0000218	Close sequence match	KdsA	KdsA	2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]	DAHP_synth_1	NP1_00269	NP1	K01627	COG2877	100
Q1UZ01	OG0000218	Close sequence match	KdsA	KdsA	2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]	DAHP_synth_1	HTCC1002_00339	HTCC1002	K01627	COG2877	100
Q4FM38	OG0000218	Close sequence match	KdsA	KdsA	2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]	DAHP_synth_1	HTCC1013_00785	HTCC1013	K01627	COG2877	100
A0A6H1Q1B6	OG0000219	Close sequence match	BepA	BepA	No Annotation	TPR_8,TPR_2,TPR_1,TPR_19,TPR_12,TPR_15,TPR_16,MIT,ANAPC3,TPR_11,TPR_17	NP1_00565	NP1		COG4783	100
Q4FMV8	OG0000219	Close sequence match	BepA	BepA	No Annotation	TPR_8,TPR_2,TPR_1,TPR_19,TPR_12,TPR_15,TPR_16,MIT,ANAPC3,TPR_11,TPR_17	HTCC1013_00263	HTCC1013		COG4783	100
A0A6H1Q2I1	OG0000220	Close sequence match	DapB	DapB	4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	DapB_C,DapB_N	NP1_00912	NP1	K00215	COG0289	100
Q1V1C4	OG0000220	Close sequence match	DapB	DapB	4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	DapB_C,DapB_N	HTCC1002_00914	HTCC1002	K00215	COG0289	100
Q4FNQ1	OG0000220	Close sequence match	DapB	DapB	4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	DapB_C,DapB_N	HTCC1062_00367	HTCC1062	K00215	COG0289	100
A0A381SFH9	OG0000221	Close sequence match	ExbD	ExbD	biopolymer transport protein TolR	ExbD	ETNP2013_S02_SV82_300m_MAG_01_00941	ETNP2013_S02_SV82_300m_MAG_01	K03560	COG0848	100
Q4FN23	OG0000221	Close sequence match	ExbD	ExbD	biopolymer transport protein TolR	ExbD	HTCC1002_00671	HTCC1002	K03560	COG0848	100
A0A6H1Q3Y9	OG0000222	Close sequence match	HinT	HinT	histidine triad (HIT) family protein	HIT	NP1_00951	NP1	K02503	COG0537	100
Q4FNT9	OG0000222	Close sequence match	HinT	HinT	histidine triad (HIT) family protein	HIT	HTCC1002_00953	HTCC1002	K02503	COG0537	100
A0A6H1Q243	OG0000223	Close sequence match	DnaN	DnaN	DNA polymerase III subunit beta [EC:2.7.7.7]	DNA_pol3_beta_3,DNA_pol3_beta_2,DNA_pol3_beta	NP1_00869	NP1	K02338	COG0592	100
Q1V1G8	OG0000223	Close sequence match	DnaN	DnaN	DNA polymerase III subunit beta [EC:2.7.7.7]	DNA_pol3_beta_3,DNA_pol3_beta_2,DNA_pol3_beta	HTCC1002_00871	HTCC1002	K02338	COG0592	100
A0A381TB95	OG0000224	Close sequence match	PlsC	PlsC	1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	Acyltransferase	ETNP2013_S02_SV82_300m_MAG_01_00074	ETNP2013_S02_SV82_300m_MAG_01	K00655	COG0204	100
A0A6H1Q2H8	OG0000224	Close sequence match	PlsC	PlsC	1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	Acyltransferase	NP1_00868	NP1		COG0204	100
Q1V1G9	OG0000224	Close sequence match	PlsC	PlsC	1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	Acyltransferase	HTCC1002_00870	HTCC1002	K00655	COG0204	100
Q4FNK6	OG0000224	Close sequence match	PlsC	PlsC	1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	Acyltransferase	HTCC1016_00345	HTCC1016	K00655	COG0204	100
A0A381T5Y3	OG0000225	Close sequence match	DsbB	DsbB	protein dithiol:quinone oxidoreductase [EC:1.8.5.9]	DsbB	ETNP2013_S02_SV82_300m_MAG_01_00067	ETNP2013_S02_SV82_300m_MAG_01	K03611	COG1495	100
A0A6H1Q3P3	OG0000225	Close sequence match	DsbB	DsbB	protein dithiol:quinone oxidoreductase [EC:1.8.5.9]	DsbB	NP1_00859	NP1	K03611	COG1495	100
Q1V1H8	OG0000225	Close sequence match	DsbB	DsbB	protein dithiol:quinone oxidoreductase [EC:1.8.5.9]	DsbB	HTCC1002_00861	HTCC1002	K03611	COG1495	100
A0A6H1Q4R3	OG0000226	Close sequence match	HemC	HemC	hydroxymethylbilane synthase [EC:2.5.1.61]	Porphobil_deam,Porphobil_deamC	NP1_00972	NP1	K01749	COG0181	100
Q1V167	OG0000226	Close sequence match	HemC	HemC	hydroxymethylbilane synthase [EC:2.5.1.61]	Porphobil_deam,Porphobil_deamC	HTCC1002_00972	HTCC1002	K01749	COG0181	100
Q4FNV7	OG0000226	Close sequence match	HemC	HemC	hydroxymethylbilane synthase [EC:2.5.1.61]	Porphobil_deam,Porphobil_deamC	HTCC1062_00310	HTCC1062	K01749	COG0181	100
A0A6H1Q3B0	OG0000227	Close sequence match	LysA	LysA	diaminopimelate decarboxylase [EC:4.1.1.20]	Orn_Arg_deC_N,Orn_DAP_Arg_deC	NP1_00867	NP1	K01586	COG0019	100
Q1V1H0	OG0000227	Close sequence match	LysA	LysA	diaminopimelate decarboxylase [EC:4.1.1.20]	Orn_Arg_deC_N,Orn_DAP_Arg_deC	HTCC1002_00869	HTCC1002	K01586	COG0019	100
Q4FNK5	OG0000227	Close sequence match	LysA	LysA	diaminopimelate decarboxylase [EC:4.1.1.20]	Orn_Arg_deC_N,Orn_DAP_Arg_deC	HTCC1013_00522	HTCC1013	K01586	COG0019	100
Q1V0K6	OG0000228	Close sequence match	QcrB/PetB	QcrB/PetB	ubiquinol-cytochrome c reductase cytochrome b subunit	Cytochrom_B_C,Cytochrome_B	HTCC1002_01182	HTCC1002	K00412	COG1290	100
Q4FPG6	OG0000228	Close sequence match	QcrB/PetB	QcrB/PetB	ubiquinol-cytochrome c reductase cytochrome b subunit	Cytochrom_B_C,Cytochrome_B	HTCC1062_00102	HTCC1062	K00412	COG1290	100
A0A6H1Q055	OG0000229	Close sequence match	DusA	DusA	tRNA-dihydrouridine synthase A [EC:1.-.-.-]	Dus	NP1_00024	NP1	K05539	COG0042	99.7
Q1UZT1	OG0000229	Close sequence match	DusA	DusA	tRNA-dihydrouridine synthase A [EC:1.-.-.-]	Dus	HTCC1013_01040	HTCC1013	K05539	COG0042	100
Q4FLD8	OG0000229	Close sequence match	DusA	DusA	tRNA-dihydrouridine synthase A [EC:1.-.-.-]	Dus	HTCC1062_01207	HTCC1062	K05539	COG0042	100
A0A6H1Q2W6	OG0000230	Close sequence match	CtpA	CtpA	carboxyl-terminal processing protease [EC:3.4.21.102]	Peptidase_S41,PDZ_6,Peptidase_M50,PDZ_2,PDZ	NP1_01056	NP1	K03797	COG0793	100
Q4FP41	OG0000230	Close sequence match	CtpA	CtpA	carboxyl-terminal processing protease [EC:3.4.21.102]	Peptidase_S41,PDZ_6,Peptidase_M50,PDZ_2,PDZ	HTCC1002_01057	HTCC1002	K03797	COG0793	100
A0A381ZR92	OG0000231	Close sequence match	GroES	GroES	chaperonin GroES	Cpn10	AG-447-N21_00213	AG-447-N21	K04078	COG0234	100
A0A845S595	OG0000231	Close sequence match	GroES	GroES	chaperonin GroES	Cpn10	LSUCC0530_00955	LSUCC0530	K04078	COG0234	100
Q4FPA6	OG0000231	Close sequence match	GroES	GroES	chaperonin GroES	Cpn10	HTCC1013_01379	HTCC1013	K04078	COG0234	100
A0A6H1Q2U9	OG0000232	Close sequence match	SfcA	SfcA	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	PTA_PTB,Malic_M,malic	NP1_00904	NP1	K00029	COG0281	100
Q1V1D2	OG0000232	Close sequence match	SfcA	SfcA	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	PTA_PTB,Malic_M,malic	HTCC1002_00906	HTCC1002	K00029	COG0281	100
A0A6H1Q381	OG0000233	Close sequence match	PheT	PheT	phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]	tRNA_synthFbeta,B3_4,FDX-ACB,B5,tRNA_bind	NP1_00833	NP1	K01890	COG0072	100
Q1V1K6	OG0000233	Close sequence match	PheT	PheT	phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]	tRNA_synthFbeta,B3_4,FDX-ACB,B5,tRNA_bind	HTCC1002_00832	HTCC1002	K01890	COG0072	100
Q4FNH4	OG0000233	Close sequence match	PheT	PheT	phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]	tRNA_synthFbeta,B3_4,FDX-ACB,B5,tRNA_bind	HTCC1062_00446	HTCC1062	K01890	COG0072	100
A0A6H1Q2D7	OG0000234	Close sequence match	BaeS	BaeS	two-component system, sensor histidine kinase RegB [EC:2.7.13.3]	HATPase_c,HisKA	NP1_00823	NP1	K15011	COG0642	100
Q1V1K9	OG0000234	Close sequence match	BaeS	BaeS	two-component system, sensor histidine kinase RegB [EC:2.7.13.3]	HATPase_c,HisKA	HTCC1002_00828	HTCC1002	K15011	COG0642	100
Q4FNH0	OG0000234	Close sequence match	BaeS	BaeS	two-component system, sensor histidine kinase RegB [EC:2.7.13.3]	HATPase_c,HisKA	HTCC1062_00451	HTCC1062	K15011	COG0642	100
A0A6H1Q1C5	OG0000235	Close sequence match	GlnA	GlnA	glutamine synthetase [EC:6.3.1.2]	Gln-synt_C,Gln-synt_N	NP1_00476	NP1	K01915	COG0174	100
Q4FMM3	OG0000235	Close sequence match	GlnA	GlnA	glutamine synthetase [EC:6.3.1.2]	Gln-synt_C,Gln-synt_N	HTCC1013_00179	HTCC1013	K01915	COG0174	100
Q1V236	OG0000236	Close sequence match			sensory rhodopsin	Bac_rhodopsin	HTCC1002_00640	HTCC1002	K04643	COG5524	100
Q4FMZ3	OG0000236	Close sequence match			sensory rhodopsin	Bac_rhodopsin	HTCC1013_00296	HTCC1013	K04643	COG5524	100
Q1V1F2	OG0000237	Close sequence match	FabI	FabI	enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	adh_short_C2	HTCC1013_00540	HTCC1013	K00208	COG0623	100
Q4FNM3	OG0000237	Close sequence match	FabI	FabI	enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	adh_short_C2	HTCC1002_00887	HTCC1002	K00208	COG0623	100
A0A6H1Q1F0	OG0000238	Close sequence match	AllB	AllB	dihydroorotase [EC:3.5.2.3]	Amidohydro_1,Urease_alpha	NP1_00602	NP1	K01465	COG0044	100
Q1V233	OG0000238	Close sequence match	AllB	AllB	dihydroorotase [EC:3.5.2.3]	Amidohydro_1,Urease_alpha	HTCC1002_00643	HTCC1002	K01465	COG0044	100
Q4FMZ6	OG0000238	Close sequence match	AllB	AllB	dihydroorotase [EC:3.5.2.3]	Amidohydro_1,Urease_alpha	HTCC1062_00636	HTCC1062	K01465	COG0044	100
Q1V1P8	OG0000239	Close sequence match	AccD	AccD	acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]	Carboxyl_trans,zf-ACC	HTCC1002_00785	HTCC1002	K01963	COG0777	100
Q4FND1	OG0000239	Close sequence match	AccD	AccD	acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]	Carboxyl_trans,zf-ACC	HTCC1013_00430	HTCC1013	K01963	COG0777	100
A0A6H1Q1E1	OG0000240	Close sequence match	TauE	TauE	uncharacterized protein	TauE,Alph_Pro_TM	NP1_00365	NP1	K07090	COG0730	100
Q1V2N8	OG0000240	Close sequence match	TauE	TauE	uncharacterized protein	TauE,Alph_Pro_TM	HTCC1002_00441	HTCC1002	K07090	COG0730	100
Q4FMD2	OG0000240	Close sequence match	TauE	TauE	uncharacterized protein	TauE,Alph_Pro_TM	HTCC1013_00089	HTCC1013	K07090	COG0730	100
A0A6H1Q3X3	OG0000241	Close sequence match	PolA	PolA	DNA polymerase I [EC:2.7.7.7]	DNA_pol_A,DNA_pol_A_exo1,5_3_exonuc,5_3_exonuc_N	NP1_01082	NP1	K02335	COG0749	100
Q1V0V5	OG0000241	Close sequence match	PolA	PolA	DNA polymerase I [EC:2.7.7.7]	DNA_pol_A,DNA_pol_A_exo1,5_3_exonuc,5_3_exonuc_N	HTCC1002_01083	HTCC1002	K02335	COG0749	100
Q4FP67	OG0000241	Close sequence match	PolA	PolA	DNA polymerase I [EC:2.7.7.7]	DNA_pol_A,DNA_pol_A_exo1,5_3_exonuc,5_3_exonuc_N	HTCC1062_00200	HTCC1062	K02335	COG0749	100
A0A6H1Q2M3	OG0000242	Close sequence match	ProA	ProA	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	Aldedh,OSCP	NP1_01059	NP1		COG0014	100
Q1V0X9	OG0000242	Close sequence match	ProA	ProA	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	Aldedh,OSCP	HTCC1002_01060	HTCC1002		COG0014	100
Q4FP44	OG0000242	Close sequence match	ProA	ProA	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	Aldedh,OSCP	HTCC1062_00223	HTCC1062		COG0014	100
A0A6H1Q1U6	OG0000243	Close sequence match	ManB	ManB	phosphoglucosamine mutase [EC:5.4.2.10]	PGM_PMM_III,PGM_PMM_IV,PGM_PMM_I,PGM_PMM_II,Pterin_bind	NP1_00622	NP1	K03431	COG1109	100
Q1V214	OG0000243	Close sequence match	ManB	ManB	phosphoglucosamine mutase [EC:5.4.2.10]	PGM_PMM_III,PGM_PMM_IV,PGM_PMM_I,PGM_PMM_II,Pterin_bind	HTCC1002_00663	HTCC1002	K03431	COG1109	100
Q4FN15	OG0000243	Close sequence match	ManB	ManB	phosphoglucosamine mutase [EC:5.4.2.10]	PGM_PMM_III,PGM_PMM_IV,PGM_PMM_I,PGM_PMM_II,Pterin_bind	HTCC1062_00616	HTCC1062	K03431	COG1109	100
A0A6H1Q2E5	OG0000244	Close sequence match	CoaBC	CoaBC	phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]	DFP,Flavoprotein	NP1_00875	NP1	K13038	COG0452	100
Q1V1G2	OG0000244	Close sequence match	CoaBC	CoaBC	phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]	DFP,Flavoprotein	HTCC1002_00877	HTCC1002	K13038	COG0452	100
Q4FNL3	OG0000244	Close sequence match	CoaBC	CoaBC	phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]	DFP,Flavoprotein	HTCC1013_00530	HTCC1013	K13038	COG0452	100
A0A6H1Q3Y7	OG0000245	Close sequence match	ThrS	ThrS	threonyl-tRNA synthetase [EC:6.1.1.3]	tRNA-synt_2b,HGTP_anticodon,tRNA_SAD,TGS	NP1_00838	NP1	K01868	COG0441	100
Q1V1K1	OG0000245	Close sequence match	ThrS	ThrS	threonyl-tRNA synthetase [EC:6.1.1.3]	tRNA-synt_2b,HGTP_anticodon,tRNA_SAD,TGS	HTCC1002_00837	HTCC1002	K01868	COG0441	100
Q4FNH9	OG0000245	Close sequence match	ThrS	ThrS	threonyl-tRNA synthetase [EC:6.1.1.3]	tRNA-synt_2b,HGTP_anticodon,tRNA_SAD,TGS	HTCC1062_00441	HTCC1062	K01868	COG0441	100
Q1UZY5	OG0000246	Close sequence match	GcvT	GcvT	dimethylglycine dehydrogenase [EC:1.5.8.4]	GCV_T,GCV_T_C,FAO_M,DAO	HTCC1002_01404	HTCC1002	K00315	COG0404	100
Q4FL81	OG0000246	Close sequence match	GcvT	GcvT	dimethylglycine dehydrogenase [EC:1.5.8.4]	GCV_T,GCV_T_C,FAO_M,DAO	HTCC1013_01097	HTCC1013	K00315	COG0404	100
A0A6H1Q3P1	OG0000247	Close sequence match	GTP1	GTP1	ribosome-binding ATPase	YchF-GTPase_C,MMR_HSR1	NP1_01181	NP1		COG0012	100
Q4FPG8	OG0000247	Close sequence match	GTP1	GTP1	ribosome-binding ATPase	YchF-GTPase_C,MMR_HSR1	HTCC1002_01184	HTCC1002		COG0012	100
A0A381PPZ8	OG0000248	Close sequence match	FabG	FabG	pteridine reductase [EC:1.5.1.33]	adh_short,adh_short_C2,FolB	ETNP2013_S02_SV82_300m_MAG_01_00477	ETNP2013_S02_SV82_300m_MAG_01		COG1028	99.2
A0A6H1Q302	OG0000248	Close sequence match	FabG	FabG	pteridine reductase [EC:1.5.1.33]	adh_short,adh_short_C2,FolB	NP1_01197	NP1		COG1028	100
Q1V0I9	OG0000248	Close sequence match	FabG	FabG	pteridine reductase [EC:1.5.1.33]	adh_short,adh_short_C2,FolB	HTCC1002_01199	HTCC1002		COG1028	100
Q4FPI3	OG0000248	Close sequence match	FabG	FabG	pteridine reductase [EC:1.5.1.33]	adh_short,adh_short_C2,FolB	HTCC1062_00085	HTCC1062		COG1028	100
