genome	Clade1	Clade2	Subclade	Subgroup	Family	Genus	Species	Order	reference	type_strain_Freel_2024	type	depth	latitude	longitude	depth_cat	latitude_cat	longhurst_code	description	habitat_type	waterbody_name	habitat_source	completeness	contamination	coding_density	checkm2_contig_n50	checkm2_average_gene_length	checkm2_genome_size	checkm2_total_coding_sequences	checkm2_total_contigs	checkm2_max_contig_length	N_ARSC	C_ARSC	S_ARSC	GC	Subclade_assignment_source	Family_assignment_source	Genus_assignment_source	Species_assignment_source	Subclade_assignment_confidence	Family_assignment_confidence	Genus_assignment_confidence	Species_assignment_confidence	Family_bac120_crown_node	Family_SAR11_165_crown_node	Subclade_bac120_crown_node	Subclade_SAR11_165_crown_node	Genus_bac120_crown_node	Genus_SAR11_165_crown_node	Family_bac120_crown_support	Family_SAR11_165_crown_support	Subclade_bac120_crown_support	Subclade_SAR11_165_crown_support	Genus_bac120_crown_support	Genus_SAR11_165_crown_support	Family_dual_tree_support	Subclade_dual_tree_support	Genus_dual_tree_support	species_reference_genome	ANI_to_species_reference	AAI_to_species_reference
HIMB1444	I	Ia	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Pelagibacterales	Freel et al., (2024)	NA	isolate	2	21.4829	-157.7663	0-100m	northern_tropical	NPTG	Trades - N. Pacific Tropical Gyre Province	marine	Kaneohe Bay, Oahu, Pacific Ocean	Freel et al., (2024); coordinate in table; Longhurst NPTG; inferred waterbody Kaneohe Bay, Oahu, Pacific Ocean	99.85	0.1	0.964	374569	301.9426111908178	1305448	1394	8	635019	0.340112	3.13758	0.031928	29.14	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-422-E09	I	Ia	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	57.7	24	-22	0-100m	northern_temperate	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NATR; inferred waterbody North Atlantic Ocean	88.22	0.12	0.964	89357	302.4792514239219	1153212	1229	31	248876	0.335827	3.134215	0.032182	29.19	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	599	583	599	583	599	583	0.71	0.89	0.71	0.89	0.71	0.89	0.71	0.71	0.71	NA	NA	NA
AG-891-A05	I	Ia	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	88.15	0.07	0.965	79925	300.08250572956456	1217377	1309	39	227191	0.337116	3.129928	0.032514	29.33	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-913-L03	I	Ia	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	96.09	0.07	0.964	280477	303.4546120058565	1286243	1366	22	393861	0.337984	3.141447	0.031733	29.01	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-914-B14	I	Ia	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	85.46	0.02	0.966	96833	300.9620449264136	1203512	1291	39	220215	0.338243	3.131229	0.032087	29.3	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-426-M05	I	Ia	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	90.8	38.32	-68.87	0-100m	northern_temperate	GFST	Westerlies - Gulf Stream Province	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst GFST; inferred waterbody North Atlantic Ocean	86.93	0.15	0.964	77256	296.27027027027026	1224332	1332	40	155656	0.33649	3.128125	0.032457	29.23	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB2304	I	Ia	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Pelagibacterales	Freel et al., (2024)	NA	isolate	2	21.4829	-157.7663	0-100m	northern_tropical	NPTG	Trades - N. Pacific Tropical Gyre Province	marine	Kaneohe Bay, Oahu, Pacific Ocean	Freel et al., (2024); coordinate in table; Longhurst NPTG; inferred waterbody Kaneohe Bay, Oahu, Pacific Ocean	81.32	0.15	0.968	4192	268.80924855491327	1006776	1211	317	15142	0.329104	3.055642	0.036452	30.72	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-908-C18	I	Ia	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	90.05	0.06	0.969	117041	301.119104716227	1162076	1251	29	181769	0.333458	3.128141	0.032218	29.21	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	592	585	592	585	592	585	1	1	1	1	1	1	1	1	1	NA	NA	NA
HIMB1409	I	Ia	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Pelagibacterales	Freel et al., (2024)	NA	isolate	2	21.4829	-157.7663	0-100m	northern_tropical	NPTG	Trades - N. Pacific Tropical Gyre Province	marine	Kaneohe Bay, Oahu, Pacific Ocean	Freel et al., (2024); coordinate in table; Longhurst NPTG; inferred waterbody Kaneohe Bay, Oahu, Pacific Ocean	99.96	0.09	0.966	178156	304.7692307692308	1313059	1391	20	411124	0.336383	3.1203	0.032538	29.35	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1413	I	Ia	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Pelagibacterales	Freel et al., (2024)	NA	isolate	2	21.4829	-157.7663	0-100m	northern_tropical	NPTG	Trades - N. Pacific Tropical Gyre Province	marine	Kaneohe Bay, Oahu, Pacific Ocean	Freel et al., (2024); coordinate in table; Longhurst NPTG; inferred waterbody Kaneohe Bay, Oahu, Pacific Ocean	99.95	0.08	0.965	1348413	305.1768421052632	1348413	1425	1	1348413	0.337071	3.133672	0.032072	29.18	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB2250	I	Ia	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Pelagibacterales	Freel et al., (2024)	NA	isolate	2	21.4829	-157.7663	0-100m	northern_tropical	NPTG	Trades - N. Pacific Tropical Gyre Province	marine	Kaneohe Bay, Oahu, Pacific Ocean	Freel et al., (2024); coordinate in table; Longhurst NPTG; inferred waterbody Kaneohe Bay, Oahu, Pacific Ocean	99.87	0.15	0.966	1330391	306.8515346181299	1330391	1401	1	1330391	0.336992	3.135082	0.032103	29.14	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-913-M13	I	Ia	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	93.3	0.16	0.97	94991	300.0054945054945	1178293	1274	25	188198	0.33592	3.118417	0.03209	29.24	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	578	562	578	562	578	562	0.82	0.88	0.82	0.88	0.82	0.88	0.82	0.82	0.82	NA	NA	NA
AG-422-B22	I	Ia	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	57.7	24	-22	0-100m	northern_temperate	NATR	Trades - N. Atlantic Tropical Gyral Province (TRPG)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NATR; inferred waterbody North Atlantic Ocean	86.88	0.15	0.964	123899	300.0507246376812	1156543	1242	25	178682	0.335068	3.129427	0.032065	29.28	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-447-L03	I	Ia	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	21	-34.98	16.02	0-100m	southern_temperate	EAFR	Coastal - E. Africa Coastal Province	marine	South Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst EAFR; inferred waterbody South Atlantic Ocean	90.12	0.11	0.965	177648	308.13486590038315	1245792	1305	21	284009	0.334389	3.136617	0.032296	29.2	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	565	562	565	562	565	562	0.67	0.88	0.67	0.88	0.67	0.88	0.67	0.67	0.67	NA	NA	NA
AG-892-F02	I	Ia	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	90.85	0.06	0.967	100042	302.29170024174056	1159649	1241	27	255250	0.334104	3.13351	0.032286	29.29	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	564	593	564	593	564	593	0.58	1	0.58	1	0.58	1	0.58	0.58	0.58	NA	NA	NA
AG-390-M14	I	Ia	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	8	36.2	-53.31	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	87.52	0.04	0.963	70625	296.9022939677145	1085051	1177	43	178944	0.338389	3.127685	0.032075	29.13	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FZCC0015	I	Ia	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Pelagibacterales	Zhao et al., (2018)	NA	isolate	NA	25.433333	119.783333	NA	northern_temperate	CHIN	Coastal - China Sea Coastal Province	marine	East China Sea	Zhao et al., (2018); coordinate in table; Longhurst CHIN; inferred waterbody East China Sea	99.86	0.13	0.964	1364101	306.46164574616455	1364101	1434	1	1364101	0.336062	3.129667	0.032197	29.22	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-892-L17	I	Ia	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	85.94	0.08	0.968	77340	301.44616709732986	1081069	1161	41	237687	0.336929	3.120147	0.032544	29.5	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	567	593	567	593	567	593	1	1	1	1	1	1	1	1	1	NA	NA	NA
HIMB083	I	Ia	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	aumoanae	Pelagibacterales	Brandon M.S. thesis (2006)	TRUE	isolate	2	21.43545	-157.77755	0-100m	northern_tropical	NPTG	Trades - N. Pacific Tropical Gyre Province	marine	Kaneohe Bay, Oahu, Pacific Ocean	Brandon M.S. thesis (2006); coordinate in table; Longhurst NPTG; inferred waterbody Kaneohe Bay, Oahu, Pacific Ocean	100	0.06	0.963	1395997	306.6780354706685	1395997	1466	1	1395997	0.335831	3.132304	0.031979	29.15	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-390-C17	I	Ia	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	8	36.2	-53.31	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	94.34	0.4	0.964	94047	303.50109249817916	1292976	1373	24	283344	0.334046	3.127086	0.032676	29.37	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-447-K11	I	Ia	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	21	-34.98	16.02	0-100m	southern_temperate	EAFR	Coastal - E. Africa Coastal Province	marine	South Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst EAFR; inferred waterbody South Atlantic Ocean	86.12	0.11	0.964	79939	299.53256704980845	1212869	1305	35	145801	0.33482	3.129269	0.032701	29.43	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1685	I	Ia	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	NA	Pelagibacterales	Freel et al., (2024)	NA	isolate	2	21.43635	-157.77737	0-100m	northern_tropical	NPTG	Trades - N. Pacific Tropical Gyre Province	marine	Kaneohe Bay, Oahu, Pacific Ocean	Freel et al., (2024); coordinate in table; Longhurst NPTG; inferred waterbody Kaneohe Bay, Oahu, Pacific Ocean	99.72	0.1	0.965	1455495	307.5694626474443	1455495	1526	1	1455495	0.336986	3.141461	0.031444	28.95	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1559	I	Ia	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Pelagibacterales	Freel et al., (2024)	NA	isolate	2	21.43635	-157.77737	0-100m	northern_tropical	NPTG	Trades - N. Pacific Tropical Gyre Province	marine	Kaneohe Bay, Oahu, Pacific Ocean	Freel et al., (2024); coordinate in table; Longhurst NPTG; inferred waterbody Kaneohe Bay, Oahu, Pacific Ocean	99.83	0.09	0.964	1489298	306.28079132099555	1489298	1567	1	1489298	0.334833	3.128689	0.031652	29.29	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1597	I	Ia	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Pelagibacterales	Freel et al., (2024)	NA	isolate	2	21.43635	-157.77737	0-100m	northern_tropical	NPTG	Trades - N. Pacific Tropical Gyre Province	marine	Kaneohe Bay, Oahu, Pacific Ocean	Freel et al., (2024); coordinate in table; Longhurst NPTG; inferred waterbody Kaneohe Bay, Oahu, Pacific Ocean	99.85	0.08	0.964	1489004	308.4607969151671	1489004	1556	1	1489004	0.335212	3.128033	0.031605	29.29	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1587	I	Ia	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Pelagibacterales	Freel et al., (2024)	NA	isolate	2	21.43635	-157.77737	0-100m	northern_tropical	NPTG	Trades - N. Pacific Tropical Gyre Province	marine	Kaneohe Bay, Oahu, Pacific Ocean	Freel et al., (2024); coordinate in table; Longhurst NPTG; inferred waterbody Kaneohe Bay, Oahu, Pacific Ocean	99.87	0.05	0.964	815068	307.39460154241647	1483982	1556	2	815068	0.335036	3.1272	0.031665	29.31	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1573	I	Ia	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Pelagibacterales	Freel et al., (2024)	NA	isolate	2	21.43635	-157.77737	0-100m	northern_tropical	NPTG	Trades - N. Pacific Tropical Gyre Province	marine	Kaneohe Bay, Oahu, Pacific Ocean	Freel et al., (2024); coordinate in table; Longhurst NPTG; inferred waterbody Kaneohe Bay, Oahu, Pacific Ocean	99.94	0.04	0.964	1445467	304.74493132766514	1445467	1529	1	1445467	0.335993	3.136876	0.031412	29.07	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1490	I	Ia	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Pelagibacterales	Freel et al., (2024)	NA	isolate	2	21.43635	-157.77737	0-100m	northern_tropical	NPTG	Trades - N. Pacific Tropical Gyre Province	marine	Kaneohe Bay, Oahu, Pacific Ocean	Freel et al., (2024); coordinate in table; Longhurst NPTG; inferred waterbody Kaneohe Bay, Oahu, Pacific Ocean	97.48	0.11	0.963	84191	306.97997237569064	1381468	1448	34	220655	0.329634	3.091809	0.032244	29.97	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1491	I	Ia	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Pelagibacterales	Freel et al., (2024)	NA	isolate	2	21.43635	-157.77737	0-100m	northern_tropical	NPTG	Trades - N. Pacific Tropical Gyre Province	marine	Kaneohe Bay, Oahu, Pacific Ocean	Freel et al., (2024); coordinate in table; Longhurst NPTG; inferred waterbody Kaneohe Bay, Oahu, Pacific Ocean	99.97	0.08	0.963	1467757	311.976897689769	1467757	1515	1	1467757	0.331359	3.108847	0.031601	29.65	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1765	I	Ia	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Pelagibacterales	Freel et al., (2024)	NA	isolate	2	21.43635	-157.77737	0-100m	northern_tropical	NPTG	Trades - N. Pacific Tropical Gyre Province	marine	Kaneohe Bay, Oahu, Pacific Ocean	Freel et al., (2024); coordinate in table; Longhurst NPTG; inferred waterbody Kaneohe Bay, Oahu, Pacific Ocean	99.62	0.16	0.965	1436910	308.6371504660453	1436910	1502	1	1436910	0.333097	3.121578	0.031805	29.38	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1494	I	Ia	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Pelagibacterales	Freel et al., (2024)	NA	isolate	2	21.43635	-157.77737	0-100m	northern_tropical	NPTG	Trades - N. Pacific Tropical Gyre Province	marine	Kaneohe Bay, Oahu, Pacific Ocean	Freel et al., (2024); coordinate in table; Longhurst NPTG; inferred waterbody Kaneohe Bay, Oahu, Pacific Ocean	99.75	0.08	0.964	1017910	305.56413612565444	1448273	1528	2	1017910	0.33432	3.128382	0.031907	29.33	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1495	I	Ia	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Pelagibacterales	Freel et al., (2024)	NA	isolate	2	21.43635	-157.77737	0-100m	northern_tropical	NPTG	Trades - N. Pacific Tropical Gyre Province	marine	Kaneohe Bay, Oahu, Pacific Ocean	Freel et al., (2024); coordinate in table; Longhurst NPTG; inferred waterbody Kaneohe Bay, Oahu, Pacific Ocean	99.75	0.08	0.964	1424936	305.54777486910996	1448109	1528	2	1424936	0.334299	3.128346	0.031909	29.33	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1593	I	Ia	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Pelagibacterales	Freel et al., (2024)	NA	isolate	2	21.43635	-157.77737	0-100m	northern_tropical	NPTG	Trades - N. Pacific Tropical Gyre Province	marine	Kaneohe Bay, Oahu, Pacific Ocean	Freel et al., (2024); coordinate in table; Longhurst NPTG; inferred waterbody Kaneohe Bay, Oahu, Pacific Ocean	99.77	0.1	0.965	1431236	310.184811827957	1431236	1488	1	1431236	0.332169	3.123294	0.031878	29.35	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1509	I	Ia	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Pelagibacterales	Freel et al., (2024)	NA	isolate	2	21.43635	-157.77737	0-100m	northern_tropical	NPTG	Trades - N. Pacific Tropical Gyre Province	marine	Kaneohe Bay, Oahu, Pacific Ocean	Freel et al., (2024); coordinate in table; Longhurst NPTG; inferred waterbody Kaneohe Bay, Oahu, Pacific Ocean	99.79	0.14	0.963	1424097	304.0890767230169	1452866	1538	2	1424097	0.336006	3.134004	0.031737	29.14	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-898-C07	I	Ia	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	NA	Pelagibacterales	Pachiadaki et al., (2019)	NA	SAG	10	31.07	-64.17	0-100m	northern_temperate	NASW	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	marine	North Atlantic Ocean	Pachiadaki et al., (2019); coordinate in table; Longhurst NASW; inferred waterbody North Atlantic Ocean	87.36	0.03	0.96	126852	299.64003294892916	1133988	1214	26	164479	0.336822	3.123284	0.031838	29.43	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
